time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,6.5,3.25,7.0,11.0,7.0,1.5,2.75,1.75,2.5,0.25,2.0,1.0,0.5,-0.23,0.52,3.95,694.42,15.6,43.8,5.5,3.75,11.0,14.0,8.25,3.5,3.5,1.0,0.75,1.5,0.75,0.0,0.0,0.08,0.14,1.02,915.63,-15.6,53.4
0.04,6.75,3.25,7.25,11.5,7.0,1.5,3.0,1.75,2.0,0.25,1.75,0.75,0.5,-0.36,0.58,4.08,744.76,15.9,46.6,5.75,3.0,11.5,12.5,8.0,2.25,2.75,1.0,0.5,1.0,0.25,0.0,0.5,0.08,0.14,1.58,917.96,-16.9,54.8
0.06,6.75,3.25,7.25,11.5,7.25,1.0,2.75,1.75,1.5,0.0,1.0,0.5,0.5,-0.92,0.89,4.64,769.56,16.5,51.2,5.75,2.25,10.5,11.0,6.5,0.0,1.25,0.5,0.5,1.5,0.25,0.25,0.25,0.2,0.2,1.64,844.65,-19.3,54.9
0.08,7.25,3.0,7.5,11.5,7.0,0.0,0.75,1.75,1.25,0.0,0.75,0.25,0.5,-0.67,0.27,7.52,758.02,17.6,54.6,4.5,2.25,9.75,8.75,6.5,0.0,1.0,1.0,0.25,0.0,0.5,0.0,0.0,0.2,0.2,1.83,721.85,-19.7,59.6
0.1,7.25,2.75,7.25,10.0,5.75,0.0,1.0,1.5,1.25,0.0,0.75,0.5,0.5,-0.98,0.45,6.89,714.22,18.5,53.7,3.0,1.25,8.75,5.5,4.25,0.0,0.5,0.75,0.25,0.0,0.25,0.0,0.25,0.14,0.14,1.7,555.29,-21.1,57.5
0.12,7.0,2.0,6.5,8.0,3.5,0.0,0.0,1.5,1.25,0.0,1.0,0.5,0.5,-1.17,0.14,7.95,622.03,19.7,51.3,2.0,1.5,7.0,5.25,1.0,0.0,0.5,0.5,0.25,0.5,0.25,0.25,0.0,0.27,0.14,1.83,390.83,-23.4,54.5
0.14,5.75,1.5,5.5,6.75,0.75,0.0,0.0,1.5,1.0,0.0,0.75,0.25,0.5,-1.61,1.2,7.58,492.78,21.7,50.8,0.0,0.75,5.5,3.25,0.5,1.25,0.5,0.5,0.25,0.0,0.5,0.25,0.25,0.14,-0.42,1.52,267.61,-19.3,42.4
0.16,4.25,0.75,3.5,4.25,0.0,0.0,0.25,1.25,1.0,0.0,0.75,0.0,0.5,-1.61,-0.11,5.77,353.0,21.8,45.6,0.0,0.5,4.25,2.0,0.25,0.0,0.5,0.5,0.0,1.25,0.25,0.25,0.25,1.02,-2.55,-1.17,169.47,-18.9,27.3
0.18,2.0,0.0,2.0,1.5,0.0,0.0,0.25,1.5,0.75,0.0,1.0,0.25,0.5,-1.11,-5.36,0.95,236.14,17.1,16.5,0.0,0.5,3.0,1.5,0.25,1.0,0.5,0.5,0.25,0.75,0.25,0.5,0.25,0.95,-1.42,1.08,86.21,-13.4,21.6
0.2,1.25,0.5,1.75,2.5,0.0,0.0,0.5,1.5,0.75,0.0,1.0,0.25,0.5,-5.73,-7.98,-1.3,145.16,15.3,18.3,0.0,0.5,3.0,1.75,0.0,1.5,0.25,0.5,0.25,0.75,0.25,0.25,0.25,0.52,-1.17,0.02,35.8,-12.1,25.7
0.22,2.0,0.5,1.5,2.5,0.0,0.0,0.5,1.5,1.25,0.0,1.0,0.0,0.5,-4.17,-7.98,2.83,85.22,16.0,22.8,0.0,0.5,2.75,1.75,0.0,1.25,0.25,0.5,0.25,1.0,0.25,0.25,0.25,0.14,-0.61,0.14,14.02,-11.5,21.7
0.24,1.25,0.5,1.25,2.25,0.0,0.0,0.5,1.5,1.0,0.0,0.75,0.5,0.5,-0.73,-3.11,0.52,54.71,13.9,12.7,0.0,0.5,2.75,1.5,0.0,2.0,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.2,-0.42,0.7,11.07,-10.9,29.0
0.26,1.25,0.5,1.0,1.5,0.0,0.0,0.5,1.25,1.0,0.0,1.0,0.25,0.5,-1.23,-2.48,1.64,36.42,13.9,9.6,0.0,0.5,2.75,1.75,0.0,1.75,0.25,0.5,0.25,1.25,0.25,0.25,0.0,0.2,-0.05,0.7,25.88,-9.7,23.3
0.28,1.25,0.25,1.0,2.0,0.0,0.0,0.5,1.0,1.0,0.0,0.25,0.25,0.5,-1.61,-1.42,2.58,28.94,15.4,19.4,0.0,0.5,2.75,1.25,0.0,1.75,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.08,0.27,0.64,40.93,-13.5,34.6
0.3,1.25,0.25,0.5,1.5,0.0,0.0,0.5,1.5,1.0,0.0,1.0,0.0,0.5,-0.92,-0.48,2.58,27.93,11.5,5.5,0.0,0.5,2.75,1.5,0.0,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.05,0.33,1.08,63.77,-11.7,32.1
0.32,0.75,0.5,0.75,1.75,0.0,0.0,0.25,1.5,1.0,0.0,0.75,0.25,0.25,-0.36,1.27,1.89,35.75,11.6,9.0,0.0,0.5,2.75,1.75,0.0,1.5,0.25,0.0,0.25,0.25,0.25,0.25,0.25,-0.17,0.39,1.39,81.03,-14.8,35.0
0.34,1.0,0.25,1.0,0.75,0.0,0.0,0.5,1.5,1.0,0.0,0.0,0.0,0.5,-0.11,2.52,3.45,45.27,12.2,12.6,0.5,0.75,2.75,0.5,0.0,2.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,-0.11,0.89,1.39,99.58,-13.2,38.2
0.36,1.0,0.25,0.5,0.75,0.0,0.0,0.25,1.0,1.0,0.0,0.25,0.0,0.5,0.33,2.7,7.02,54.26,11.9,8.4,0.0,0.5,2.5,0.5,0.0,2.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,-0.17,1.2,1.58,104.82,-10.9,31.0
0.38,0.75,0.5,0.5,0.75,0.0,0.0,0.25,0.75,1.0,0.0,0.5,0.0,0.5,0.77,4.64,7.77,61.78,12.2,7.3,0.0,0.5,2.75,0.25,0.0,1.5,0.25,0.0,0.25,0.75,0.25,0.25,0.25,-0.48,1.58,1.58,107.77,-12.1,21.8
0.4,0.5,0.5,0.5,0.5,0.0,0.0,0.25,0.75,1.0,0.0,0.75,0.0,0.5,1.14,7.89,7.33,66.1,10.8,-3.2,0.0,0.5,2.75,0.5,0.0,1.5,0.25,0.0,0.25,0.0,0.25,0.25,0.25,-0.73,1.89,1.2,104.37,-15.5,34.7
