time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,2.75,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,-0.61,0.64,0.89,80.51,23.5,68.7,1.0,0.0,0.0,0.0,0.0,1.25,0.0,0.5,0.0,1.0,0.0,0.0,0.0,-0.42,1.58,0.83,0.0,5.1,10.1
0.04,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.02,0.45,1.02,84.2,29.2,82.6,1.0,0.25,1.0,0.5,1.5,3.25,0.0,0.75,0.25,0.75,1.0,0.0,0.0,-0.17,1.08,0.89,1.77,0.2,23.3
0.06,4.25,0.25,0.0,1.0,0.0,0.0,0.0,0.5,0.25,0.75,0.0,0.5,0.0,-0.23,0.58,1.02,98.07,20.2,46.0,0.75,0.25,0.75,0.0,1.5,2.5,0.25,0.75,0.0,1.0,1.0,0.0,0.0,-0.05,1.08,0.77,39.04,1.8,16.1
0.08,6.5,0.25,0.5,1.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.25,0.5,-0.23,0.45,0.89,134.24,19.8,47.6,1.0,0.5,0.75,0.25,1.5,1.75,0.0,0.75,0.25,1.0,0.75,0.0,0.0,-0.23,0.89,1.02,76.89,-1.4,21.5
0.1,7.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.02,0.58,1.7,162.67,26.4,72.6,1.0,0.0,0.75,0.0,1.5,1.25,0.25,0.75,0.0,0.25,1.0,0.0,0.0,-0.23,0.58,1.33,88.25,-4.0,22.9
0.12,7.75,0.5,0.25,3.5,0.0,0.0,0.0,1.75,0.5,0.5,0.0,0.0,0.5,-0.23,0.64,1.52,201.88,19.7,53.9,1.0,0.25,0.75,0.5,1.75,1.25,0.0,0.75,0.0,0.75,0.75,0.0,0.0,-0.17,0.39,1.27,100.96,-3.0,25.5
0.14,0.0,0.5,3.5,5.25,0.0,0.0,0.0,1.75,0.25,0.25,0.75,0.0,0.5,-0.17,0.33,1.14,216.31,15.9,29.1,1.0,0.5,0.75,0.75,1.5,1.0,0.25,0.75,0.25,1.5,1.0,0.0,0.0,-0.05,0.33,1.14,113.61,-3.8,14.9
0.16,0.0,1.25,5.25,7.0,0.0,0.0,0.25,1.75,0.5,0.25,0.75,0.0,0.25,-0.17,0.33,1.14,243.14,18.7,39.5,1.0,0.0,0.75,0.25,1.75,0.75,0.0,0.75,0.25,0.25,1.0,0.0,0.0,0.08,0.2,1.08,120.07,-5.8,22.5
0.18,0.0,1.5,6.25,7.75,0.0,0.0,1.25,2.0,0.5,0.0,0.0,0.0,0.5,-0.17,0.33,1.08,268.8,19.8,44.6,1.25,0.25,0.75,0.5,1.75,0.75,0.0,0.75,0.0,1.0,1.0,0.0,0.0,0.08,0.14,1.14,127.74,-5.1,21.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.2,1.02,210.36,0.0,0.0,1.0,0.5,0.75,0.25,1.5,1.25,0.25,0.75,0.0,1.0,1.0,0.0,0.25,0.14,-0.05,1.08,134.64,-2.7,15.9
0.22,4.5,0.25,0.0,10.5,0.0,2.0,3.25,0.0,0.0,0.25,0.0,0.25,0.0,-0.05,0.14,1.02,230.96,17.7,58.4,1.0,0.25,1.0,0.5,1.75,2.5,0.0,0.75,0.0,1.0,0.75,0.0,0.25,0.2,-0.05,1.08,147.51,0.0,21.4
0.24,6.25,0.0,7.5,1.75,8.25,0.0,5.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.05,0.08,1.14,282.81,19.1,57.8,1.0,0.25,0.75,0.5,1.5,2.5,0.0,0.75,0.0,0.75,1.0,0.0,0.0,0.2,-0.23,1.2,147.64,0.0,23.0
0.26,8.75,1.75,7.5,10.5,8.75,3.5,5.5,2.5,2.5,1.0,2.5,1.0,0.5,-0.17,0.08,1.08,507.53,14.0,40.1,1.0,0.0,0.75,0.5,1.5,2.5,0.25,0.75,0.0,1.0,0.75,0.0,0.25,0.14,-0.23,0.95,147.1,0.9,17.1
0.28,8.5,1.75,7.25,10.5,8.5,3.75,5.25,3.25,2.75,1.0,2.75,1.25,0.75,-0.11,0.02,1.02,744.85,13.1,36.5,1.0,0.25,0.75,0.5,1.5,2.0,0.0,0.75,0.0,1.0,1.0,0.0,0.0,0.2,-0.17,0.95,141.67,-0.8,19.6
0.3,8.5,1.75,7.25,10.5,8.5,3.5,5.25,3.25,2.25,1.0,2.5,1.75,1.0,-0.11,0.08,1.02,962.06,13.2,35.6,1.25,0.25,0.75,0.25,1.75,2.0,0.0,0.5,0.25,0.5,1.0,0.0,0.0,0.27,-0.23,1.14,141.23,-2.9,27.3
0.32,8.25,1.5,7.25,9.5,8.5,3.5,5.25,2.75,1.75,1.0,2.5,1.25,0.75,-0.11,0.08,0.95,1032.8,13.5,38.1,1.0,0.25,0.75,0.5,1.5,0.75,0.0,0.75,0.0,0.5,1.0,0.0,0.0,0.27,-0.3,1.08,131.83,-5.9,23.9
0.34,8.25,1.5,7.25,9.25,8.0,3.0,5.0,2.5,1.75,1.0,2.25,1.25,1.0,-0.11,0.08,0.95,1033.69,13.9,38.1,1.0,0.25,0.75,0.5,1.5,1.25,0.0,0.75,0.0,1.5,0.75,0.0,0.0,0.45,-0.3,0.83,129.94,-1.6,15.5
0.36,7.75,1.5,6.0,8.75,8.0,3.0,4.5,2.25,1.5,0.75,2.5,1.25,0.75,-0.11,0.08,0.95,975.38,13.4,38.3,0.75,0.0,0.75,0.5,1.5,1.75,0.0,0.75,0.0,1.0,0.75,0.0,0.0,0.45,-0.3,0.64,124.37,0.1,17.2
