time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,1.5,1.25,2.0,8.0,6.5,2.75,1.5,5.0,2.75,1.25,4.0,2.25,1.5,-0.11,0.08,0.95,562.8,4.8,7.0,0.0,0.75,0.0,0.0,0.0,2.5,0.25,4.25,1.0,7.25,6.75,5.5,5.25,0.14,0.33,1.14,392.96,5.0,-68.7
0.04,1.75,1.5,1.25,8.75,6.75,2.75,1.75,4.75,2.25,1.25,3.5,1.5,1.5,-0.11,0.08,0.95,559.47,4.6,12.6,0.5,0.75,0.5,1.25,2.25,2.0,0.5,4.25,1.0,7.75,5.75,5.25,5.5,0.08,0.08,0.95,489.38,3.4,-52.7
0.06,2.25,1.75,2.75,9.25,7.0,3.0,1.75,4.5,2.25,1.25,3.0,1.0,1.25,-0.11,0.08,0.95,576.79,6.3,20.4,0.0,0.0,0.0,1.25,4.25,3.25,0.0,4.75,1.0,7.0,6.0,4.75,6.0,0.14,0.08,0.95,572.9,5.7,-50.1
0.08,2.5,1.75,3.75,10.5,8.0,3.0,2.0,4.5,2.0,1.25,2.5,1.0,1.25,-0.11,0.08,0.95,613.45,7.2,25.1,0.0,0.75,0.0,1.0,0.5,3.25,0.5,5.5,1.5,8.0,6.75,5.5,6.25,0.14,0.08,0.95,629.72,5.2,-61.2
0.1,2.75,1.75,5.0,11.5,8.0,3.5,2.25,4.25,1.5,1.25,2.25,1.0,1.0,-0.11,0.08,0.95,662.39,8.4,29.6,0.0,0.75,0.0,1.25,0.25,3.25,0.75,5.5,1.5,8.25,7.25,5.75,6.75,0.14,0.08,0.95,677.48,4.9,-62.2
0.12,2.75,1.75,5.5,11.5,8.5,3.5,2.25,4.0,1.25,1.25,2.25,1.0,0.5,-0.11,0.08,0.95,704.21,8.9,32.5,0.0,0.75,0.5,1.0,3.5,3.75,0.5,5.5,1.5,8.25,7.75,5.75,6.75,0.08,0.08,0.95,725.45,4.5,-51.3
0.14,2.75,2.25,5.5,12.0,8.5,3.5,2.25,3.25,0.75,1.0,2.0,1.0,1.0,-0.11,0.14,0.95,733.45,9.3,35.0,0.0,0.75,0.5,1.0,3.5,4.25,0.5,6.0,1.5,8.5,7.75,5.75,6.75,0.08,0.08,0.95,764.83,4.9,-50.4
0.16,2.5,3.0,6.0,13.0,8.75,3.5,2.25,3.0,0.5,1.0,1.75,1.0,0.5,-0.11,0.14,0.95,760.11,10.0,39.6,0.5,0.75,0.5,1.25,4.25,4.5,0.5,6.25,1.5,8.25,7.75,5.5,6.75,0.14,0.08,0.95,796.14,4.5,-45.6
0.18,2.75,3.25,6.0,13.0,8.75,3.5,2.25,3.0,0.25,0.25,1.75,0.75,0.5,-0.11,0.14,1.02,769.83,10.6,43.3,0.0,0.75,0.5,1.25,4.25,4.75,0.5,6.25,1.75,8.25,7.5,5.25,6.25,0.14,0.08,0.95,796.57,4.9,-45.4
0.2,4.5,3.5,6.75,12.0,9.25,2.25,2.25,2.75,0.5,0.25,1.25,0.75,0.5,-0.11,0.14,1.02,782.08,12.5,47.0,0.5,0.75,1.5,2.25,4.25,5.25,0.75,6.25,1.75,8.25,7.25,5.25,6.25,0.14,0.08,0.95,793.18,3.4,-38.7
