time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,4.0,1.5,4.5,5.0,0.7,0.39,1.64,144.57,-2.2,-82.7,6.75,1.75,2.0,7.5,7.25,0.0,0.25,1.5,0.5,0.75,0.5,0.0,0.75,0.52,0.64,1.95,645.9,-13.0,51.5
0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,4.0,0.0,6.25,-0.3,0.27,2.2,185.63,-0.3,-78.1,3.75,0.0,0.0,3.75,2.25,0.0,0.0,1.5,0.25,2.0,0.0,0.25,0.0,0.7,1.2,2.08,394.61,-9.2,33.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,0.0,4.25,0.0,-0.42,0.27,1.2,210.05,-4.7,-87.3,3.75,1.0,0.5,3.5,2.5,1.0,0.25,1.5,0.5,2.0,0.5,0.25,0.0,0.02,0.64,2.27,264.18,-8.5,33.7
0.08,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.75,0.0,6.0,4.75,4.25,6.25,-0.11,0.08,1.02,279.38,-6.2,-80.1,2.25,1.0,0.5,3.25,2.5,0.75,0.0,1.25,0.5,2.25,0.5,0.25,0.0,0.14,0.39,1.83,167.86,-6.2,26.9
0.1,0.25,0.0,0.0,0.5,0.0,0.0,0.0,4.75,0.5,6.0,4.75,5.0,6.25,-0.23,0.08,0.95,348.51,-5.1,-78.6,0.0,0.0,0.75,1.0,2.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.77,0.14,1.83,69.55,-2.1,29.9
0.12,0.0,0.0,0.0,0.5,0.0,0.5,0.0,4.75,1.0,6.0,4.0,5.0,6.0,-0.17,0.08,0.95,415.99,-5.8,-77.3,0.25,0.0,0.0,0.75,0.0,0.0,0.0,1.5,0.25,0.0,0.25,0.0,0.0,0.83,-0.48,1.45,0.0,-0.7,-5.8
0.14,0.0,0.0,0.0,0.5,0.75,1.25,0.25,5.5,1.5,6.5,4.5,5.0,6.25,-0.17,0.08,0.95,484.02,-5.9,-69.6,1.0,0.25,0.25,1.25,0.0,0.0,0.0,0.75,0.5,2.25,0.0,0.25,0.0,0.83,-0.73,0.33,0.0,-4.3,-5.6
0.16,0.0,0.0,0.0,0.5,0.0,1.25,0.25,5.5,2.0,6.75,0.0,5.0,6.25,-0.17,0.08,0.95,499.37,-8.4,-72.0,1.25,0.5,1.5,1.25,2.5,0.0,0.0,1.5,0.5,2.0,0.75,0.25,0.75,0.7,-0.98,1.27,0.0,-5.1,7.2
0.18,0.0,0.0,0.0,1.0,0.0,2.0,0.5,5.75,2.0,6.75,6.0,5.0,6.25,-0.11,0.02,0.95,532.96,-5.0,-67.9,0.0,0.75,1.5,1.25,2.75,0.0,0.25,1.25,0.5,2.0,0.75,0.25,0.75,0.27,-0.36,0.83,4.71,-3.0,2.7
0.2,0.0,0.0,0.0,2.5,0.0,2.0,0.5,6.0,2.0,6.5,6.5,5.0,6.0,-0.17,0.02,0.95,563.81,-3.8,-62.1,0.5,0.5,1.75,1.25,2.25,0.25,0.25,1.5,0.5,1.75,0.75,0.25,1.0,0.08,-0.3,0.52,65.57,-4.1,2.2
0.22,0.0,0.0,0.0,2.5,1.75,2.0,0.75,6.0,2.5,6.0,6.5,5.0,5.75,-0.17,0.08,0.95,603.11,-3.2,-54.9,0.25,0.5,1.5,1.25,2.25,0.5,0.0,1.5,0.5,2.0,0.25,0.25,0.75,0.33,-0.23,0.7,105.61,-1.7,3.4
0.24,0.0,0.0,0.0,2.5,2.5,2.5,0.75,6.0,2.75,6.0,6.25,4.25,5.75,-0.17,0.02,0.95,614.69,-3.7,-50.2,1.0,0.5,1.5,1.25,2.5,1.0,0.25,1.25,0.5,1.75,0.5,0.25,0.75,0.45,-0.23,0.77,141.95,-3.6,11.6
0.26,0.0,0.0,1.25,2.75,2.75,2.5,0.75,6.0,2.75,6.0,6.0,3.75,5.25,-0.11,0.02,0.95,618.45,-2.3,-43.4,0.75,0.5,1.75,1.25,2.75,0.75,0.0,1.25,0.5,2.25,1.0,0.25,0.75,0.39,-0.11,0.83,172.94,-3.3,5.4
0.28,1.0,0.0,1.25,3.25,3.25,2.5,0.75,6.0,3.0,5.0,5.5,3.25,4.25,-0.11,0.02,0.95,605.89,-0.7,-33.4,0.75,0.5,1.75,1.25,2.25,1.0,0.0,1.5,0.5,2.0,0.25,0.25,1.0,0.33,0.2,0.83,194.76,-2.4,6.7
0.3,1.5,0.5,1.5,2.75,4.25,2.5,0.75,6.0,3.0,4.75,5.5,3.0,4.0,-0.11,0.08,0.95,582.97,-0.1,-27.0,0.75,0.25,1.5,1.25,2.5,0.5,0.25,1.25,0.5,2.0,0.25,0.25,0.5,0.33,0.33,0.95,194.96,-3.6,9.7
0.32,1.5,0.5,1.5,4.5,4.5,2.75,1.0,6.0,2.75,4.75,4.5,2.25,3.0,-0.11,0.08,0.95,557.22,0.4,-17.0,0.75,0.5,1.75,1.25,2.25,0.0,0.25,1.25,0.5,2.0,0.25,0.25,1.0,0.2,0.27,1.27,196.95,-5.0,5.7
0.34,1.0,0.75,1.5,6.0,4.5,3.25,1.0,5.75,2.75,3.25,4.0,2.0,2.75,-0.11,0.08,0.95,548.83,1.1,-9.6,0.75,0.5,1.75,1.0,2.5,0.0,0.0,1.5,0.5,1.75,0.25,0.25,0.75,0.14,0.39,1.39,196.13,-4.6,8.7
