time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.25,1.33,1.08,1.27,59.83,17.5,9.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,-1.48,1.64,0.0,-17.2,57.9
0.04,0.25,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-1.3,-1.67,1.08,53.56,22.1,33.8,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.58,-0.98,0.33,0.0,8.9,29.1
0.06,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.75,-0.36,-0.8,0.83,65.06,-3.8,-83.6,0.0,0.0,0.0,0.5,0.25,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.58,-0.73,1.08,0.0,6.9,34.0
0.08,0.25,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.25,3.0,0.75,4.0,4.25,0.52,0.33,1.02,123.71,-1.0,-80.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.55,0.7,0.0,-2.5,51.3
0.1,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.75,5.75,0.0,4.75,6.25,0.02,0.33,2.64,200.23,-5.7,-88.8,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.08,-0.42,0.52,0.0,-0.6,10.6
0.12,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2.25,0.0,6.25,4.75,5.0,6.75,-0.3,0.27,1.45,286.77,-5.2,-87.0,0.0,0.0,0.0,0.5,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.39,-0.36,0.83,0.0,4.5,34.0
0.14,0.5,0.0,0.0,0.25,0.0,0.0,0.0,5.0,0.0,6.5,0.0,4.75,6.75,-0.05,0.14,1.08,348.65,-9.1,-79.7,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.45,-0.17,0.89,0.0,8.9,29.1
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.75,6.5,0.0,5.25,6.75,-0.17,0.08,0.95,394.34,-9.3,-83.5,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.52,0.02,0.83,0.0,8.9,29.1
0.18,0.0,0.0,0.0,0.25,0.25,0.0,0.0,5.25,1.5,6.5,0.0,5.25,6.75,-0.17,0.08,0.95,419.6,-8.3,-79.3,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.52,0.33,0.83,1.56,-3.6,33.9
0.2,0.0,0.0,0.0,2.0,0.0,0.75,0.0,5.5,1.75,6.5,5.75,5.25,6.75,-0.17,0.08,0.95,481.5,-4.1,-69.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.52,0.39,0.89,13.76,0.8,26.1
