time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,8.5,1.25,5.5,5.5,0.0,0.0,2.0,0.25,0.5,0.75,1.5,0.25,0.25,-0.11,0.58,1.45,357.45,25.7,54.2,0.75,0.0,1.75,0.0,0.0,1.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.27,0.33,2.14,0.0,-15.6,47.7
0.04,7.5,1.25,3.5,4.0,0.0,0.0,1.75,0.0,0.5,0.75,1.25,0.0,0.25,-0.36,0.7,1.27,277.48,25.5,56.1,1.5,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.5,0.75,0.75,0.75,0.25,0.14,0.08,1.45,0.0,-8.2,-18.0
0.06,6.75,1.0,2.5,4.0,0.0,0.0,1.5,0.0,0.75,0.75,1.5,0.0,0.25,-0.3,0.7,1.52,234.08,24.2,50.7,1.75,0.75,1.75,0.5,0.0,1.25,0.0,0.25,0.5,0.75,0.25,0.75,1.0,0.45,1.14,2.45,0.0,-10.9,12.5
0.08,0.0,0.5,2.5,2.5,0.0,0.0,1.0,0.0,0.5,0.75,1.25,0.0,0.25,-0.36,0.77,1.7,154.11,19.0,19.9,2.0,0.0,1.75,0.5,0.0,1.5,0.5,0.25,0.5,0.75,0.25,0.75,0.0,0.77,0.08,2.89,0.0,-14.1,23.0
0.1,5.25,0.25,2.0,2.5,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.25,-0.3,1.08,2.58,117.7,25.4,50.8,1.5,0.0,1.75,0.5,0.0,2.0,0.5,0.25,0.5,0.75,0.75,0.75,1.0,0.64,-0.3,3.45,0.0,-8.3,1.3
0.12,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.25,-0.86,0.58,3.33,41.84,15.8,-0.1,1.25,0.0,1.75,0.5,0.0,1.25,0.5,0.25,0.5,0.75,0.25,0.75,1.0,0.89,-0.98,2.39,19.87,-10.0,0.3
0.14,0.0,0.0,1.0,2.25,0.0,0.0,0.75,0.5,0.5,0.5,0.5,0.25,0.25,-1.8,-0.61,3.14,9.36,13.6,6.5,1.0,0.25,2.25,0.25,0.0,1.25,0.5,0.5,0.5,0.75,0.25,0.75,1.0,1.39,-0.92,1.77,55.38,-10.1,1.3
0.16,0.0,0.25,1.5,2.25,0.0,0.75,0.5,0.0,0.25,0.0,0.5,0.25,0.25,-1.73,-0.17,3.2,0.0,15.9,29.2,1.0,0.0,1.75,0.5,0.0,1.25,0.5,0.25,0.5,0.75,0.25,0.75,1.0,1.27,-1.11,1.02,81.36,-9.3,-2.4
0.18,0.0,0.0,0.75,2.25,0.0,0.75,0.5,0.25,0.25,0.75,0.75,0.25,0.25,-0.98,-0.48,1.58,3.32,8.4,4.2,1.25,0.5,1.75,0.25,0.25,1.25,0.25,0.25,0.5,0.75,0.25,0.75,1.0,0.83,-1.23,0.95,107.18,-9.2,5.7
0.2,0.0,0.25,0.75,2.5,0.25,0.75,0.5,0.25,0.25,0.5,0.75,0.25,0.25,-0.98,-0.42,1.45,21.33,9.2,14.4,1.0,0.5,1.75,0.25,0.5,1.25,0.25,0.25,0.5,0.75,0.25,0.75,0.75,0.39,-0.98,1.08,121.12,-8.8,8.2
0.22,0.5,0.25,0.75,2.25,0.5,0.75,0.5,0.5,0.25,0.5,1.0,0.25,0.25,-0.86,-0.8,1.02,51.37,9.2,14.9,1.25,0.5,1.5,0.25,0.0,1.0,0.25,0.25,0.5,0.75,0.25,0.75,1.0,0.27,-0.61,1.45,126.45,-9.7,1.4
0.24,0.75,0.25,0.75,2.25,0.75,0.75,0.5,0.25,0.25,0.75,0.75,0.25,0.25,-0.67,-0.86,1.08,79.39,9.5,20.1,1.0,0.5,1.5,0.25,0.5,1.25,0.5,0.25,0.5,0.5,0.5,0.75,1.0,0.33,-0.23,1.52,131.83,-8.3,3.5
0.26,0.5,0.0,1.0,2.25,0.5,0.75,0.5,0.5,0.25,0.5,0.75,0.25,0.25,-0.48,-0.67,0.83,88.19,10.0,16.4,1.0,0.5,1.75,0.5,0.25,1.25,0.5,0.25,0.5,0.5,0.25,0.75,1.0,0.33,0.2,1.52,135.57,-9.8,7.4
0.28,0.5,0.5,0.75,2.25,0.0,0.75,0.5,0.5,0.25,0.75,1.0,0.25,0.25,-0.36,-0.42,0.83,103.73,9.5,12.0,1.0,0.5,1.75,0.5,0.25,1.0,0.25,0.25,0.5,0.75,0.5,0.75,1.0,0.33,0.27,1.7,134.28,-9.7,1.8
