time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,6.25,3.0,5.5,11.5,8.0,4.5,3.0,2.75,1.75,1.0,2.25,0.25,0.0,-0.11,0.08,0.95,772.09,11.5,43.6,2.75,2.0,6.0,8.5,7.75,5.5,3.0,4.5,2.25,5.5,3.25,1.75,2.25,0.08,0.08,0.95,1023.08,-5.2,12.5
0.04,6.75,3.0,6.25,12.5,8.25,4.25,3.25,2.5,1.25,1.0,1.5,0.25,0.0,-0.11,0.08,1.02,830.69,12.5,47.6,2.25,2.0,5.75,7.25,7.75,5.25,2.5,4.5,2.0,5.25,3.25,1.75,2.25,0.08,0.08,0.95,955.39,-4.5,10.8
0.06,7.0,3.0,6.5,12.5,8.5,4.0,3.0,1.75,1.0,0.75,1.25,0.0,0.0,-0.11,0.14,1.02,859.6,13.4,51.9,1.75,0.75,4.25,7.0,7.25,5.25,2.5,4.5,2.0,5.0,3.0,1.5,2.25,0.08,0.08,0.95,858.06,-3.0,6.6
0.08,7.5,0.0,6.5,10.5,8.25,0.0,2.75,1.25,0.0,1.0,1.5,0.0,0.0,-0.11,0.14,1.08,795.45,17.3,52.0,1.5,1.5,4.0,7.0,7.25,5.25,2.5,4.5,2.0,5.0,2.75,1.5,2.25,0.08,0.08,0.95,768.78,-2.7,7.8
0.1,7.75,0.0,0.0,11.5,2.75,3.0,4.5,2.25,0.25,1.25,2.5,0.0,0.0,-0.17,0.14,1.14,680.95,12.6,40.3,1.5,1.25,4.0,7.0,6.75,5.5,2.0,4.5,1.5,5.0,2.5,1.5,2.25,0.08,0.08,0.95,692.88,-2.3,7.7
0.12,7.75,3.0,6.0,10.5,7.25,1.5,1.5,0.75,0.5,1.0,1.25,0.0,0.0,-0.23,0.2,1.14,635.53,16.1,56.1,1.5,1.25,3.75,6.75,6.75,5.5,1.5,4.5,1.5,4.75,2.5,1.5,2.25,0.08,0.08,0.95,642.44,-2.0,7.5
0.14,7.25,1.5,5.25,9.0,5.75,1.0,0.75,0.75,0.25,0.75,1.25,0.0,0.0,-0.3,0.27,1.33,566.97,17.1,55.8,1.5,1.25,2.75,6.5,6.5,5.5,1.5,4.5,1.5,5.0,2.25,1.5,2.25,0.08,0.08,0.95,600.8,-0.9,5.5
0.16,6.25,1.25,2.75,5.75,2.25,0.0,0.75,1.0,0.75,1.0,1.25,0.0,0.0,-0.36,0.27,1.45,458.25,18.5,49.5,1.5,1.25,2.25,6.5,7.0,5.5,1.5,4.5,1.5,5.25,2.25,1.5,2.25,0.08,0.08,0.95,579.63,-0.3,5.1
0.18,0.0,0.25,2.0,3.25,0.0,0.0,0.5,0.75,0.75,1.0,0.25,0.0,0.0,-0.55,0.58,1.52,297.21,15.1,23.3,1.5,1.25,1.75,6.5,7.25,5.5,1.25,4.5,1.5,5.25,2.25,1.5,2.25,0.08,0.08,0.95,565.88,0.2,4.6
0.2,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.75,1.0,0.75,1.25,0.0,0.0,-0.48,0.77,2.02,168.76,12.3,-20.8,1.5,1.5,2.25,6.75,7.75,5.75,1.25,4.75,1.5,5.5,2.0,1.5,2.25,0.08,0.08,0.95,576.65,0.0,6.7
0.22,2.0,0.0,0.0,1.75,0.0,2.0,0.75,0.75,0.0,1.0,0.75,0.0,0.0,0.39,1.58,1.95,60.33,5.3,24.1,1.5,1.25,0.75,7.0,7.5,6.0,1.25,5.0,1.75,5.5,3.25,2.0,2.5,0.08,0.08,0.95,594.68,1.1,0.0
0.24,1.0,0.5,0.75,0.25,0.0,0.5,0.75,1.0,0.5,0.25,1.5,0.0,0.0,-0.11,2.02,1.7,0.0,11.5,6.8,1.5,1.75,1.5,7.0,7.75,6.0,1.25,5.5,1.75,5.5,2.75,1.5,2.25,0.14,0.08,0.95,622.52,0.6,4.5
0.26,1.0,0.25,0.0,1.75,0.0,0.5,0.75,0.75,0.75,1.0,1.25,0.0,0.0,-0.36,1.33,1.39,0.0,8.2,3.2,1.5,2.0,1.75,7.0,7.75,6.5,1.75,5.5,2.0,5.5,3.0,1.75,2.25,0.14,0.08,0.95,658.74,0.2,4.5
0.28,0.0,0.25,1.25,1.0,0.0,0.5,0.75,0.75,0.5,1.0,1.25,0.0,0.0,-0.23,1.45,1.58,0.0,9.0,-3.5,2.0,2.0,2.25,7.5,8.25,6.75,2.0,5.5,2.0,5.5,3.0,1.5,2.5,0.14,0.08,0.95,708.54,-0.4,7.2
0.3,1.0,0.25,0.25,1.5,0.0,1.75,2.0,1.0,1.25,1.0,1.25,0.25,0.0,-0.42,0.89,1.33,14.56,6.1,2.4,2.25,2.0,3.25,8.75,8.75,6.75,2.0,5.75,2.0,5.5,3.25,1.5,2.25,0.14,0.08,0.95,773.51,-1.7,10.3
