time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.75,0.0,1.0,1.25,0.0,0.0,0.25,0.0,0.0,1.25,1.0,0.0,0.0,-0.48,-0.36,0.27,0.0,15.0,7.9,0.5,1.25,1.75,2.25,7.75,8.25,2.5,7.0,0.25,1.25,0.75,1.0,2.75,0.14,0.08,0.95,626.73,4.9,9.4
0.04,0.0,0.0,1.0,1.25,0.0,0.0,0.0,0.0,0.25,1.25,1.0,0.25,0.75,-0.36,-0.36,0.64,16.62,8.1,-25.8,0.0,1.0,0.25,3.25,7.5,8.5,2.25,6.0,0.25,2.5,0.25,1.0,1.75,0.14,0.08,0.95,561.4,7.1,9.5
0.06,0.5,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,1.25,1.0,0.25,1.25,-0.05,-0.36,1.08,51.84,8.4,-26.0,0.0,1.5,1.5,3.25,8.5,8.75,2.25,5.5,0.25,1.5,1.0,1.0,1.5,0.14,0.14,0.95,524.2,4.5,16.3
0.08,0.5,0.0,0.75,0.75,0.0,0.0,0.25,0.0,0.25,1.25,0.75,0.0,1.25,0.02,-0.05,1.2,70.33,6.5,-28.0,0.0,0.0,0.5,3.25,7.75,8.75,2.25,3.75,0.0,1.5,0.25,0.75,1.5,0.14,0.14,0.95,470.52,6.7,16.3
0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,1.25,0.5,0.0,1.25,-0.05,0.08,1.27,83.97,5.9,-28.3,0.0,0.25,0.5,3.5,7.75,8.5,2.25,4.25,0.0,1.0,0.75,0.25,1.25,0.14,0.14,0.95,435.15,6.2,19.6
0.12,0.25,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.25,1.25,1.0,0.5,1.5,-0.05,0.2,1.45,95.91,5.0,-41.2,0.0,0.5,0.5,3.5,7.75,8.25,2.25,4.0,0.0,1.25,0.0,0.75,1.0,0.08,0.2,0.89,402.46,6.0,21.1
0.14,0.0,0.0,0.75,1.25,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,1.5,-0.05,0.27,1.7,88.1,9.1,-26.7,1.75,1.25,1.75,5.75,8.25,9.0,3.0,4.0,0.0,1.25,1.0,1.0,2.0,0.08,0.2,0.89,439.92,0.7,23.5
0.16,1.0,0.0,0.75,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.75,1.25,-0.05,0.39,2.02,85.15,14.0,-20.7,2.0,1.25,3.25,7.5,9.75,8.75,3.5,4.0,0.0,2.0,0.75,0.5,1.75,0.08,0.2,0.89,512.03,-1.3,28.8
0.18,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.3,0.64,2.45,76.26,11.5,-20.5,2.25,1.5,5.5,7.5,9.75,8.75,4.5,4.0,0.0,1.75,1.0,1.0,1.75,0.02,0.2,0.89,622.6,-3.8,29.6
0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.25,0.25,1.5,-0.61,1.89,2.64,78.91,7.8,-36.3,3.75,1.75,6.25,9.0,10.0,8.25,5.5,3.25,0.0,1.75,1.0,1.0,2.25,0.02,0.27,0.89,737.28,-6.2,32.8
0.22,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,1.5,-0.23,2.64,1.83,70.74,7.3,-49.6,3.75,2.0,7.0,10.0,11.0,8.25,6.0,2.75,0.0,2.5,0.75,1.0,1.75,0.02,0.27,0.89,850.43,-6.9,35.3
0.24,0.0,0.0,0.75,1.0,0.0,0.0,0.25,0.0,0.25,0.5,1.25,0.5,1.5,0.45,3.14,1.2,79.26,7.2,-42.4,5.0,2.25,8.0,11.0,11.5,8.0,6.5,2.75,0.0,1.5,0.75,1.0,1.75,0.02,0.27,0.95,956.46,-8.7,39.8
0.26,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,0.95,3.39,0.64,69.49,9.4,-31.9,5.5,2.25,8.75,12.0,11.5,7.75,7.25,2.5,0.0,1.5,0.75,1.0,1.75,0.02,0.27,1.02,1053.78,-9.8,41.1
