time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,-0.17,0.14,0.95,25.41,13.7,9.4,0.5,1.25,0.5,1.25,0.25,2.25,0.0,1.25,0.75,1.5,2.0,1.0,0.25,0.08,0.14,0.95,181.44,-1.2,-8.3
0.04,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,-0.17,0.14,0.95,26.07,17.2,16.7,0.0,1.25,0.0,1.25,0.25,2.25,0.0,1.5,0.75,1.5,1.5,0.75,0.25,0.08,0.14,0.95,177.85,2.8,-11.4
0.06,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,-0.17,0.14,0.95,27.73,17.2,16.7,0.5,1.25,0.0,1.5,0.25,2.25,0.0,1.25,0.75,1.5,1.75,1.0,0.25,0.08,0.14,0.95,175.06,0.1,-8.5
0.08,0.0,0.0,0.75,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,-0.17,0.14,0.95,29.4,18.2,17.4,0.5,1.25,0.25,1.25,0.25,2.25,0.0,1.25,0.75,1.5,1.5,0.75,0.25,0.08,0.14,0.95,172.18,0.1,-4.9
0.1,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,-0.17,0.14,0.95,27.95,12.6,-12.3,0.25,1.25,0.25,1.25,0.25,2.25,0.0,1.25,0.5,1.25,1.5,1.0,0.25,0.02,0.14,0.95,168.05,0.5,-7.0
0.12,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.17,0.14,0.95,27.33,22.4,37.8,0.25,1.25,0.25,1.25,0.5,2.25,0.0,1.25,0.75,1.5,1.75,1.0,0.25,0.02,0.14,0.95,168.86,0.4,-9.0
0.14,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.17,0.08,0.95,26.32,22.4,37.8,0.0,1.25,0.0,1.25,0.25,2.25,0.0,1.25,0.5,1.0,1.75,1.0,0.0,0.08,0.14,0.95,163.76,1.3,-8.5
0.16,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,-0.17,0.14,0.95,27.36,17.2,16.7,0.25,1.25,0.5,1.5,0.25,2.25,0.5,1.5,0.75,1.5,2.0,1.0,0.5,0.08,0.14,0.95,171.54,-0.9,-10.7
0.18,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,-0.17,0.14,0.95,29.61,16.4,5.8,0.5,1.25,0.0,1.25,0.25,2.25,0.0,1.25,0.75,1.5,1.75,1.0,0.25,0.08,0.14,0.95,171.59,0.5,-9.9
0.2,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,-0.17,0.14,0.95,31.11,17.2,16.7,0.25,1.25,0.25,1.25,0.5,2.25,0.0,1.25,0.75,1.25,1.5,1.0,0.25,0.08,0.14,0.95,173.22,0.3,-6.2
0.22,0.0,0.0,1.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,-0.17,0.14,0.95,33.35,20.5,22.5,0.25,1.25,0.0,1.25,0.25,2.25,0.0,1.25,0.75,1.25,1.75,1.0,0.25,0.08,0.14,0.95,170.05,0.9,-10.7
0.24,0.0,0.0,0.75,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,-0.17,0.14,0.95,33.54,21.5,22.8,0.5,1.25,0.0,1.25,0.25,2.25,0.0,1.5,0.5,1.5,1.5,1.0,0.25,0.02,0.14,0.95,168.34,1.3,-8.6
0.26,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,-0.17,0.14,0.95,32.22,4.9,-21.5,0.5,1.25,0.0,1.0,0.0,2.25,0.0,1.25,0.75,1.5,1.5,1.0,0.25,0.02,0.14,0.95,165.13,1.1,-11.7
