time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,0.75,1.0,0.0,0.0,-0.11,0.14,0.95,55.83,11.6,-17.3,0.0,0.5,0.25,1.25,0.25,1.5,1.0,2.0,0.5,1.75,1.5,1.0,0.25,0.02,0.14,0.95,157.69,1.1,-22.8
0.04,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,0.25,0.75,0.0,0.0,-0.11,0.14,0.95,52.47,16.3,-2.9,0.0,0.5,0.25,1.25,0.5,1.75,1.0,2.0,0.5,1.75,1.5,1.0,0.25,0.02,0.14,0.95,159.25,1.6,-19.8
0.06,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.25,0.25,0.5,1.0,0.0,0.0,-0.11,0.14,0.95,49.07,13.0,-25.6,0.0,0.5,0.25,1.25,0.5,1.75,1.0,2.0,0.5,1.5,1.25,1.0,0.0,0.02,0.14,0.95,159.03,1.3,-15.2
0.08,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.25,0.0,1.0,0.75,0.0,0.25,-0.11,0.14,0.95,51.69,10.0,-17.0,0.0,0.5,0.25,1.25,0.5,1.5,1.0,2.25,0.5,1.75,1.5,0.75,0.0,0.02,0.14,0.95,160.04,1.4,-17.3
0.1,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,0.75,1.0,0.0,0.0,-0.11,0.14,0.95,53.92,11.6,-17.3,0.0,0.5,0.25,1.25,0.5,2.0,1.0,2.0,0.5,1.5,1.5,1.0,0.25,0.02,0.14,0.95,161.59,1.7,-17.5
0.12,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,0.75,0.75,0.0,0.0,-0.11,0.14,0.95,54.73,11.7,-13.3,0.0,0.5,0.25,1.25,0.25,1.75,1.0,1.75,0.5,1.75,1.5,1.0,0.0,0.02,0.14,0.95,160.76,0.9,-19.2
0.14,0.0,0.0,0.75,1.0,0.0,0.0,0.5,0.25,0.5,1.0,1.0,0.0,0.0,-0.11,0.14,0.95,62.46,10.8,-13.2,0.0,0.5,0.25,1.25,0.5,1.5,1.0,2.0,0.5,1.75,1.75,1.0,0.25,0.02,0.14,0.95,163.17,0.9,-22.0
0.16,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.0,0.25,0.5,1.0,0.0,0.0,-0.11,0.14,0.95,60.06,15.9,-11.1,0.0,0.5,0.5,1.25,1.0,1.5,1.0,1.75,0.5,1.75,1.5,0.75,0.5,0.02,0.14,0.95,166.71,0.6,-15.3
0.18,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,0.5,0.75,0.0,0.25,-0.11,0.14,0.95,58.5,11.8,-15.9,0.0,0.5,0.25,1.25,0.0,2.0,1.0,1.5,0.5,1.5,1.5,1.0,0.5,0.02,0.14,0.95,164.08,1.2,-22.5
0.2,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.25,0.25,0.75,1.0,0.0,0.0,-0.11,0.14,0.95,55.43,9.7,-23.0,0.0,0.5,0.25,1.25,0.25,2.0,1.0,2.0,0.5,1.75,1.5,1.0,0.25,0.02,0.14,0.95,165.63,2.0,-20.5
0.22,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,0.5,1.0,0.0,0.0,-0.11,0.14,0.95,55.26,13.6,-13.1,0.0,0.5,0.25,1.25,0.25,1.75,1.0,2.0,0.5,1.75,1.5,1.0,0.25,0.02,0.14,0.95,164.14,1.6,-21.6
0.24,0.0,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0.75,1.0,0.0,0.0,-0.11,0.14,0.95,58.96,14.6,3.4,0.0,0.5,0.5,1.25,0.5,1.5,1.0,1.75,0.5,1.5,1.25,1.0,0.25,0.02,0.14,0.95,162.59,-0.1,-16.1
0.26,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.0,0.25,0.75,0.75,0.0,0.0,-0.11,0.14,0.95,57.6,13.9,-11.3,0.0,0.5,0.5,1.25,0.25,1.75,1.0,2.25,0.5,1.5,1.5,1.0,0.0,0.02,0.14,0.95,162.16,0.4,-17.0
0.28,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.0,0.25,1.0,0.75,0.0,0.0,-0.11,0.14,0.95,57.62,11.8,-15.9,0.0,0.5,0.25,1.25,0.25,2.0,1.0,1.5,0.5,1.5,1.5,1.0,0.5,0.02,0.14,0.95,161.37,1.3,-20.5
0.3,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,1.0,1.0,0.0,0.0,-0.11,0.14,0.95,57.26,9.9,-20.9,0.0,0.5,0.25,1.25,0.25,2.0,1.0,1.5,0.5,1.75,1.5,1.0,0.25,0.02,0.14,0.95,161.03,1.3,-19.7
0.32,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,1.0,0.75,0.0,0.0,-0.11,0.14,0.95,57.04,9.9,-17.4,0.0,0.5,0.25,1.25,1.0,1.75,1.0,2.0,0.5,1.75,1.5,1.0,0.25,0.02,0.14,0.95,165.22,1.7,-16.3
0.34,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.25,0.5,0.5,0.75,0.0,0.0,-0.11,0.14,0.95,53.31,13.1,-22.6,0.0,0.5,0.25,1.25,0.25,1.75,1.0,1.75,0.5,1.75,1.5,0.75,0.25,0.02,0.14,0.95,163.56,1.5,-19.3
0.36,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.0,0.75,1.0,0.0,0.0,-0.11,0.14,0.95,52.69,11.6,-15.8,0.0,0.5,0.25,1.25,0.25,2.0,1.0,1.75,0.5,1.75,1.5,1.0,0.25,0.02,0.14,0.95,164.24,1.7,-20.1
0.38,0.25,0.0,0.75,1.25,0.0,0.0,0.5,0.25,0.25,0.5,0.75,0.0,0.0,-0.11,0.14,0.95,56.7,15.6,9.4,0.0,0.5,0.25,1.25,0.25,2.0,1.0,1.75,0.5,1.5,1.5,1.0,0.25,0.02,0.14,0.95,161.55,1.4,-18.9
0.4,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.25,0.0,0.75,0.75,0.0,0.0,-0.11,0.14,0.95,58.11,12.1,-6.2,0.0,0.5,0.25,1.25,0.5,1.75,1.0,1.75,0.5,1.75,0.5,1.0,0.25,0.02,0.14,0.95,158.45,2.4,-14.2
0.42,0.25,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,1.25,1.0,0.0,0.25,-0.11,0.14,0.95,63.94,8.5,-22.8,0.0,0.5,0.25,1.25,0.25,1.75,1.0,2.25,0.5,1.75,1.25,1.0,0.5,0.02,0.14,0.95,159.98,2.4,-22.8
0.44,0.25,0.0,0.5,1.0,0.0,0.0,0.5,0.25,0.25,1.0,0.75,0.0,0.0,-0.11,0.14,0.95,66.13,10.4,-6.5,0.0,0.5,0.25,1.25,0.25,1.5,1.0,1.5,0.5,1.75,0.75,1.0,0.5,0.02,0.14,0.95,155.29,1.5,-20.5
0.46,0.25,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.0,1.0,0.75,0.0,0.25,-0.11,0.14,0.95,66.46,9.7,-15.3,0.0,0.5,0.25,1.25,0.25,1.75,1.0,1.75,0.5,1.5,1.5,0.75,0.5,0.02,0.14,0.95,155.55,1.4,-20.1
0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.25,0.5,0.75,0.75,0.0,0.0,-0.11,0.14,0.95,61.8,9.8,-20.5,0.0,0.5,0.25,1.25,0.25,2.0,1.0,1.75,0.5,1.5,1.5,1.0,0.25,0.02,0.14,0.95,155.47,1.4,-18.9
0.5,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,0.75,0.75,0.0,0.0,-0.11,0.14,0.95,59.42,11.7,-13.3,0.0,0.25,0.5,1.25,1.25,1.5,1.25,1.5,0.5,1.5,1.5,1.0,0.25,0.02,0.14,0.95,160.3,-0.5,-13.8
0.52,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.25,0.25,0.75,0.75,0.0,0.0,-0.11,0.14,0.95,55.94,11.7,-13.3,0.0,0.5,0.25,1.25,0.5,1.5,1.0,2.0,0.5,1.5,1.0,1.0,0.0,0.02,0.14,0.95,158.41,1.1,-14.9
0.54,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.25,0.25,0.0,0.75,0.0,0.0,-0.11,0.14,0.95,49.25,17.2,-2.2,0.0,0.5,0.25,1.25,0.5,1.5,1.0,2.0,0.5,1.5,1.5,1.0,0.5,0.02,0.14,0.95,160.62,1.1,-21.7
0.56,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.25,0.5,0.5,0.75,0.0,0.0,-0.11,0.14,0.95,47.96,11.7,-16.3,0.0,0.5,0.25,1.25,0.25,1.25,1.0,1.75,0.5,1.5,2.0,0.75,0.25,0.02,0.14,0.95,157.23,-0.3,-22.8
