time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,1.5,0.75,1.5,2.5,0.0,0.0,1.25,3.0,0.75,5.25,3.75,0.75,2.5,-0.11,0.14,0.95,287.5,3.0,-30.7,0.75,1.0,0.75,2.5,4.5,5.75,2.75,4.75,1.25,4.5,2.75,1.0,1.25,0.08,0.08,0.95,419.79,3.1,-4.7
0.04,1.25,0.0,1.5,2.5,0.0,0.0,1.25,3.0,1.0,5.25,3.5,0.75,2.5,-0.17,0.14,0.95,288.42,2.3,-36.3,0.75,1.25,0.75,2.75,4.5,5.75,2.75,4.75,1.25,4.25,3.25,1.25,1.5,0.08,0.08,0.95,426.93,2.5,-5.5
0.06,1.25,0.5,1.5,2.25,0.0,0.0,1.25,3.0,1.0,5.0,3.75,1.0,2.5,-0.11,0.14,0.95,290.06,2.7,-35.1,0.75,1.25,1.0,2.5,4.5,5.5,2.75,5.0,1.25,3.75,3.25,1.25,1.25,0.08,0.08,0.95,431.21,2.0,-4.1
0.08,1.5,0.25,1.5,2.5,0.0,0.0,1.5,3.0,1.0,5.0,3.5,0.75,2.75,-0.17,0.14,0.95,290.38,2.9,-33.4,1.0,0.75,0.75,2.5,4.75,5.5,2.75,4.75,1.25,4.25,2.75,1.25,1.5,0.08,0.08,0.95,434.96,2.7,-5.6
0.1,0.75,0.5,1.75,2.0,0.0,0.0,1.25,3.0,1.0,5.25,3.75,1.0,2.5,-0.11,0.14,0.95,290.91,2.1,-38.3,0.75,1.25,0.75,2.75,4.5,5.5,2.75,4.75,1.25,4.0,2.75,1.25,1.75,0.08,0.08,0.95,436.08,2.5,-5.0
0.12,0.5,0.5,1.75,2.5,0.0,0.0,1.25,3.0,0.75,5.25,3.75,0.75,2.5,-0.11,0.14,0.95,289.52,1.9,-36.7,0.25,1.25,1.0,2.5,4.75,5.5,2.75,4.75,1.25,4.0,2.75,1.25,1.25,0.08,0.08,0.95,432.33,2.8,-4.3
0.14,0.0,0.25,1.75,1.0,0.0,0.0,1.25,3.0,0.75,5.0,3.25,0.75,2.5,-0.17,0.14,0.95,280.05,-0.2,-48.2,0.75,1.25,1.25,2.75,4.5,5.5,2.75,4.75,1.25,4.0,2.75,1.25,1.25,0.08,0.08,0.95,434.02,1.7,-2.4
0.16,2.0,0.25,1.5,2.5,0.0,0.0,1.5,3.25,0.75,5.0,3.0,0.75,2.5,-0.17,0.14,0.95,278.45,3.3,-28.9,0.25,1.25,1.25,2.5,4.5,5.75,2.75,4.75,1.25,3.75,2.75,1.5,1.25,0.08,0.08,0.95,430.7,2.4,-4.3
0.18,1.25,0.25,1.75,2.5,0.0,0.0,1.25,2.75,1.0,4.75,3.25,0.75,2.5,-0.11,0.14,0.95,275.49,3.4,-32.1,0.75,1.5,0.75,2.5,4.5,5.5,2.75,5.0,1.25,4.25,2.75,1.0,1.25,0.08,0.08,0.95,432.1,2.7,-3.1
0.2,0.25,0.5,1.75,2.5,0.0,0.0,1.25,3.0,1.0,5.0,3.25,0.75,2.75,-0.11,0.14,0.95,277.43,1.5,-37.7,0.25,0.5,1.5,2.0,4.75,5.5,2.75,4.75,1.25,3.75,3.0,1.0,1.25,0.08,0.08,0.95,422.99,2.7,-6.0
0.22,1.75,0.5,1.5,2.5,0.0,0.0,1.25,3.0,1.0,5.0,2.75,1.0,2.75,-0.17,0.14,0.95,279.88,3.0,-30.3,0.5,1.25,0.5,2.5,4.5,5.75,2.75,4.5,1.25,4.0,2.75,1.25,1.25,0.08,0.08,0.95,418.53,3.2,-4.6
0.24,1.5,0.5,1.75,2.5,0.0,0.0,1.25,3.0,1.0,4.75,3.0,0.75,2.5,-0.17,0.14,0.95,281.0,3.5,-28.8,0.5,0.75,1.25,2.5,4.5,5.75,3.0,4.5,1.25,4.0,2.75,1.0,1.25,0.08,0.08,0.95,414.08,2.4,-3.7
0.26,2.0,0.25,1.5,2.5,0.0,0.0,1.25,3.0,1.0,5.0,3.0,0.75,3.0,-0.11,0.14,0.95,283.48,3.1,-31.0,0.5,1.25,0.5,2.5,4.5,5.5,2.75,5.0,1.25,4.25,3.0,1.25,1.25,0.08,0.08,0.95,415.32,3.2,-6.5
0.28,1.75,0.5,1.5,2.5,0.0,0.0,1.25,3.0,1.0,5.0,2.5,0.75,2.5,-0.11,0.14,0.95,281.7,3.1,-28.0,0.5,1.25,1.0,2.5,4.5,5.5,2.75,5.25,1.25,4.0,3.25,1.25,1.25,0.08,0.08,0.95,422.0,2.5,-5.6
