time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.77,3.64,-0.05,49.35,28.4,41.6,1.25,1.0,0.5,2.0,1.0,2.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.64,-0.55,1.89,680.21,-6.6,56.0
0.04,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,3.64,-0.73,44.61,32.9,60.2,1.25,0.0,1.0,1.0,0.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.02,0.52,377.96,-8.6,57.5
0.06,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.5,0.52,1.64,-0.48,47.59,14.8,-12.1,0.75,0.0,0.75,0.75,0.5,1.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.83,-0.73,1.45,162.76,-10.2,56.9
0.08,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.25,2.25,2.5,-0.11,-0.23,1.27,78.51,5.2,-78.6,0.75,0.0,0.75,0.0,0.5,2.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.45,-1.11,1.39,16.42,-2.1,42.9
0.1,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.25,3.75,-0.05,0.33,1.58,120.51,3.9,-82.1,0.5,0.0,0.75,0.5,0.25,2.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.2,-0.48,1.02,0.0,-2.5,41.1
0.12,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.25,3.25,3.0,3.75,-0.17,0.27,1.77,178.06,-1.9,-84.1,0.5,0.0,0.75,0.25,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.2,-0.3,0.39,0.0,-2.6,41.3
0.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,5.75,2.5,3.75,-0.55,0.27,1.64,209.72,5.4,-80.7,0.0,0.0,0.75,0.25,0.0,2.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.27,-0.23,0.39,0.0,2.3,31.3
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,5.75,0.0,3.75,-0.05,0.27,1.39,220.34,-1.6,-82.6,0.25,0.0,0.75,0.25,0.25,2.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.2,-0.17,0.58,0.0,0.3,36.8
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.25,0.75,6.25,6.25,2.0,3.25,-0.11,0.08,0.95,258.29,-4.1,-78.4,0.25,0.0,0.5,0.0,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.2,-0.17,0.7,0.0,3.0,31.4
0.2,0.0,0.5,0.0,2.5,0.0,0.0,0.0,3.75,1.5,6.75,6.75,1.75,4.25,-0.11,0.08,0.95,313.65,-2.6,-60.3,0.5,0.0,0.75,0.0,0.0,1.75,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.08,-0.05,0.89,0.0,-4.3,38.3
0.22,0.0,0.75,0.0,2.5,0.0,0.75,0.5,4.5,1.75,6.25,6.25,2.25,3.75,-0.17,0.08,0.95,379.01,-2.5,-54.5,0.0,0.0,0.5,0.0,0.0,1.75,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.02,0.14,0.83,0.0,4.7,25.1
0.24,0.0,0.0,0.0,1.0,0.0,1.5,1.0,4.25,1.75,6.0,6.25,2.0,2.5,-0.11,0.08,0.95,412.36,-3.7,-59.5,0.0,0.25,0.5,0.0,0.0,1.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.33,0.77,0.0,0.0,48.4
