time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.5,0.75,2.25,0.0,2.25,0.25,6.5,2.0,5.25,4.0,2.75,4.0,-0.17,-0.05,0.95,497.51,-4.1,-48.1,0.5,0.0,0.75,1.5,2.25,1.25,0.25,0.75,0.75,1.0,0.25,0.0,0.5,-0.73,3.14,1.08,149.85,-1.7,15.9
0.04,0.25,0.75,0.75,2.5,0.0,2.5,0.25,6.5,2.0,5.25,3.25,2.5,4.0,-0.17,0.02,0.95,430.24,-4.1,-43.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,3.83,0.45,106.96,-2.8,49.0
0.06,0.25,0.75,1.25,2.5,0.0,2.5,0.5,6.5,2.0,4.25,2.75,1.5,3.0,-0.17,0.02,0.95,371.07,-3.1,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,4.33,-0.3,61.74,-32.4,27.3
0.08,0.0,0.75,2.5,2.5,2.0,3.25,0.75,6.25,1.75,4.0,1.75,1.5,2.25,-0.17,0.02,0.95,344.11,-2.0,-18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,-2.98,6.14,2.33,24.01,10.8,-82.3
0.1,1.25,0.75,2.5,4.25,2.75,3.5,0.5,6.25,1.75,3.5,1.25,1.25,1.25,-0.17,0.02,0.95,341.46,0.4,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,1.25,2.25,2.5,-0.05,-0.42,1.52,51.49,6.2,-92.4
0.12,1.25,0.75,3.0,4.75,0.0,4.5,0.75,6.25,1.5,2.25,0.0,1.25,1.5,-0.17,0.02,0.95,336.21,1.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,6.75,3.25,4.25,5.5,0.2,0.52,1.77,155.71,5.2,-88.2
0.14,2.75,1.5,4.25,6.5,0.0,4.75,0.75,6.0,1.0,2.25,0.25,0.5,1.25,-0.17,0.08,0.95,355.8,5.3,18.2,0.0,0.0,0.25,0.0,1.75,0.0,0.25,3.75,1.25,7.25,6.25,4.25,6.5,0.08,0.52,1.7,282.18,4.5,-71.8
0.16,3.0,2.25,5.5,8.0,7.5,5.25,0.5,5.75,1.0,2.25,0.0,0.5,1.0,-0.17,0.08,1.02,443.89,5.1,31.5,0.0,0.0,0.0,0.0,0.25,1.0,0.0,4.0,1.25,7.75,6.75,4.25,5.5,0.08,0.14,1.08,387.81,5.4,-75.7
0.18,4.5,3.25,6.25,9.0,8.25,5.5,0.5,5.5,0.5,1.5,0.0,0.5,0.75,-0.17,0.08,1.02,569.87,7.1,40.0,1.25,0.5,0.0,2.0,4.5,2.5,0.5,5.75,2.0,8.5,7.75,5.25,6.5,0.08,0.08,0.95,555.85,3.1,-45.8
0.2,5.75,3.75,6.75,9.0,8.25,5.5,0.25,4.75,0.25,1.25,0.0,0.5,0.25,-0.23,0.14,1.08,691.91,8.9,46.3,1.25,0.75,2.5,2.0,3.75,3.25,1.25,6.25,2.75,8.75,8.0,5.25,6.5,0.14,0.14,0.95,710.54,0.9,-39.9
