time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,2.75,0.0,0.0,1.25,0.0,0.0,2.5,4.5,2.75,1.75,2.0,0.0,0.25,0.89,1.7,0.89,115.15,6.0,-13.9,4.5,2.5,7.5,7.75,9.0,6.75,1.5,7.5,2.25,6.0,4.5,2.25,2.25,0.2,0.14,0.95,981.34,-4.6,11.4
0.04,0.75,0.0,0.75,0.0,0.0,0.0,3.0,3.75,1.5,2.75,1.75,0.25,0.0,0.45,1.64,0.83,149.69,2.5,-31.9,3.75,2.5,7.5,7.75,9.0,7.0,1.5,7.75,2.25,6.25,5.0,2.5,2.75,0.27,0.14,0.95,1043.34,-3.9,8.0
0.06,2.5,1.25,1.75,1.0,0.0,0.0,1.5,3.75,2.0,2.25,2.25,0.25,0.75,-0.17,1.64,0.7,185.75,8.1,-6.6,3.0,2.5,7.0,7.75,9.0,7.0,1.5,7.75,2.25,6.25,5.0,2.5,2.75,0.27,0.14,0.95,1076.23,-3.3,6.6
0.08,2.0,0.75,2.0,0.75,0.0,0.0,2.5,5.0,1.5,2.0,2.75,0.0,1.0,-0.36,1.52,1.02,219.15,6.5,-13.4,3.0,2.5,6.5,7.75,9.0,7.0,1.25,7.75,2.25,6.25,5.0,2.5,2.75,0.27,0.14,0.95,1089.77,-3.0,6.2
0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.25,5.0,0.75,1.0,3.25,0.0,0.75,-0.42,1.2,1.14,221.36,-2.7,-50.3,3.0,2.5,6.5,7.5,9.0,7.0,1.0,7.75,2.25,6.25,5.0,2.25,2.75,0.27,0.14,0.95,1086.22,-2.8,6.4
0.12,1.5,0.5,0.0,0.5,0.0,0.0,0.25,1.75,1.0,2.0,0.25,0.0,0.0,-0.42,1.14,1.2,200.94,2.9,-7.1,3.0,2.5,6.5,7.0,9.0,7.0,1.0,7.75,1.75,6.25,4.5,2.0,2.75,0.27,0.14,0.95,1060.0,-2.6,7.4
0.14,0.75,0.0,0.0,0.25,0.0,0.0,0.5,1.75,1.0,2.0,0.75,0.0,0.0,-0.3,1.14,1.27,167.23,-0.6,-33.2,3.0,2.5,5.5,6.0,9.0,7.0,1.0,7.75,1.75,6.0,4.0,2.25,2.5,0.2,0.14,0.89,1005.35,-1.8,6.6
0.16,1.5,0.0,1.75,0.5,0.0,0.0,0.75,2.0,1.0,0.5,1.5,0.0,0.75,-0.17,0.89,1.39,145.86,11.6,-6.1,2.0,2.5,5.0,6.0,8.75,6.5,1.0,7.75,1.75,6.25,4.75,2.25,2.5,0.2,0.14,0.89,956.18,-1.2,2.8
0.18,2.0,0.75,0.0,0.75,0.0,0.0,0.75,2.0,1.5,2.0,0.5,0.0,0.0,-0.17,0.64,1.39,133.75,6.0,-0.7,2.25,2.5,5.0,5.75,8.0,6.25,1.0,7.75,2.0,6.75,5.0,3.0,3.0,0.2,0.14,0.89,920.41,-1.3,-1.4
0.2,0.5,0.25,0.0,0.5,0.0,0.0,1.0,2.0,1.5,2.0,0.5,0.0,0.0,-0.17,0.45,1.27,121.26,0.3,-26.9,2.0,2.0,4.75,5.5,8.0,6.0,1.0,7.75,2.25,7.5,5.75,3.0,3.0,0.2,0.14,0.95,895.17,-0.9,-5.4
0.22,0.25,0.0,1.75,0.0,0.0,0.0,1.5,2.0,0.5,0.5,0.75,0.0,0.0,-0.17,0.27,1.2,103.58,11.2,-5.6,1.75,1.75,2.75,4.0,7.75,5.75,1.0,8.0,2.25,8.0,7.25,4.25,4.0,0.2,0.14,0.95,873.14,0.9,-17.2
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,0.5,0.25,0.0,0.0,0.0,-0.11,0.14,1.08,60.53,-7.1,-39.3,1.75,1.5,2.25,3.5,6.25,4.75,1.0,8.0,1.75,8.25,7.25,4.5,4.75,0.2,0.14,0.95,833.04,1.3,-24.0
