time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.0,0.0,2.0,0.0,0.0,0.75,2.5,3.25,2.0,1.0,0.75,0.5,-0.17,1.14,1.27,99.55,1.8,-36.4,9.25,3.25,13.5,9.5,4.5,0.0,1.75,0.25,0.25,0.25,0.0,0.5,0.5,-0.05,0.39,1.2,668.96,-24.0,63.0
0.04,0.0,0.0,0.75,2.0,0.0,0.0,3.25,4.5,3.5,2.0,1.5,1.0,0.0,-0.17,1.77,0.95,159.88,4.5,-27.7,8.75,2.25,13.5,7.75,3.75,0.0,2.5,0.0,0.25,0.25,0.0,0.5,0.5,0.14,0.58,1.27,630.02,-25.4,62.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.5,0.5,0.0,1.75,0.75,0.5,0.14,2.2,0.77,178.43,0.2,-43.0,6.0,0.0,11.0,4.5,3.5,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.5,0.27,0.95,2.14,515.5,-26.5,62.3
0.08,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.75,1.25,0.0,0.75,0.0,0.27,2.52,0.58,154.31,-2.2,-59.7,3.0,0.0,7.75,1.25,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.52,2.33,344.59,-35.0,66.5
0.1,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.5,0.75,1.25,0.5,0.75,0.25,-0.11,2.27,0.58,127.71,6.3,-31.2,2.75,0.25,6.5,1.25,0.0,0.0,1.5,0.0,0.25,0.5,0.0,0.5,0.0,-0.05,1.14,2.27,232.17,-30.8,53.0
0.12,0.0,0.0,0.5,2.0,0.0,0.0,3.25,4.5,2.5,0.0,0.5,0.0,0.0,-0.36,1.52,0.7,131.68,5.6,-9.5,1.25,0.25,5.0,1.25,1.25,0.0,1.0,0.0,0.25,0.25,0.25,0.5,0.0,0.02,0.45,2.52,139.28,-25.4,46.9
0.14,0.0,0.0,0.0,0.5,0.0,0.0,2.5,1.0,0.0,1.25,0.0,0.75,0.0,-0.36,-1.3,0.77,113.54,3.8,-32.2,0.5,0.5,3.5,1.25,1.75,0.0,0.75,0.0,0.25,0.25,0.5,0.25,0.0,0.89,-0.17,1.45,76.98,-20.4,43.9
0.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.75,4.5,2.5,3.0,3.0,0.77,0.27,0.89,163.82,-2.7,-77.0,0.5,0.5,2.25,1.25,1.75,0.0,0.75,0.0,0.25,0.25,0.25,0.0,0.5,1.14,-0.98,3.33,37.76,-16.2,39.8
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,5.25,4.25,4.75,5.25,-0.05,0.39,2.2,228.38,-3.3,-90.0,0.25,0.25,2.25,1.25,1.25,0.0,0.75,0.25,0.25,0.0,1.0,0.0,0.25,0.64,-0.86,1.83,25.57,-17.6,30.3
0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,6.75,5.5,5.75,6.0,-0.67,0.14,1.64,310.22,-3.0,-81.1,0.25,0.0,1.75,1.0,1.0,0.0,1.0,0.25,0.25,0.25,0.25,0.5,0.0,0.52,-0.73,0.89,4.41,-17.5,25.3
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,6.75,0.0,6.75,0.02,0.14,1.39,356.52,-7.9,-79.4,0.0,0.25,0.0,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.5,0.0,0.0,0.33,-0.48,0.89,0.0,-10.5,10.4
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.75,8.0,4.5,6.25,3.25,-0.3,0.08,1.08,422.58,-4.2,-76.3,0.0,0.0,2.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.36,0.95,0.0,-33.0,54.5
0.26,0.0,0.0,0.0,0.0,0.0,0.25,0.25,5.75,3.25,8.25,7.75,6.5,7.25,-0.17,0.08,1.08,514.31,-3.9,-78.3,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-0.17,1.14,0.0,-24.1,57.2
0.28,0.0,0.0,0.0,0.0,0.0,0.75,0.5,6.25,3.5,8.25,7.75,6.5,7.25,-0.17,0.02,0.95,613.19,-4.0,-75.9,0.5,0.25,1.5,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.14,0.02,1.14,0.0,-23.2,30.6
0.3,0.0,0.0,1.75,1.25,0.0,0.0,0.5,6.5,3.75,8.25,7.75,6.5,7.25,-0.17,0.02,0.95,711.32,-1.3,-67.6,0.25,0.25,1.5,0.0,0.5,0.0,0.75,0.0,0.25,0.25,0.5,0.5,0.5,0.14,0.2,1.08,1.03,-16.5,1.4
