time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,4.5,4.0,5.0,6.5,8.0,6.75,0.5,8.5,4.75,9.75,8.0,6.25,8.25,-0.11,0.08,0.95,1372.58,1.5,-14.7,5.75,0.75,0.75,1.25,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.58,0.52,2.7,130.56,-26.4,71.5
0.04,4.5,4.25,5.0,6.5,7.5,6.75,0.5,9.0,4.75,9.75,9.0,6.25,9.0,-0.11,0.08,0.95,1388.3,1.4,-16.5,7.5,1.0,1.0,2.5,1.25,0.25,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.33,0.52,2.52,170.65,-22.7,71.1
0.06,4.0,4.0,4.5,6.25,7.75,6.75,0.75,9.25,4.5,9.75,8.75,6.25,9.0,-0.11,0.08,0.95,1390.85,0.9,-17.8,8.25,1.5,4.75,0.0,0.0,0.0,0.0,0.5,0.75,1.0,0.0,0.0,0.0,-0.3,0.27,1.45,213.86,-28.1,66.0
0.08,4.0,3.5,4.75,6.25,7.5,6.75,0.5,9.25,4.5,9.75,8.75,6.25,9.0,-0.11,0.08,0.95,1378.88,0.9,-18.6,9.25,3.25,4.75,0.0,6.25,2.0,0.0,1.25,1.25,0.0,0.75,0.0,0.25,-0.11,0.2,1.58,300.06,-15.7,59.3
0.1,4.0,3.75,4.5,6.0,7.5,6.75,0.5,9.25,4.25,9.75,8.75,6.5,9.25,-0.11,0.08,0.95,1362.61,0.7,-19.2,9.5,3.25,8.5,9.0,7.0,5.25,1.25,1.75,0.5,2.5,0.75,0.0,0.0,0.08,0.2,1.64,494.27,-13.6,51.8
0.12,3.75,3.75,4.25,5.25,7.5,6.75,0.0,9.5,4.0,10.5,9.0,6.75,10.0,-0.11,0.08,0.95,1354.47,0.0,-22.5,9.75,4.25,9.75,10.5,8.5,6.25,0.0,0.0,2.0,3.5,2.0,0.0,0.0,-0.11,0.14,1.58,757.24,-13.3,48.8
0.14,3.75,3.5,3.25,5.25,7.0,6.75,0.0,9.75,3.75,10.5,8.75,7.0,10.0,-0.11,0.08,0.95,1334.16,-0.6,-24.6,9.75,4.25,9.75,10.5,8.5,6.25,0.0,3.75,3.5,4.25,2.25,1.5,1.5,0.08,0.14,1.08,1048.64,-10.5,32.9
0.16,3.75,3.5,2.75,5.0,7.25,6.25,0.0,9.75,3.25,10.5,8.5,6.5,9.25,-0.11,0.08,1.02,1303.86,-0.9,-23.9,10.0,4.25,10.0,10.5,8.5,6.75,6.5,5.0,3.75,4.25,4.0,1.5,1.5,0.02,0.08,1.02,1318.29,-11.0,29.0
0.18,2.0,3.0,3.0,3.5,6.5,5.0,0.0,9.0,2.5,9.75,7.0,5.75,9.25,-0.11,0.08,1.02,1190.22,-1.9,-28.4,9.75,4.25,10.5,10.5,8.5,6.75,7.0,4.75,3.75,4.25,3.75,1.5,1.5,0.02,0.14,1.02,1451.11,-11.2,29.6
0.2,3.75,3.25,2.25,5.25,5.25,5.25,0.0,9.0,2.5,10.5,6.75,5.5,9.25,-0.11,0.08,1.14,1109.07,-1.1,-25.2,9.75,4.0,11.0,10.5,8.5,6.25,6.75,4.5,3.25,4.0,3.25,0.75,1.25,0.08,0.14,0.95,1504.57,-11.9,33.3
0.22,3.75,3.75,3.25,5.0,5.5,3.5,0.0,8.5,2.5,9.5,6.0,4.75,8.5,-0.17,0.08,1.33,1010.88,0.2,-21.0,9.75,4.0,11.0,10.5,8.5,6.25,6.5,3.75,2.75,3.5,2.75,0.25,0.25,0.02,0.14,0.95,1497.34,-12.8,39.5
0.24,3.75,3.75,3.0,5.0,6.0,2.25,0.0,8.0,2.5,8.75,6.25,4.25,9.0,-0.36,0.2,1.33,955.2,0.6,-21.1,9.75,4.0,10.0,9.25,8.5,6.25,6.25,3.75,2.75,3.5,2.5,0.25,0.75,0.02,0.14,0.95,1445.96,-12.1,38.0
0.26,3.75,3.25,2.5,4.75,5.75,2.25,0.0,7.25,2.5,6.75,5.75,2.5,8.25,-0.48,0.2,1.64,869.27,0.8,-17.1,9.0,3.25,9.75,8.75,7.5,5.75,6.0,3.5,2.5,3.5,2.5,0.25,0.5,0.02,0.14,0.89,1352.6,-12.4,37.3
0.28,2.75,3.0,3.0,3.25,5.5,0.0,0.0,6.25,2.0,5.0,5.5,1.0,6.5,-0.55,0.33,1.45,734.71,2.2,-14.7,9.0,2.75,9.75,8.75,7.25,5.75,5.75,3.5,2.5,3.5,2.5,0.25,0.5,0.02,0.14,0.89,1248.68,-12.5,36.7
0.3,3.0,2.5,2.0,1.5,5.5,0.75,0.0,5.0,2.25,1.0,4.0,0.0,0.0,-0.3,0.33,1.45,535.16,5.9,16.4,8.75,2.5,9.0,8.5,7.5,5.75,5.25,3.25,2.5,3.75,2.5,0.25,0.75,0.02,0.14,0.89,1132.6,-11.7,35.1
0.32,1.0,2.25,3.0,2.75,5.5,0.0,0.0,3.25,2.25,0.75,3.5,0.0,3.0,0.64,1.64,1.02,387.74,5.7,5.4,8.25,2.5,9.0,8.5,7.0,5.75,4.75,3.75,2.5,4.0,2.75,0.25,1.25,0.02,0.14,0.95,1035.55,-11.0,31.6
0.34,2.25,2.0,1.75,2.75,5.0,0.0,0.0,3.75,2.25,0.5,3.75,0.0,2.5,1.02,1.7,1.27,300.63,5.8,6.2,8.0,2.5,9.0,7.5,7.25,6.0,4.75,3.75,2.5,4.25,3.0,0.75,1.25,0.02,0.14,0.95,965.97,-10.5,28.9
0.36,2.75,2.0,1.75,2.5,4.75,0.0,0.0,3.0,2.0,0.0,3.75,0.0,2.5,0.64,1.7,1.08,264.49,7.3,10.1,8.0,2.5,8.5,7.0,7.0,6.0,4.5,3.75,2.75,4.25,3.25,1.25,1.25,0.02,0.14,0.95,929.5,-10.2,26.4
0.38,2.75,3.0,2.0,2.75,4.75,0.0,0.0,3.0,2.0,0.0,3.25,0.0,2.5,0.52,1.64,0.89,255.92,7.8,16.1,7.5,2.25,8.5,7.0,7.0,6.25,4.25,4.75,3.25,5.5,3.75,1.5,1.5,0.02,0.14,0.95,926.07,-8.8,20.0
0.4,2.25,3.0,2.5,2.75,5.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,2.25,0.33,1.52,0.95,261.52,8.0,17.9,7.0,1.75,8.0,7.0,7.0,6.25,4.25,5.0,3.25,6.0,5.0,1.75,2.5,0.02,0.14,0.95,942.82,-7.7,13.0
0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.33,1.14,156.16,0.0,0.0,7.0,1.75,8.0,7.0,7.25,6.25,4.25,5.25,3.25,6.0,5.0,2.75,3.25,0.02,0.14,0.95,987.89,-7.3,9.7
0.44,4.5,3.5,0.0,4.75,0.0,1.0,0.0,6.0,2.5,0.0,0.0,0.0,0.0,0.14,1.02,1.33,154.85,8.3,34.2,6.5,1.75,8.0,6.75,7.0,6.25,4.0,5.75,3.5,6.5,5.0,3.0,3.25,0.02,0.14,0.95,1028.9,-6.8,7.0
0.46,3.5,3.25,3.75,4.75,5.75,1.0,0.0,3.25,3.25,0.0,4.0,0.0,2.75,0.02,0.83,1.39,224.51,9.2,19.6,5.75,1.75,7.5,6.75,7.0,6.25,4.0,5.75,3.5,6.75,5.25,3.0,4.0,0.02,0.14,0.95,1060.39,-5.9,3.6
