time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,2.25,1.75,1.0,3.5,2.5,2.25,0.0,1.5,1.5,2.0,1.0,1.75,2.25,0.27,0.89,0.64,307.99,4.0,4.3,3.75,0.25,2.75,3.0,1.5,0.0,0.0,1.5,1.5,2.25,0.25,1.75,0.0,0.45,0.33,1.64,175.17,-13.8,17.1
0.04,2.5,1.75,0.75,2.5,3.0,2.25,0.0,1.75,1.5,1.25,1.25,1.5,2.75,0.33,1.14,0.58,305.55,3.2,3.3,2.5,0.5,4.25,1.75,3.0,0.75,0.0,2.0,1.5,1.75,2.75,1.5,0.25,0.64,-0.11,1.58,152.32,-11.1,8.8
0.06,2.25,1.75,1.0,3.5,2.5,2.0,0.0,1.75,1.75,2.0,1.25,2.0,2.75,0.02,2.89,0.2,309.34,3.9,-1.1,2.25,0.5,2.75,1.5,3.0,0.75,0.0,2.0,1.5,1.5,2.75,1.75,0.0,1.08,-0.86,1.7,146.46,-9.3,4.3
0.08,2.25,1.75,1.0,2.25,2.25,1.75,0.0,1.0,1.5,2.25,2.25,6.0,5.5,-0.48,-0.23,0.89,340.04,3.1,-30.8,0.75,0.5,1.25,1.0,1.75,0.0,0.0,2.0,1.25,0.75,1.5,0.5,0.0,0.77,-0.3,1.45,117.14,-7.0,1.8
0.1,2.0,1.75,1.0,2.5,2.25,2.5,0.0,1.25,2.25,5.25,3.5,7.5,7.5,-0.48,0.2,2.33,416.44,0.7,-41.9,0.75,0.0,1.75,1.75,1.25,0.0,0.0,2.0,1.25,0.5,2.75,0.5,0.75,0.45,-0.17,0.7,91.35,-8.6,-10.5
0.12,1.75,1.0,1.0,1.25,1.25,3.0,0.0,3.0,2.75,7.0,5.5,8.25,7.5,-0.05,0.45,2.08,526.72,-0.9,-53.8,1.0,0.75,1.75,2.25,0.5,0.5,0.0,1.75,1.25,1.75,0.75,1.75,0.0,0.39,-0.17,0.52,79.87,-8.5,-2.2
0.14,2.25,1.75,1.0,1.0,2.5,3.0,0.0,4.5,2.75,6.75,6.25,7.5,8.75,-0.05,0.14,1.08,653.6,-1.2,-47.6,2.0,1.5,2.0,1.5,1.5,0.75,0.25,2.25,1.5,2.0,2.0,1.5,0.75,0.39,-0.23,0.7,127.46,-7.4,-0.8
0.16,2.25,1.5,0.0,1.75,0.5,2.25,0.0,5.0,2.25,6.75,5.5,7.5,7.75,-0.05,0.02,0.95,711.35,-1.7,-54.0,2.0,0.75,2.75,0.5,3.25,0.0,0.0,2.0,1.0,0.25,2.25,0.5,0.75,0.33,-0.23,0.95,165.14,-10.4,13.7
0.18,1.25,2.75,0.0,3.75,0.75,3.75,0.0,4.75,3.0,7.0,5.5,8.25,7.5,-0.11,0.08,0.95,753.71,-1.4,-45.3,2.0,1.0,3.25,1.5,3.0,0.0,0.0,2.0,1.0,0.25,2.0,0.5,0.75,0.27,-0.11,0.95,209.73,-11.9,19.4
0.2,0.5,2.0,0.0,3.75,2.25,4.0,0.0,5.75,3.5,8.0,6.75,9.0,9.25,-0.11,0.08,0.95,824.46,-2.6,-49.7,0.5,0.0,2.0,1.75,0.25,1.0,0.0,2.0,1.25,1.5,0.75,0.75,0.25,0.2,0.02,0.83,204.62,-6.0,-6.4
