time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.25,0.0,1.75,1.75,0.0,2.25,0.25,2.25,1.5,4.25,3.5,6.25,5.75,-0.11,0.08,0.89,504.14,-0.3,-58.7,2.0,0.5,2.75,1.75,1.0,2.75,0.0,0.0,0.75,0.75,0.0,0.25,0.25,0.45,0.39,1.39,222.18,-11.2,40.8
0.04,0.75,0.75,0.75,1.75,0.0,2.5,0.0,2.5,2.0,6.5,4.0,7.0,6.25,-0.11,0.08,0.89,525.51,-1.8,-59.0,1.25,1.25,1.5,3.0,0.0,3.0,0.0,0.75,1.0,2.25,0.75,0.75,0.75,0.58,0.02,1.52,164.89,-4.5,9.6
0.06,0.25,0.75,2.25,2.25,3.75,3.0,0.0,4.5,1.75,5.75,5.75,7.0,7.5,-0.11,0.08,0.95,589.95,-1.3,-44.4,1.0,1.5,2.75,3.0,2.75,3.0,0.0,0.5,1.0,2.0,1.5,0.75,0.5,0.7,-0.42,1.2,137.87,-6.1,19.8
0.08,0.0,0.75,2.75,2.5,3.75,3.5,0.0,5.25,2.25,7.5,6.75,8.25,8.0,-0.11,0.08,0.95,707.18,-1.4,-46.5,1.25,0.5,2.75,0.75,2.75,1.5,0.0,0.5,0.5,0.75,1.5,0.25,0.5,0.83,-0.98,1.52,115.21,-8.8,22.6
0.1,0.0,0.75,2.0,2.75,3.75,3.5,1.5,5.5,2.75,8.75,7.0,9.0,9.0,-0.11,0.08,0.95,845.71,-1.7,-49.2,0.0,0.5,1.5,1.0,1.0,0.75,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.58,-0.23,1.14,57.86,-10.2,42.7
0.12,0.0,0.75,2.75,3.25,3.75,3.5,1.75,6.25,3.5,8.75,8.0,9.25,9.25,-0.11,0.02,0.95,974.53,-0.8,-47.4,0.0,0.5,0.25,1.75,1.0,0.5,0.0,0.0,0.25,0.5,0.75,0.0,0.0,0.45,-0.23,0.52,16.43,-6.3,26.0
0.14,0.25,0.75,2.5,3.0,3.75,3.5,2.25,7.0,3.5,9.0,8.25,9.5,10.0,-0.11,0.02,0.95,1070.09,-1.1,-48.5,0.25,0.5,0.5,0.75,0.5,0.25,0.0,0.0,0.25,1.0,0.25,0.0,0.0,0.52,-0.23,0.58,0.0,-7.0,19.8
0.16,0.25,0.75,3.0,3.0,3.75,4.5,2.25,7.0,3.75,9.5,8.25,9.75,10.0,-0.11,0.02,0.95,1140.05,-1.1,-46.9,0.25,0.25,0.5,0.5,1.0,0.25,0.0,0.0,0.25,1.25,0.5,0.0,0.0,0.45,-0.23,0.7,0.0,-3.9,8.0
0.18,0.25,0.75,3.0,3.5,3.75,4.5,2.5,7.25,3.75,9.5,8.25,9.5,10.0,-0.11,0.02,0.95,1169.92,-1.0,-45.6,0.0,0.25,0.5,0.75,0.5,1.75,0.0,0.0,0.5,1.0,0.25,0.0,0.0,0.33,-0.17,0.89,0.0,1.8,13.9
0.2,0.25,0.75,3.0,3.5,3.75,4.75,2.5,7.25,4.0,9.25,8.25,9.0,9.25,-0.11,0.02,0.95,1174.12,-0.9,-44.0,0.0,0.0,0.25,0.5,0.5,1.25,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.27,0.02,0.89,6.42,0.7,11.3
0.22,0.75,0.75,3.25,3.5,3.75,4.75,2.5,7.25,4.0,8.5,8.0,8.75,9.0,-0.11,0.02,0.95,1163.37,-0.4,-41.5,0.0,0.0,0.75,2.0,0.5,1.25,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.33,0.08,1.02,26.34,-6.3,26.6
0.24,0.25,1.0,3.0,3.75,4.25,5.25,2.5,7.25,4.25,8.5,8.0,7.75,8.5,-0.11,0.02,0.95,1138.89,-0.8,-38.9,0.0,0.0,0.25,0.5,0.25,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.39,0.2,1.08,16.76,-7.2,8.7
0.26,0.0,0.0,2.25,3.5,2.5,5.75,2.5,6.5,4.25,8.5,7.0,8.25,8.25,-0.11,0.02,0.95,1071.94,-1.8,-46.0,0.0,0.0,0.5,1.0,0.25,0.0,0.0,0.0,0.5,0.75,0.75,0.0,0.0,0.45,0.33,1.14,31.14,-10.1,-6.0
0.28,0.25,0.75,3.0,3.75,4.25,5.75,2.25,7.25,4.5,7.75,7.25,7.5,7.5,-0.11,0.02,0.95,1014.16,-0.8,-36.7,0.0,0.0,0.75,1.25,0.25,0.5,0.0,0.0,0.25,1.0,0.25,0.0,0.0,0.52,0.45,1.2,29.18,-6.9,11.8
0.3,1.25,0.75,4.0,3.75,6.25,5.75,1.25,7.25,4.5,7.25,7.0,7.5,7.0,-0.05,0.08,0.95,975.01,0.1,-29.3,0.0,0.0,0.25,0.5,0.25,0.75,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.52,0.64,1.45,28.93,1.4,11.7
0.32,2.0,0.75,4.0,3.75,5.75,6.0,2.5,7.0,4.5,7.25,7.0,7.0,6.5,-0.05,0.08,0.95,953.5,0.8,-26.5,0.0,0.0,0.25,0.25,0.25,1.0,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.45,0.7,1.58,37.23,2.4,1.1
0.34,2.0,0.0,4.5,5.75,6.5,6.75,3.75,7.0,4.5,6.0,6.5,6.25,5.5,-0.05,0.08,0.95,950.7,1.9,-18.6,0.0,0.0,0.5,0.5,0.25,0.75,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.45,0.77,1.77,41.25,-7.1,19.9
0.36,2.0,0.75,5.25,7.0,6.75,7.0,4.5,7.0,4.5,5.75,5.75,5.75,4.5,-0.05,0.08,0.95,967.33,2.9,-11.0,0.0,0.0,0.25,0.5,0.25,2.25,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.52,1.14,1.89,49.19,6.8,11.3
0.38,2.25,1.0,4.5,7.5,8.0,7.0,4.75,6.75,4.5,5.25,5.25,5.0,4.25,-0.05,0.08,0.95,985.68,2.9,-6.3,0.0,0.0,0.0,0.5,0.25,2.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.58,1.52,1.52,49.99,9.2,25.8
0.4,3.0,1.25,5.25,9.0,8.75,7.5,5.5,6.5,4.5,4.5,4.25,3.75,2.75,-0.05,0.08,0.95,1012.36,4.4,5.2,0.0,0.0,0.25,0.5,0.25,2.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.14,2.08,1.64,55.95,6.9,15.2
0.42,3.0,1.75,6.0,11.5,9.25,7.75,5.75,6.25,4.25,4.25,4.0,3.5,2.5,-0.05,0.08,0.95,1066.41,5.3,10.8,0.0,0.0,0.0,0.5,0.25,2.5,0.0,0.0,0.25,0.5,0.25,0.0,0.0,-0.42,2.45,0.89,59.52,11.5,14.5
0.44,4.0,1.75,7.0,12.5,10.0,7.75,5.75,6.0,3.75,4.25,3.75,2.5,1.5,-0.05,0.08,0.95,1127.92,6.6,18.4,0.0,0.0,0.0,0.0,0.25,2.0,0.0,0.0,0.25,1.0,0.25,0.0,0.0,-1.11,3.02,0.2,61.02,14.8,-6.4
0.46,4.0,2.25,8.0,13.5,12.0,8.0,5.5,5.5,3.0,2.75,1.75,2.25,1.5,-0.05,0.08,0.95,1186.82,7.2,27.6,0.5,0.0,2.75,0.75,1.25,2.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,-1.55,3.7,-0.11,87.37,-10.4,40.4
