time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,8.5,2.25,5.5,7.0,5.5,1.0,0.0,1.5,1.0,0.0,0.5,0.25,0.5,-0.73,1.02,2.7,596.78,17.3,56.3,0.5,0.0,2.75,2.75,4.5,5.75,0.75,6.0,2.0,8.25,7.5,6.5,8.0,0.08,0.08,0.89,1017.25,2.5,-40.3
0.04,7.0,2.0,2.5,5.5,5.5,0.25,0.0,0.0,0.75,0.0,1.25,1.0,0.75,-0.42,0.33,2.33,441.41,16.3,50.2,0.5,0.25,2.75,3.0,4.5,6.0,1.0,6.5,2.25,8.25,7.5,6.25,7.75,0.08,0.08,0.95,1028.69,2.4,-38.2
0.06,4.5,0.75,1.5,2.0,4.75,0.0,0.0,0.0,0.5,0.75,1.0,0.75,0.5,-0.42,0.52,2.33,298.48,13.5,40.3,1.25,1.25,2.75,3.0,4.75,6.0,1.75,6.5,2.25,8.25,7.5,6.25,7.5,0.08,0.08,0.95,1028.36,1.4,-32.9
0.08,0.75,0.0,1.5,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-0.98,-0.61,2.27,156.14,15.2,55.7,1.0,1.25,2.75,3.25,5.0,6.5,2.0,6.5,2.25,8.0,7.25,5.75,7.0,0.08,0.08,0.95,1011.82,1.5,-30.3
0.1,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,-0.61,2.27,3.16,7.9,55.9,1.25,1.0,2.75,3.75,5.5,6.5,3.0,6.5,2.25,8.0,7.0,5.5,6.5,0.08,0.08,0.95,983.42,1.0,-27.0
0.12,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.73,-1.17,1.14,0.0,9.2,25.6,1.75,0.75,3.5,4.25,6.0,6.75,3.0,7.0,2.75,7.75,6.75,5.0,6.25,0.08,0.08,0.95,955.16,0.3,-22.5
0.14,0.0,0.5,0.0,2.25,0.0,1.25,0.0,0.0,0.5,0.5,0.0,0.25,0.0,-0.61,-0.42,0.83,0.0,3.8,27.1,2.0,0.5,4.75,5.0,6.75,7.25,3.25,7.0,2.75,7.25,6.5,4.75,6.0,0.08,0.14,0.95,957.58,-0.7,-16.9
0.16,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,-0.48,-0.48,0.27,0.0,2.1,-61.8,1.75,1.25,5.25,5.5,6.75,7.25,3.5,6.75,3.0,7.0,6.25,3.5,5.5,0.08,0.14,0.95,963.38,-1.3,-11.5
0.18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.25,0.0,-0.55,-0.36,0.52,0.0,-0.9,2.7,1.25,1.25,5.25,5.75,7.75,7.5,3.25,6.75,2.75,6.5,5.75,3.5,4.75,0.08,0.14,0.95,971.68,-1.1,-8.3
0.2,0.0,0.0,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,-0.36,0.77,0.0,31.1,59.9,2.0,1.5,5.25,6.25,8.25,7.75,4.0,6.5,2.75,5.75,5.25,2.25,4.0,0.08,0.14,0.95,973.72,-1.9,-0.2
