time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.5,0.5,0.5,0.0,2.75,0.25,5.25,0.75,2.75,3.5,2.0,4.0,-0.17,0.2,1.52,381.2,-6.4,-51.6,5.75,2.25,5.25,6.25,5.0,2.75,0.25,1.0,0.0,0.0,0.25,0.25,0.0,0.52,0.45,1.7,264.62,-15.1,60.1
0.04,0.0,0.0,1.0,0.75,0.0,2.5,0.0,3.75,0.75,2.75,2.5,1.25,3.75,-0.17,0.39,1.83,298.7,-6.0,-49.4,6.75,3.0,8.25,7.25,5.75,3.0,0.0,1.25,0.0,0.0,0.0,0.25,0.5,-0.05,0.33,1.33,395.37,-16.2,59.5
0.06,0.0,0.75,2.0,0.25,0.0,2.25,0.25,4.5,0.75,1.0,2.0,0.25,2.5,-0.23,0.14,1.45,232.64,-2.8,-27.0,6.75,3.0,8.75,7.5,6.25,3.25,0.0,1.25,0.0,0.0,0.0,0.5,0.0,-0.11,0.14,1.2,545.09,-16.4,60.4
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.5,0.0,0.25,1.75,0.0,0.0,0.02,0.33,0.89,140.43,-7.2,-50.2,8.0,4.5,9.5,9.0,8.25,4.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.33,712.33,-14.8,60.9
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,3.39,-0.23,32.83,32.4,27.3,8.25,4.75,10.5,11.0,9.25,6.0,0.25,3.25,0.75,1.5,0.5,0.5,0.25,0.27,0.2,2.02,905.81,-12.3,50.6
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.64,3.2,1.52,0.0,12.2,-38.5,8.25,4.75,10.5,11.0,9.5,6.25,1.0,5.25,1.25,2.25,1.25,1.0,0.5,0.2,0.14,1.08,1102.14,-10.8,42.1
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.52,1.08,0.0,0.0,0.0,8.0,4.75,10.0,11.0,9.25,6.25,1.5,6.0,1.5,3.0,2.75,1.0,0.5,0.2,0.14,1.08,1268.75,-10.1,36.6
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,2.45,0.83,0.0,0.0,0.0,7.75,4.25,10.0,10.5,9.25,6.25,1.25,6.25,1.5,2.5,2.5,1.25,1.25,0.2,0.14,1.02,1345.0,-9.7,34.4
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.89,1.2,0.0,0.0,0.0,7.75,4.25,9.5,10.5,9.0,6.0,1.0,6.0,1.25,2.0,2.5,1.0,0.75,0.2,0.14,0.95,1348.47,-10.1,37.3
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.45,1.58,0.0,0.0,0.0,7.5,3.75,9.25,9.25,8.25,5.75,0.5,5.25,1.25,1.75,2.25,1.0,0.5,0.2,0.14,0.89,1285.64,-10.5,38.4
