time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,6.25,0.0,7.25,6.0,0.0,0.0,0.25,0.0,0.25,0.75,0.0,0.0,0.5,-0.73,0.77,2.08,394.81,27.6,59.9,0.25,0.0,0.0,0.0,0.0,1.0,0.25,3.75,0.75,7.75,6.25,5.25,6.5,-0.11,0.27,1.2,425.86,5.2,-78.3
0.04,1.75,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.75,-0.73,1.7,3.02,266.66,22.3,37.1,0.0,0.0,0.5,0.5,2.25,1.0,0.0,5.0,1.5,8.25,7.75,5.25,7.25,0.08,0.14,0.95,526.09,4.3,-65.8
0.06,0.0,0.0,0.75,1.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.61,0.89,2.64,142.74,12.7,16.2,1.25,0.25,0.0,2.0,1.5,3.5,0.25,6.0,2.0,9.5,8.75,6.5,7.75,0.08,0.14,0.95,664.6,3.7,-56.7
0.08,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.25,0.0,0.75,0.0,0.0,0.0,-0.61,0.02,1.83,22.07,-12.4,-39.7,1.75,0.5,1.25,2.25,3.0,3.5,1.0,7.5,2.5,9.75,9.5,6.5,8.25,0.14,0.08,0.95,821.32,2.2,-47.8
0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,-0.3,-1.11,2.08,0.0,-10.3,-40.2,2.0,0.75,1.25,3.0,2.25,3.75,1.75,8.0,3.25,9.5,9.75,6.5,8.25,0.14,0.08,0.95,965.5,1.4,-45.7
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,-0.48,-0.8,1.08,0.0,-16.2,-57.1,2.0,1.0,3.75,3.25,1.75,4.25,1.75,8.0,3.25,9.25,9.5,6.0,7.75,0.14,0.08,0.95,1062.35,-0.2,-39.1
0.14,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.25,0.0,0.5,0.0,0.0,0.0,-0.67,-0.73,0.52,0.0,-12.0,-35.3,2.75,1.0,4.0,3.25,4.5,4.5,2.0,8.0,3.25,8.5,8.75,5.75,7.25,0.2,0.08,0.95,1110.92,-0.7,-30.4
0.16,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,-0.48,-0.67,0.52,0.0,-7.7,-22.8,3.0,1.25,5.25,3.25,5.25,4.75,2.0,8.0,3.0,8.0,8.0,5.25,6.5,0.2,0.08,0.95,1120.79,-1.6,-23.6
0.18,0.0,0.0,1.5,0.25,0.0,0.0,4.75,0.0,0.25,0.0,0.0,0.0,0.0,-0.3,-0.55,0.7,0.0,32.4,37.4,3.0,1.25,5.25,3.25,5.25,5.0,2.0,7.5,2.75,7.5,7.5,4.0,5.5,0.2,0.08,0.95,1084.1,-1.8,-19.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,-0.3,-0.48,0.89,0.0,12.1,-38.5,3.0,1.25,5.5,4.5,4.75,5.5,2.0,7.0,2.0,6.5,6.25,3.0,4.75,0.2,0.14,0.95,1015.31,-2.4,-11.5
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,-0.3,-0.3,0.95,0.0,-6.8,-51.0,3.0,1.75,6.5,5.5,5.25,5.25,2.0,6.75,2.0,5.75,5.25,2.75,3.5,0.14,0.14,0.95,952.2,-4.0,-2.4
0.24,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,-0.3,-0.05,0.95,0.0,4.3,-5.3,3.75,2.0,6.75,5.5,5.5,5.25,2.0,5.75,1.5,4.75,4.25,2.0,2.75,0.14,0.14,0.95,886.38,-5.4,7.0
0.26,0.0,0.0,0.75,0.0,0.0,0.0,2.25,3.75,0.0,0.0,0.5,0.0,0.0,-0.3,0.02,1.02,19.18,1.1,-17.3,4.5,2.0,7.75,7.25,5.5,5.5,2.0,5.5,1.5,3.5,3.25,1.25,2.5,0.14,0.14,0.95,840.38,-7.3,17.2
0.28,0.0,0.0,0.0,0.0,0.0,0.0,4.25,4.75,0.0,0.5,0.0,0.0,0.0,-0.3,0.14,1.27,63.31,-2.9,-22.8,4.5,2.0,7.5,7.25,5.5,5.5,1.5,3.75,0.75,1.5,2.0,0.5,1.5,0.14,0.14,0.95,756.19,-9.3,32.0
0.3,1.5,0.0,0.0,1.25,0.0,0.0,0.0,0.0,2.75,1.5,0.0,0.0,0.0,-0.3,0.2,1.77,95.24,11.7,-0.7,4.5,1.75,7.75,9.0,5.25,5.0,1.5,3.75,0.75,2.75,1.0,1.25,2.25,0.14,0.14,0.95,711.13,-9.1,27.4
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.42,0.39,1.95,80.13,-15.7,-75.5,5.75,2.5,8.75,9.5,7.0,5.0,1.25,3.75,0.5,3.0,1.25,1.0,1.0,0.08,0.14,0.95,709.61,-10.3,35.6
0.34,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.55,0.58,2.52,58.99,6.3,-6.7,6.75,2.25,10.5,9.0,7.25,3.5,1.75,2.5,0.0,1.75,2.25,1.25,1.75,0.08,0.14,1.02,736.46,-13.5,37.5
0.36,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,1.33,2.64,27.88,17.2,57.9,6.75,1.25,9.5,9.5,6.25,3.5,1.25,2.25,0.0,0.5,1.0,0.25,1.0,0.08,0.2,1.02,718.4,-15.0,48.2
0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.73,2.14,2.64,10.49,-15.7,-75.5,6.75,2.0,10.5,11.0,6.75,3.25,1.0,2.0,0.0,0.5,0.0,0.0,0.75,0.08,0.2,1.08,713.79,-16.0,54.7
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.3,3.39,2.02,0.47,-15.7,-75.5,7.5,2.5,10.5,10.5,7.0,3.25,0.75,1.0,0.0,0.25,1.0,0.0,1.0,0.08,0.27,1.08,709.01,-16.7,55.0
0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.14,0.64,0.0,0.0,0.0,8.25,3.25,11.0,11.0,7.0,1.0,1.0,1.25,0.0,0.75,1.0,0.25,1.5,0.08,0.27,1.08,729.79,-18.0,52.8
0.44,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.5,0.0,0.39,5.14,0.08,5.0,2.3,-44.8,8.0,3.5,13.0,11.0,7.5,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.02,0.27,1.14,750.88,-20.3,62.5
0.46,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.39,6.77,0.64,4.4,32.4,27.3,8.0,3.5,11.5,9.5,5.5,1.25,0.5,0.5,0.0,1.5,0.75,0.5,0.75,0.02,0.33,1.14,748.53,-19.2,54.8
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,-0.73,0.33,1.39,11.98,-13.7,-109.9,8.0,3.5,11.5,9.25,6.5,2.75,0.5,0.75,0.0,0.0,0.25,0.0,0.75,0.02,0.33,1.2,740.41,-18.5,61.1
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.5,0.75,3.5,4.25,-0.05,-0.3,-0.11,79.79,-5.9,-96.6,8.0,3.0,11.5,9.0,2.75,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.5,0.08,0.39,1.33,673.49,-23.8,66.1
0.52,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3.25,0.75,6.25,3.25,0.0,5.75,-0.48,0.58,2.89,177.2,-9.5,-76.6,7.25,2.0,10.5,7.25,2.5,1.0,1.25,0.5,0.0,0.0,0.0,0.0,0.5,0.27,0.58,1.64,591.73,-23.8,64.0
0.54,0.0,0.0,0.0,0.25,0.0,0.0,0.0,5.5,2.0,7.25,6.25,5.25,6.75,-0.73,0.64,2.77,311.04,-4.8,-78.7,5.5,0.25,8.75,4.5,0.5,1.0,1.5,0.25,0.0,0.0,0.0,0.0,0.75,0.27,1.02,2.2,447.2,-26.5,59.8
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.0,2.75,7.25,0.0,5.25,7.0,-0.11,0.08,1.08,411.97,-8.0,-78.8,3.25,0.5,6.0,3.25,0.0,1.5,0.75,0.25,0.0,0.0,0.0,0.0,1.25,0.14,1.83,2.83,322.08,-22.2,50.4
0.58,0.0,0.0,0.25,0.0,0.0,0.5,0.25,6.75,3.75,7.5,7.25,5.25,6.25,-0.17,0.02,1.02,545.43,-3.9,-73.2,0.75,0.25,5.0,0.5,0.0,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.14,0.52,2.33,210.44,-24.4,45.7
0.6,0.0,0.0,0.0,2.0,0.0,1.5,0.5,7.0,4.5,7.5,7.75,5.25,6.25,-0.17,0.02,0.95,643.76,-3.1,-64.0,0.5,0.0,2.75,0.5,0.0,0.5,0.5,0.75,0.0,0.0,0.0,0.0,0.25,0.45,-0.23,2.14,105.82,-20.6,38.6
0.62,0.25,0.75,0.0,2.25,0.0,2.0,0.5,7.0,5.0,7.25,7.5,5.25,6.25,-0.17,0.02,1.02,730.94,-2.5,-58.0,0.5,0.0,1.75,0.5,0.0,1.0,0.25,0.5,0.0,0.0,0.25,0.0,0.5,0.7,-0.61,2.83,15.29,-12.4,24.8
0.64,0.5,0.75,2.25,3.0,0.0,2.0,0.5,7.0,5.0,6.75,7.25,4.5,5.5,-0.17,0.02,1.02,775.51,0.1,-46.9,0.5,0.0,0.5,0.5,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.27,-0.98,1.95,0.0,-11.2,41.1
0.66,0.75,0.5,2.25,3.5,5.75,2.25,0.5,7.0,4.5,6.5,6.5,3.75,4.5,-0.17,0.02,0.95,810.84,-0.1,-29.0,0.25,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.39,-0.73,1.14,0.0,-1.9,27.5
0.68,0.5,1.0,2.25,4.0,6.25,2.75,0.5,6.75,3.75,5.5,5.5,2.75,3.25,-0.17,0.02,0.95,797.67,0.0,-19.2,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.39,-0.61,0.64,0.0,-5.7,-3.4
0.7,0.5,1.25,2.5,4.0,6.5,2.75,0.5,6.5,3.25,4.25,3.25,1.75,2.25,-0.17,0.02,0.95,741.69,0.1,-7.7,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.2,-0.42,0.7,0.0,-3.8,-8.5
0.72,0.25,1.75,2.75,4.25,7.25,3.0,0.5,6.0,2.5,3.0,2.75,1.5,1.75,-0.17,0.02,0.95,670.27,0.8,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,0.0,0.5,0.2,-0.3,0.77,0.0,8.0,-75.1
0.74,1.25,2.0,3.25,6.0,7.75,3.25,0.5,5.75,2.0,2.75,1.5,1.25,1.75,-0.17,0.08,0.95,619.23,2.4,13.1,1.0,0.25,2.75,0.75,1.75,1.0,0.5,0.75,0.0,1.5,1.0,0.5,1.5,0.2,-0.11,0.77,2.93,-7.1,3.1
0.76,1.0,2.0,3.0,6.0,8.25,3.25,0.25,5.25,1.5,2.5,1.25,0.75,1.25,-0.17,0.08,0.95,574.99,2.1,18.6,1.5,0.25,2.5,1.25,1.0,1.0,0.5,0.5,0.0,1.5,2.0,0.5,1.25,0.14,0.02,0.83,86.31,-9.6,1.5
0.78,1.75,2.0,3.5,7.0,8.25,3.25,0.25,5.25,1.25,2.5,1.0,0.75,1.25,-0.17,0.08,0.95,559.94,3.4,22.6,0.0,0.0,2.5,0.25,1.5,0.0,0.5,0.75,0.0,0.0,0.75,0.0,0.75,0.14,0.08,0.95,126.43,-12.7,14.5
0.8,2.25,3.25,3.75,7.5,8.25,3.25,0.25,4.75,1.25,2.5,0.75,0.75,1.0,-0.17,0.08,0.95,571.92,4.8,28.7,0.25,0.0,0.5,0.25,0.0,0.0,0.25,0.25,0.0,0.0,1.0,0.0,1.5,0.14,0.14,1.14,121.25,-5.4,-46.1
0.82,2.5,3.5,4.0,7.75,0.0,3.25,0.25,4.5,1.0,2.25,0.25,0.5,1.0,-0.17,0.14,0.95,514.12,8.1,27.4,1.0,0.0,0.0,0.75,0.0,1.0,0.0,0.25,0.0,1.5,0.0,0.5,0.0,0.14,0.27,1.7,107.78,-0.2,-1.7
0.84,3.0,3.75,3.75,8.0,8.5,3.25,0.0,4.5,0.75,1.75,0.25,0.5,0.75,-0.17,0.14,0.95,526.74,5.9,37.5,1.25,0.0,2.0,0.75,1.5,1.0,0.75,0.75,0.0,1.5,1.0,0.75,1.5,0.2,0.58,1.83,127.57,-6.1,-3.7
0.86,3.75,4.75,3.75,8.75,0.0,3.25,0.0,3.5,0.5,1.5,0.0,0.5,0.75,-0.23,0.14,1.02,484.16,10.7,41.2,1.0,0.25,1.25,0.75,1.5,1.0,0.5,0.5,0.0,1.5,1.25,0.75,1.25,0.33,1.27,1.95,149.19,-4.3,-6.5
0.88,3.5,4.75,0.0,8.75,0.0,3.25,0.0,3.25,0.5,1.25,0.5,0.5,1.0,-0.23,0.2,1.02,440.76,6.9,36.3,0.75,0.25,1.5,0.5,0.25,1.0,0.5,0.75,0.0,1.5,2.0,0.75,1.25,0.08,1.7,2.52,171.07,-5.1,-22.3
0.9,3.75,5.75,0.0,9.0,0.0,3.25,0.0,3.25,0.5,1.0,0.0,0.5,1.0,-0.23,0.2,1.02,396.1,7.6,42.2,1.0,0.25,1.75,0.5,1.5,1.0,0.5,0.5,0.0,1.5,0.75,0.75,1.25,-0.11,2.27,2.89,179.62,-5.2,-1.9
0.92,3.5,5.5,2.25,9.75,0.0,2.75,0.0,3.25,0.5,1.0,0.0,0.5,0.75,-0.23,0.2,1.02,390.78,10.6,44.6,1.0,0.25,1.75,0.75,0.0,1.25,0.5,0.75,0.0,1.5,1.0,0.25,1.25,-0.3,3.45,1.39,173.71,-5.8,-6.5
0.94,0.0,6.0,5.5,9.0,0.0,1.75,0.0,3.0,0.5,1.0,0.0,0.5,0.75,-0.3,0.27,1.08,382.34,12.3,42.1,0.75,0.25,1.75,0.5,1.0,1.25,0.25,0.5,0.0,1.5,1.0,0.5,1.0,-0.67,4.14,0.2,165.6,-4.6,-3.3
0.96,0.0,5.75,0.0,8.75,0.0,0.0,0.0,2.5,0.25,1.0,0.0,0.5,0.5,-0.23,0.27,1.14,337.52,8.8,41.5,0.75,0.25,1.25,0.5,1.5,1.0,0.5,1.0,0.0,1.5,0.75,0.75,1.25,-1.86,6.89,0.39,160.72,-2.0,-8.7
0.98,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.5,0.25,1.0,0.0,0.5,0.75,-0.36,0.33,1.27,274.5,7.0,15.5,0.5,0.0,1.0,0.5,1.75,1.0,0.5,0.75,0.0,3.0,2.0,2.25,2.0,-2.3,5.58,-0.36,177.37,0.1,-38.6
1.0,6.25,0.0,5.25,8.75,0.0,0.0,0.0,2.0,0.25,1.0,0.0,0.5,0.5,-0.48,0.39,1.52,265.64,21.0,46.9,1.0,0.25,0.5,0.5,1.75,1.0,0.5,0.75,0.25,6.5,3.75,5.25,5.5,-0.11,-0.48,1.52,255.91,2.1,-60.9
1.02,0.0,0.0,0.0,7.75,0.0,0.0,0.0,1.5,0.25,0.75,0.0,0.5,0.5,-0.67,0.45,1.7,212.32,8.8,20.1,0.25,0.25,0.5,0.75,1.5,1.0,0.25,2.0,0.75,8.5,6.0,5.5,6.75,0.02,0.52,1.95,359.62,3.5,-67.4
1.04,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.5,1.25,0.0,0.0,0.5,-0.86,0.64,2.27,162.7,9.5,19.1,0.0,0.0,0.5,0.0,1.5,1.25,0.25,4.75,1.25,8.25,8.25,5.25,7.75,0.14,0.33,1.39,497.3,4.6,-70.3
1.06,0.0,0.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,-0.98,1.52,2.83,107.3,17.6,32.1,1.0,0.5,0.0,1.5,0.25,3.5,0.0,5.0,1.75,8.75,8.0,6.0,6.0,0.08,0.08,1.02,613.77,3.7,-59.0
1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,-0.61,0.64,2.2,35.09,-6.4,-63.3,2.0,0.5,0.0,2.25,2.5,3.5,1.0,7.0,1.75,9.25,9.25,6.0,7.25,0.2,0.14,1.02,746.28,2.9,-49.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.25,0.75,0.0,0.0,0.0,-0.55,-0.36,1.89,0.0,-13.6,-49.8,3.0,1.0,4.25,3.25,2.5,4.0,1.25,7.5,2.75,9.25,9.5,6.0,7.25,0.2,0.14,1.02,891.85,-1.1,-34.8
1.12,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.61,-0.8,3.02,0.0,1.9,-4.8,3.0,1.0,6.75,3.25,3.25,4.5,2.0,7.75,3.25,9.0,9.5,6.0,6.5,0.2,0.08,0.95,1029.59,-2.8,-28.0
1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-1.05,1.2,0.0,0.0,0.0,4.5,1.25,7.25,3.25,3.75,4.5,2.0,7.75,3.5,8.5,9.0,5.25,6.0,0.2,0.08,0.95,1133.58,-3.9,-21.1
1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,-0.55,0.45,0.0,0.0,0.0,5.0,1.25,7.75,4.5,4.25,4.75,2.25,7.5,3.25,8.0,8.5,4.75,5.75,0.2,0.08,0.95,1203.67,-4.7,-15.2
1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-0.55,0.14,0.0,0.0,0.0,5.25,1.5,8.75,5.5,5.25,4.5,2.25,6.75,2.75,7.0,7.5,3.75,4.5,0.2,0.14,0.95,1220.19,-6.3,-5.3
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,-0.55,0.45,0.0,0.0,0.0,5.5,1.5,9.25,5.5,4.75,4.5,2.25,6.5,2.5,6.0,6.75,2.75,3.25,0.2,0.14,0.95,1178.43,-7.5,1.2
1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-0.48,0.58,0.0,0.0,0.0,6.25,2.0,9.25,5.75,5.0,4.5,2.25,5.75,2.0,4.75,5.25,2.25,2.5,0.2,0.14,0.95,1101.18,-8.9,10.8
1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-0.3,0.52,0.0,0.0,0.0,6.75,2.0,9.75,6.25,5.25,3.75,2.0,5.0,1.5,3.5,4.5,1.5,2.5,0.14,0.14,0.95,1005.33,-10.7,18.4
1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-0.11,0.52,0.0,0.0,0.0,6.75,2.0,10.5,7.0,5.25,3.75,2.0,4.0,1.5,3.25,3.75,1.5,2.0,0.14,0.14,0.95,931.13,-12.0,23.6
1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.08,0.64,0.0,0.0,0.0,6.75,2.0,10.5,7.25,5.0,3.75,2.0,3.75,1.0,3.0,3.25,1.25,1.75,0.14,0.14,0.89,865.89,-12.6,27.3
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.14,1.02,0.0,0.0,0.0,7.5,2.0,10.5,7.25,5.25,3.75,2.0,3.75,0.75,2.75,3.0,1.25,1.5,0.14,0.14,0.89,823.48,-13.1,30.4
1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.52,1.33,0.0,0.0,0.0,7.5,2.25,11.5,7.5,5.5,3.5,2.0,3.75,0.75,1.75,2.5,1.25,1.5,0.14,0.14,0.89,792.35,-14.3,34.7
1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,1.08,1.45,0.0,0.0,0.0,7.75,2.25,11.5,9.0,5.5,3.75,1.75,3.75,0.75,1.5,2.25,1.25,1.5,0.08,0.14,0.89,790.19,-14.4,36.7
1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,1.52,1.45,0.0,0.0,0.0,7.75,2.5,12.0,9.0,5.5,3.75,2.0,3.0,0.75,1.5,2.25,1.0,1.5,0.08,0.14,0.95,798.81,-15.1,39.0
1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,2.2,1.39,0.0,0.0,0.0,8.0,2.75,12.5,9.75,6.0,3.5,1.75,2.5,0.5,1.5,2.0,0.75,1.5,0.08,0.14,0.95,819.8,-15.8,42.6
1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,4.33,2.52,0.0,0.0,0.0,8.25,3.0,12.5,10.5,6.5,3.5,1.75,2.25,0.5,1.5,2.0,1.0,0.0,0.08,0.2,1.02,843.09,-16.6,47.5
1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.33,5.2,-0.55,15.44,-15.7,-75.5,8.25,3.5,11.0,7.0,7.0,3.5,1.25,2.25,0.25,1.5,1.75,0.75,0.75,0.08,0.2,1.02,832.92,-15.2,46.4
1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,7.89,0.39,14.34,0.0,0.0,8.5,2.75,13.0,11.0,7.25,3.5,1.25,2.0,0.25,1.5,1.75,0.75,1.0,0.08,0.2,1.14,865.69,-16.2,47.0
1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,-0.11,0.27,0.83,21.49,8.8,-109.9,8.5,3.0,13.0,9.75,7.25,1.5,1.0,1.75,0.0,0.25,1.5,0.75,1.0,0.08,0.2,1.2,855.18,-18.6,52.0
1.48,0.0,0.0,0.25,0.0,0.0,0.0,0.5,2.0,0.25,2.0,0.0,0.5,0.5,-0.17,-0.36,0.45,47.33,-8.1,-56.8,8.0,3.5,10.5,11.0,5.75,0.75,0.5,0.25,0.0,1.5,0.25,0.0,0.0,0.08,0.27,1.2,804.1,-20.0,61.8
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.2,0.89,41.27,0.0,0.0,8.0,3.5,12.5,9.0,6.75,1.0,0.75,0.75,0.0,0.0,1.0,0.0,0.75,0.08,0.27,1.14,757.43,-20.3,59.8
1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,-0.23,0.08,1.02,42.25,-3.8,-59.8,7.5,3.0,10.5,9.0,5.25,1.75,0.0,0.5,0.0,1.0,0.25,0.0,0.0,0.08,0.33,1.33,688.69,-19.6,61.9
1.54,2.0,0.0,0.0,3.25,0.0,0.0,0.25,1.0,0.0,0.0,0.5,0.0,0.75,-0.11,0.14,1.02,69.16,13.8,29.1,6.25,1.75,9.25,7.25,5.5,2.25,0.75,0.5,0.0,1.5,1.25,0.25,0.75,0.14,0.33,1.58,619.29,-16.8,49.0
