time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,8.5,0.0,8.75,9.5,0.0,0.0,0.0,2.0,0.25,1.25,0.0,0.5,0.0,-0.55,0.39,1.83,556.89,24.2,53.9,2.0,1.0,0.5,1.75,4.25,3.5,0.0,6.75,2.75,8.75,8.5,5.25,6.0,0.14,0.14,0.95,636.8,2.5,-40.9
0.04,7.0,0.0,7.75,6.5,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.5,-0.67,0.64,2.33,439.97,29.0,65.0,2.5,0.75,2.75,2.0,4.25,3.75,1.25,7.75,3.0,9.25,9.0,5.5,6.5,0.2,0.08,0.95,814.67,0.5,-36.3
0.06,3.5,0.0,6.25,4.5,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.5,0.0,-0.8,1.64,3.08,322.82,27.7,55.5,2.5,1.0,2.75,1.5,4.25,4.25,1.25,7.75,3.5,9.0,9.25,5.75,6.5,0.2,0.08,0.95,948.09,0.5,-36.3
0.08,1.25,0.0,3.5,2.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.36,0.95,2.08,215.55,29.7,62.3,3.0,0.75,4.5,2.75,4.5,4.0,1.5,8.25,3.5,9.0,9.0,5.25,6.25,0.2,0.08,0.95,1045.33,-1.1,-29.8
0.1,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.25,-0.48,-0.23,1.7,100.78,6.2,3.7,3.75,1.25,5.25,3.25,5.5,4.0,1.75,8.25,3.5,8.5,8.75,5.25,6.0,0.2,0.08,0.95,1115.78,-2.2,-23.1
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,-0.67,-0.36,0.95,0.0,0.9,-66.3,3.75,1.5,5.5,4.0,5.5,4.0,1.75,7.75,3.25,8.0,8.25,4.25,5.5,0.2,0.08,0.95,1142.03,-2.8,-18.2
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,-0.17,-0.98,1.58,0.0,-4.6,-60.8,3.75,1.25,6.75,3.5,5.5,3.25,1.75,7.75,3.0,7.5,7.5,3.5,5.0,0.2,0.08,0.95,1123.68,-3.8,-15.0
0.16,0.0,0.0,0.0,1.75,0.0,0.0,0.25,0.75,0.25,0.75,0.0,0.5,0.25,-0.3,-0.55,0.64,0.0,3.3,-15.4,4.25,1.0,6.75,3.5,5.75,4.0,1.75,7.0,2.75,6.5,6.75,3.0,4.0,0.2,0.08,0.95,1065.8,-4.4,-8.9
0.18,0.0,0.0,0.0,2.25,0.0,0.0,0.25,0.25,0.25,0.75,0.0,0.25,0.5,-0.48,-0.42,0.2,0.0,5.9,-4.4,5.0,1.0,7.75,4.0,5.75,4.0,1.75,6.5,2.25,6.0,6.0,2.75,3.25,0.2,0.08,0.95,998.36,-6.0,-1.8
0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.25,0.25,0.5,0.0,0.5,0.25,-0.36,-0.36,0.14,0.0,8.0,-3.8,5.25,1.75,8.0,4.75,5.75,4.0,2.0,6.25,1.75,5.5,5.25,2.25,2.75,0.2,0.14,0.95,931.75,-6.9,5.3
0.22,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.25,0.25,0.75,0.0,0.5,0.5,-0.23,-0.36,0.45,0.0,5.4,-13.9,5.75,1.75,8.75,5.5,6.25,3.5,2.25,5.5,2.0,5.0,4.5,1.5,2.5,0.14,0.14,0.95,891.09,-8.6,12.3
0.24,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.25,0.5,-0.11,-0.36,0.64,0.0,4.9,-9.6,6.5,2.0,9.25,6.25,6.25,3.25,2.25,5.25,1.5,3.25,4.0,1.25,2.0,0.14,0.14,0.95,853.52,-10.6,21.2
