time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.0,0.75,0.5,0.0,0.0,0.0,2.5,0.5,3.0,0.0,1.25,1.5,-0.42,0.27,2.08,114.88,-5.4,-56.7,1.25,0.0,0.5,1.75,3.75,1.25,0.25,1.0,0.75,0.75,1.25,0.5,0.5,0.33,-0.8,1.08,0.0,-3.2,14.5
0.04,0.0,0.0,1.0,0.5,0.0,0.0,0.0,3.5,1.0,4.25,0.0,1.75,2.25,-0.23,0.39,1.52,167.45,-5.6,-59.0,1.0,0.0,0.5,2.0,3.5,1.25,0.25,1.0,0.75,0.75,1.25,0.25,1.0,0.33,-0.67,0.58,55.21,-2.4,10.7
0.06,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.75,1.25,4.75,1.0,2.5,2.75,-0.11,0.08,0.89,215.08,-7.2,-71.2,1.25,0.0,0.5,1.75,3.5,1.0,0.25,1.0,0.75,1.0,1.25,0.25,0.75,0.08,-0.48,0.64,105.72,-3.1,11.5
0.08,0.0,0.0,0.0,0.25,0.0,0.0,0.25,4.75,2.25,6.25,2.5,3.0,4.0,-0.17,0.14,0.95,275.93,-6.3,-72.9,0.0,0.0,0.5,0.0,3.75,0.25,0.5,1.0,0.25,0.25,0.0,0.25,0.0,0.02,-0.42,0.77,105.72,1.0,25.9
0.1,0.0,0.0,0.0,0.25,0.0,0.5,0.25,4.75,3.25,6.5,5.75,4.75,5.0,-0.17,0.02,0.95,358.96,-3.6,-73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.02,-0.3,0.95,62.12,7.2,-26.0
0.12,0.25,0.0,0.0,2.5,0.0,0.75,0.5,6.0,3.75,6.5,6.25,4.75,5.25,-0.17,0.02,0.95,468.55,-2.2,-61.6,0.0,0.0,0.25,0.0,0.0,0.5,0.25,0.5,0.25,0.0,0.0,0.25,0.0,0.02,-0.11,0.95,31.34,0.1,-11.4
0.14,0.5,0.25,2.25,2.5,0.0,1.0,0.75,6.25,4.25,6.5,6.5,4.75,5.25,-0.17,0.02,0.95,578.37,0.5,-51.5,0.0,0.0,0.25,0.0,3.75,0.25,0.25,1.0,0.0,0.0,1.25,0.0,0.75,-0.05,0.02,1.02,50.75,2.5,5.5
0.16,0.25,0.75,2.5,2.5,0.0,1.0,1.0,6.5,4.5,6.5,6.25,4.75,5.25,-0.17,0.02,0.95,655.8,0.7,-49.2,1.25,0.0,0.5,1.25,3.25,1.0,0.25,1.0,0.75,1.0,1.25,0.25,0.5,-0.05,0.2,1.14,104.29,-3.0,11.1
0.18,1.25,0.75,2.5,2.75,0.0,1.25,1.0,6.5,4.5,6.5,6.0,4.75,4.75,-0.17,0.02,0.95,697.73,1.6,-43.9,1.25,0.0,0.5,1.75,3.5,1.0,0.25,1.0,0.75,0.75,1.25,0.25,0.5,-0.05,0.27,1.45,153.82,-3.7,15.6
0.2,1.5,0.75,2.75,3.5,0.0,1.5,1.0,6.5,4.5,6.25,5.75,3.75,4.0,-0.17,0.02,0.95,699.76,2.3,-36.8,1.25,0.0,0.5,1.75,3.5,1.25,0.25,1.0,0.75,0.75,1.25,0.25,0.75,0.08,0.7,1.64,187.52,-2.9,13.5
0.22,1.25,0.5,4.25,4.0,0.0,1.5,1.0,6.25,4.25,5.5,5.5,3.5,4.0,-0.17,0.02,0.95,681.61,3.9,-32.1,1.0,0.25,0.5,1.75,3.25,1.25,0.25,1.0,0.75,1.0,1.25,0.25,0.75,0.14,1.39,1.83,199.27,-2.4,11.2
0.24,1.0,0.75,4.25,4.5,0.0,1.5,1.0,6.0,3.75,5.25,4.5,2.75,2.75,-0.17,0.02,0.95,631.68,4.4,-25.1,1.0,0.25,0.25,1.25,3.5,1.25,0.25,1.0,0.75,0.75,1.25,0.25,0.5,0.08,1.83,2.33,194.71,-1.6,13.4
0.26,1.25,0.5,4.5,4.5,5.25,1.5,1.0,6.0,3.5,4.5,3.25,2.25,2.5,-0.17,0.02,0.95,615.35,3.8,-8.9,1.25,0.0,0.25,1.75,3.5,1.0,0.25,1.0,0.5,0.75,1.25,0.25,0.5,-0.17,2.7,1.95,195.77,-2.9,15.7
0.28,2.75,0.75,5.75,4.5,5.25,1.5,1.0,5.5,3.0,4.25,2.75,1.75,1.5,-0.11,0.02,0.95,601.2,6.6,3.4,1.25,0.0,0.25,1.75,3.5,1.25,0.25,1.0,0.75,0.25,1.25,0.25,0.75,-0.3,3.64,0.83,199.49,-3.0,16.1
