time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.11,0.08,0.95,19.28,10.0,5.9,0.0,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.25,1.25,0.25,0.0,0.75,0.02,0.14,0.95,58.95,0.7,-37.9
0.04,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.11,0.08,0.95,17.95,5.2,-29.5,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.25,1.0,0.25,0.0,0.75,0.02,0.14,0.95,59.17,-2.9,-28.6
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.08,0.95,12.27,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.75,0.02,0.14,0.95,56.5,-2.3,-25.3
0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.11,0.08,0.95,15.45,11.2,14.7,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.25,1.25,0.0,0.0,0.75,0.02,0.14,0.95,56.33,-1.1,-28.7
0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,-0.11,0.08,0.95,20.49,7.3,7.3,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.25,1.25,0.25,0.0,0.75,0.02,0.14,0.95,57.62,-1.7,-31.5
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.08,0.95,16.57,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.5,1.0,0.0,0.0,0.75,0.02,0.14,0.95,57.78,-3.0,-26.2
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.08,0.95,10.64,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.25,1.25,0.25,0.25,0.75,0.02,0.14,0.95,61.07,-2.1,-36.1
0.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.11,0.08,0.95,12.98,11.2,14.7,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.75,0.02,0.14,0.95,59.2,-2.3,-25.3
0.18,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,-0.11,0.08,0.95,14.82,10.0,5.9,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.25,1.0,0.25,0.0,0.75,0.02,0.14,0.95,58.27,-2.9,-28.6
0.2,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.11,0.08,0.95,17.31,9.5,16.5,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.25,1.0,0.25,0.0,0.75,0.02,0.14,0.95,56.44,-2.9,-28.6
