time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.25,0.0,3.75,3.5,0.0,0.5,0.25,4.75,2.5,3.0,0.0,2.0,2.0,-0.11,0.08,0.95,297.61,4.6,-20.3,0.75,0.0,4.75,3.25,3.5,0.5,1.0,2.75,1.25,3.5,1.5,1.0,1.0,0.08,0.14,0.95,339.01,-7.4,2.3
0.04,0.25,0.0,3.75,3.75,0.0,0.5,0.25,4.75,2.25,3.0,0.0,2.0,1.75,-0.11,0.08,0.95,290.0,4.9,-18.2,0.75,0.0,5.0,3.25,4.25,0.5,1.25,2.75,1.25,3.5,1.5,1.0,1.0,0.08,0.14,0.95,342.59,-7.5,4.7
0.06,0.5,0.0,3.75,3.5,0.0,0.5,0.25,4.75,2.5,3.0,0.0,2.0,2.0,-0.11,0.08,0.95,286.95,4.9,-19.1,0.75,0.0,4.0,3.0,4.25,0.5,1.0,2.75,1.25,3.5,1.5,1.0,1.0,0.08,0.14,0.95,336.73,-6.0,1.7
0.08,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.75,2.25,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,284.24,4.0,-22.4,0.75,0.0,4.75,3.0,4.25,0.5,1.0,2.0,1.25,3.5,1.5,1.0,1.0,0.08,0.14,0.95,332.82,-7.7,4.8
0.1,0.25,0.0,3.75,3.5,0.0,0.25,0.25,4.75,2.5,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,284.52,4.7,-21.9,0.75,0.0,4.75,3.25,4.75,0.5,1.0,2.75,1.25,3.5,2.0,1.0,1.0,0.08,0.14,0.95,338.08,-6.9,3.7
0.12,0.0,0.0,3.75,4.25,0.0,0.5,0.25,4.75,2.25,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,286.52,4.4,-19.7,0.75,0.0,4.5,3.25,4.25,0.5,1.0,2.75,1.25,3.5,1.0,1.0,1.25,0.08,0.14,0.95,338.21,-6.4,3.8
0.14,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.75,2.5,2.75,0.0,2.25,2.25,-0.11,0.08,0.95,286.1,4.3,-22.9,0.75,0.0,4.75,3.25,4.5,0.5,1.0,2.5,1.25,3.5,1.5,1.0,1.5,0.08,0.14,0.95,342.98,-6.7,2.8
0.16,0.25,0.0,3.5,3.5,0.0,0.5,0.25,4.5,2.5,3.0,0.0,2.5,2.25,-0.11,0.08,0.95,286.41,4.3,-24.0,0.75,0.25,4.25,3.25,4.75,0.5,1.0,2.75,1.5,3.5,1.75,1.0,1.0,0.08,0.14,0.95,345.86,-6.3,3.8
0.18,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.25,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,284.12,4.2,-22.2,0.75,0.0,4.0,3.0,4.5,0.5,1.0,2.5,1.25,3.5,1.5,1.0,1.0,0.08,0.14,0.95,341.89,-6.1,2.7
0.2,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.5,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,283.84,4.3,-22.4,0.75,0.0,4.5,3.0,4.25,0.5,1.0,3.0,1.5,3.5,1.75,1.0,1.0,0.08,0.14,0.95,340.54,-6.5,1.4
0.22,0.25,0.0,4.0,3.5,0.0,0.5,0.25,4.75,2.5,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,286.89,4.8,-20.4,0.75,0.25,4.5,3.0,3.5,0.5,1.0,2.75,1.25,3.75,1.75,1.0,1.0,0.08,0.14,0.95,335.38,-6.8,0.6
0.24,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.75,2.5,3.0,0.0,2.25,2.25,-0.11,0.08,0.95,289.58,4.1,-23.5,0.75,0.0,4.25,3.25,3.75,0.5,1.0,2.75,1.25,3.5,1.5,1.0,1.0,0.08,0.14,0.95,331.17,-6.6,1.7
0.26,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.5,3.0,0.25,2.0,2.25,-0.11,0.08,0.95,290.01,4.4,-22.9,0.75,0.0,4.75,3.25,4.5,0.5,0.75,2.75,1.25,3.5,1.5,1.0,1.25,0.08,0.14,0.95,333.91,-6.6,3.4
0.28,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.75,2.25,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,288.74,4.0,-22.4,0.75,0.0,4.25,3.0,4.5,0.5,0.75,2.75,1.5,3.5,1.5,1.0,1.5,0.08,0.14,0.95,336.07,-5.7,0.2
0.3,0.0,0.0,3.5,3.5,0.0,0.5,0.5,4.5,2.25,3.0,0.0,2.0,2.0,-0.11,0.08,0.95,285.14,4.2,-21.9,0.75,0.0,4.25,3.25,5.25,0.5,1.0,2.75,1.25,3.5,1.75,1.0,1.0,0.08,0.14,0.95,343.49,-6.0,4.4
0.32,0.5,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.5,3.0,0.0,2.0,2.0,-0.11,0.08,0.95,285.34,5.1,-18.9,0.75,0.25,3.75,3.0,4.25,0.5,0.75,2.5,1.5,4.25,1.5,1.0,1.0,0.08,0.14,0.95,340.56,-5.2,-0.2
0.34,0.5,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.25,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,285.9,4.8,-19.7,0.75,0.0,4.0,3.25,4.5,0.5,1.0,2.25,1.25,3.5,1.75,1.0,1.25,0.08,0.14,0.95,337.86,-6.3,1.8
0.36,0.0,0.0,3.5,3.5,0.0,0.5,0.25,4.5,2.25,3.0,0.25,2.0,2.25,-0.11,0.08,0.95,285.44,3.9,-23.7,0.75,0.0,4.5,3.0,4.5,0.5,1.0,2.5,1.5,3.5,1.0,1.0,1.25,0.08,0.14,0.95,334.76,-6.5,3.9
0.38,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.5,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,285.71,4.3,-22.4,0.75,0.0,4.25,3.25,4.5,0.5,1.0,2.75,1.25,3.75,2.0,1.0,1.0,0.08,0.14,0.95,336.94,-6.2,1.3
0.4,0.0,0.0,3.75,4.0,0.0,0.25,0.25,4.5,2.25,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,285.81,4.8,-20.9,0.75,0.0,4.0,3.25,4.5,0.5,1.25,2.75,1.5,3.5,2.0,1.0,1.75,0.08,0.14,0.95,342.66,-5.7,-1.9
0.42,0.25,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.25,3.0,0.0,2.0,1.75,-0.11,0.08,0.95,284.49,5.0,-18.8,0.75,0.0,3.5,3.25,4.25,0.5,1.25,2.75,1.5,4.0,1.5,1.0,1.0,0.08,0.14,0.95,342.39,-5.2,-0.6
0.44,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.25,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,283.43,4.2,-22.2,0.75,0.0,4.25,3.0,3.75,0.5,1.0,2.75,1.5,4.25,1.75,1.0,1.0,0.08,0.14,0.95,340.19,-6.0,-2.1
0.46,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.25,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,282.82,4.2,-22.2,0.75,0.0,3.75,3.25,4.5,0.5,0.5,2.75,1.5,3.5,1.5,1.0,1.0,0.08,0.14,0.95,335.08,-5.4,1.6
0.48,0.0,0.0,3.75,3.5,0.0,0.5,0.25,4.5,2.5,3.0,0.0,2.25,2.25,-0.11,0.08,0.95,284.6,4.3,-23.3,0.75,0.0,4.0,3.25,4.5,0.5,1.0,2.75,1.25,4.0,1.75,1.0,1.0,0.08,0.14,0.95,335.48,-5.6,0.6
0.5,0.25,0.0,3.5,4.0,0.0,0.5,0.25,4.5,2.5,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,287.4,4.5,-20.2,0.75,0.0,4.5,3.0,3.75,0.5,0.75,3.25,1.5,4.0,1.5,1.0,1.25,0.08,0.14,0.95,335.44,-5.7,-2.0
0.52,0.0,0.0,3.5,3.5,0.0,0.5,0.25,4.5,2.5,3.0,0.0,2.0,2.25,-0.11,0.08,0.95,287.21,3.9,-23.3,0.75,0.0,4.0,3.25,4.5,0.5,1.0,2.75,1.5,4.0,1.0,1.0,1.0,0.08,0.14,0.95,337.16,-5.5,2.4
