time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,5.25,5.25,10.5,0.0,2.5,0.0,1.25,0.0,0.5,0.0,0.25,0.25,-0.23,0.2,1.08,407.4,14.3,54.5,0.0,0.0,0.75,0.0,1.75,0.75,0.25,1.5,1.25,8.0,6.75,5.25,8.0,-0.17,0.33,2.14,360.07,3.5,-72.7
0.04,5.5,5.5,0.0,10.5,0.0,3.5,0.0,1.0,0.0,0.25,0.0,0.0,0.25,-0.3,0.27,1.14,403.29,12.7,64.8,0.0,0.0,0.5,0.0,2.75,0.5,0.5,3.0,1.75,8.5,7.25,6.0,6.75,0.2,0.33,1.14,499.85,3.2,-67.8
0.06,4.75,6.0,0.0,10.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.25,-0.3,0.27,1.2,378.34,18.1,68.7,0.0,0.25,0.25,1.5,3.0,1.25,0.0,5.5,2.75,9.5,8.75,6.0,7.75,0.2,0.2,1.2,661.77,3.6,-60.7
0.08,6.0,0.0,0.0,9.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,-0.36,0.33,1.2,327.02,21.6,62.8,1.25,0.25,1.25,2.0,3.0,2.0,1.25,6.25,3.25,9.5,9.25,6.5,7.75,0.14,0.14,1.02,813.02,1.4,-51.5
0.1,6.0,0.0,0.0,9.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,-0.42,0.39,1.45,283.8,21.6,62.9,1.25,0.5,4.0,2.0,4.5,3.5,1.25,7.0,3.75,9.5,9.5,6.25,7.75,0.14,0.08,1.02,962.6,0.1,-40.2
0.12,4.5,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,-0.61,0.45,1.64,240.14,21.5,61.7,2.25,0.5,6.0,2.25,4.5,2.75,2.0,7.0,4.25,9.25,9.5,5.75,7.5,0.14,0.08,0.95,1077.52,-2.2,-33.9
0.14,2.5,0.0,2.25,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,1.14,2.45,183.16,27.7,69.6,3.5,0.75,7.5,3.5,4.5,3.25,2.5,7.0,4.0,8.75,9.0,5.25,6.5,0.14,0.08,0.95,1162.94,-4.2,-23.8
0.16,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.27,3.02,101.26,17.2,57.9,4.5,1.0,8.25,4.5,4.5,3.5,2.5,7.0,3.75,8.0,8.0,4.25,5.75,0.14,0.08,0.95,1197.91,-5.4,-15.2
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.45,2.14,17.86,0.0,0.0,5.0,0.75,9.0,4.25,4.5,3.75,2.5,6.25,3.25,6.75,7.25,3.0,4.25,0.14,0.08,0.95,1168.33,-6.9,-7.1
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-0.23,2.27,0.0,0.0,0.0,5.25,0.75,9.5,5.0,4.5,3.5,2.5,5.5,2.75,6.0,5.75,2.5,2.75,0.14,0.08,0.95,1091.54,-8.6,1.8
0.22,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.92,2.45,0.0,17.2,57.9,5.75,1.0,9.5,4.5,4.5,3.25,2.5,4.25,2.0,4.25,4.0,1.0,2.5,0.14,0.14,0.95,961.12,-10.5,13.8
0.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,-0.73,1.77,0.0,17.2,57.9,5.75,1.0,10.0,5.25,4.5,3.25,2.5,4.25,1.75,2.75,2.75,1.0,1.5,0.14,0.14,0.95,836.2,-12.3,23.4
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,-0.48,0.7,0.0,0.0,0.0,6.25,1.25,11.0,5.0,4.5,3.25,2.0,3.0,1.5,2.5,1.75,0.25,1.5,0.14,0.14,0.95,735.77,-14.1,32.6
0.28,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,-0.48,0.33,0.0,32.4,27.4,6.75,1.0,11.0,6.0,4.5,3.5,2.0,3.0,1.0,1.5,0.75,0.0,1.0,0.14,0.14,0.95,665.3,-15.4,42.1
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-0.42,0.45,0.0,0.0,0.0,7.0,1.0,9.75,5.0,4.25,2.25,1.5,1.75,1.0,1.25,0.5,0.25,0.75,0.08,0.14,0.95,580.22,-17.5,46.0
0.32,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-0.42,0.7,0.0,32.4,27.4,6.25,0.75,11.5,6.75,4.5,2.75,1.25,1.5,0.75,0.0,0.25,0.0,0.75,0.08,0.14,0.95,532.66,-19.0,53.0
0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-0.3,0.77,0.0,0.0,0.0,6.75,1.25,9.75,7.5,4.5,2.75,1.25,1.25,0.75,1.0,0.0,0.0,0.0,0.08,0.14,0.95,499.66,-18.2,55.3
0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-0.05,0.77,0.0,0.0,0.0,8.0,1.75,12.0,8.5,4.75,2.5,1.25,1.25,0.75,1.0,0.0,0.0,0.75,0.08,0.14,0.95,528.8,-19.1,54.5
0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.08,0.89,0.0,0.0,0.0,7.5,1.0,12.5,6.75,5.5,1.25,1.25,1.25,0.25,0.0,0.0,0.0,0.0,0.08,0.2,0.95,534.0,-21.9,61.7
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.08,1.2,0.0,0.0,0.0,8.0,2.0,11.0,8.5,6.0,2.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,1.02,561.1,-20.7,66.2
0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.27,1.39,0.0,0.0,0.0,8.0,2.0,11.5,9.0,6.5,1.25,1.0,0.25,0.5,1.0,0.0,0.0,0.0,0.08,0.2,1.02,590.42,-20.4,61.2
