time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.5,1.0,4.25,2.25,2.5,3.0,2.5,2.75,4.5,3.5,3.25,0.75,1.25,-0.05,0.08,0.95,383.34,5.7,-5.4,2.0,0.75,2.25,2.0,3.5,0.0,1.25,1.75,3.25,1.5,3.0,0.75,0.0,0.02,0.14,0.95,295.69,-10.5,6.8
0.04,1.0,1.25,4.25,2.25,2.5,3.25,3.25,3.0,5.0,3.0,3.5,1.5,1.25,-0.05,0.08,0.95,433.64,6.6,-5.0,1.75,1.0,2.0,2.25,3.5,0.0,1.0,1.5,2.75,1.0,2.5,0.5,0.0,0.08,0.14,1.14,246.95,-10.8,14.0
0.06,0.0,1.0,5.0,3.0,2.5,3.5,3.25,4.5,5.5,4.5,4.5,2.25,2.25,-0.05,0.08,0.95,507.77,4.5,-15.9,1.25,0.75,1.75,2.0,3.5,0.75,0.75,1.5,1.75,1.25,2.0,0.5,0.5,0.27,0.08,2.2,207.59,-7.1,10.6
0.08,1.0,1.25,5.0,2.5,2.5,3.25,3.75,4.75,6.25,5.0,5.0,2.5,3.25,-0.05,0.08,0.95,593.06,4.8,-18.3,1.75,0.5,1.75,1.25,3.5,1.25,0.75,1.5,1.75,1.25,2.0,0.5,0.5,0.95,0.2,1.2,187.9,-6.6,10.2
0.1,0.0,1.25,5.0,2.75,2.5,3.25,4.0,5.75,7.0,5.0,6.0,2.5,3.75,-0.05,0.08,0.95,665.8,3.9,-23.0,1.0,0.75,1.75,1.25,3.5,1.25,0.5,1.5,1.5,1.25,2.0,0.5,0.5,1.89,0.14,0.33,176.82,-5.3,8.6
0.12,0.5,1.25,5.0,4.5,5.25,3.5,4.25,6.25,7.25,6.5,6.25,3.25,4.5,-0.05,0.08,0.95,773.17,3.3,-18.9,1.25,0.75,1.5,1.25,3.5,0.0,0.25,1.5,1.25,1.25,1.5,0.5,0.5,1.7,-0.11,0.58,167.4,-6.8,10.3
0.14,1.25,1.25,5.0,4.5,3.5,3.75,4.5,6.5,7.5,6.0,6.75,3.75,5.0,-0.05,0.08,0.95,857.89,4.0,-21.5,1.0,1.0,1.5,1.5,3.25,1.25,0.5,1.5,1.25,1.25,1.25,0.5,0.5,0.95,-0.3,0.83,170.58,-4.9,13.6
0.16,1.25,1.25,5.0,4.5,3.75,4.0,4.5,6.75,7.75,6.5,6.75,3.5,5.0,-0.05,0.08,0.95,929.36,3.6,-21.1,1.5,0.0,0.0,0.0,3.5,1.25,0.25,1.5,1.0,0.25,0.75,0.0,0.5,0.27,-0.55,0.83,151.65,0.3,15.9
0.18,1.25,1.25,5.0,4.75,3.0,3.5,4.5,6.75,7.75,5.75,6.5,3.0,5.0,-0.05,0.08,0.95,947.79,4.2,-20.6,1.0,0.75,1.0,1.5,3.25,1.25,0.5,1.5,1.0,1.25,1.0,0.5,0.5,-0.05,-0.67,1.08,160.41,-3.4,12.8
0.2,1.25,1.25,5.0,4.75,5.75,4.0,4.5,6.5,7.75,5.0,6.5,2.5,4.25,-0.05,0.08,0.95,960.82,4.1,-13.3,1.5,0.75,1.25,1.25,3.25,0.25,0.5,1.5,1.25,1.25,1.0,0.5,0.75,-0.3,-0.67,1.27,169.63,-6.2,11.2
