time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,1.25,0.5,1.75,2.0,2.5,1.75,1.25,3.5,4.5,5.0,4.75,3.75,5.0,-0.11,0.14,0.95,383.68,1.4,-37.2,8.5,1.0,8.25,5.25,0.0,0.0,2.75,0.75,1.5,0.5,1.0,0.5,0.75,0.39,0.77,2.08,496.62,-25.8,48.3
0.04,2.0,0.5,1.75,2.5,0.0,2.5,2.5,4.75,5.25,5.75,5.5,4.5,5.75,-0.11,0.08,0.95,495.15,1.9,-41.9,7.5,0.75,7.25,3.0,0.0,0.25,1.75,0.75,1.5,0.5,1.0,0.25,0.5,0.7,0.7,2.27,364.09,-25.9,48.0
0.06,1.25,0.25,1.75,1.5,0.75,2.5,3.0,4.75,6.0,6.5,6.25,5.25,6.25,-0.11,0.08,0.95,609.92,0.9,-48.1,5.0,0.0,5.25,3.0,0.0,0.25,1.5,0.75,1.5,0.5,1.25,0.25,0.25,0.64,-0.05,2.27,270.56,-24.2,38.9
0.08,1.25,0.5,1.75,2.0,1.25,2.5,3.0,5.75,6.5,6.75,6.75,5.25,6.75,-0.11,0.08,0.95,708.68,0.7,-45.7,1.0,0.5,4.0,2.75,0.0,1.5,1.0,1.0,1.5,0.5,1.0,0.5,0.75,1.14,-0.61,1.52,195.49,-14.6,17.7
0.1,1.5,0.5,1.25,2.0,2.25,2.75,3.0,5.75,7.0,7.25,7.5,5.75,6.75,-0.05,0.08,0.95,799.65,0.5,-44.8,0.75,0.75,2.5,2.75,0.0,1.25,1.0,1.0,1.5,0.5,1.25,0.75,0.75,3.08,-1.48,1.33,133.27,-12.1,9.1
0.12,1.75,0.5,3.0,2.0,2.5,3.25,3.25,5.75,7.0,7.75,7.75,6.0,7.25,-0.05,0.08,0.95,887.49,1.5,-40.8,0.5,0.5,2.25,2.75,0.0,0.25,1.0,0.75,1.5,0.75,1.0,0.75,0.75,1.14,-0.61,1.2,84.64,-13.8,3.5
0.14,1.75,0.5,3.0,2.0,3.0,3.25,3.5,6.0,7.0,7.75,7.75,5.75,7.25,-0.05,0.08,0.95,949.24,1.4,-39.4,0.0,0.5,0.5,2.75,0.0,1.25,1.0,1.0,1.5,0.5,1.0,0.75,0.5,0.27,-0.55,0.77,52.7,-6.2,-3.9
0.16,1.75,0.5,3.0,2.0,2.5,3.25,3.5,6.25,7.0,7.75,7.75,5.5,7.25,-0.11,0.08,0.95,982.28,1.3,-40.0,0.0,0.5,1.5,2.0,0.0,1.0,1.0,0.75,1.5,0.75,1.25,0.25,0.75,0.02,-0.61,0.95,43.84,-8.7,-3.1
0.18,1.25,0.5,3.0,2.0,2.5,3.25,3.5,6.5,7.0,7.75,7.75,5.25,7.0,-0.05,0.08,0.95,982.37,1.0,-40.5,0.0,0.25,1.5,2.0,0.0,1.0,1.0,0.75,1.5,0.75,1.0,0.75,0.5,-0.55,-0.48,1.39,50.17,-9.1,-6.4
0.2,1.5,0.5,3.0,1.75,2.5,3.25,3.5,6.25,7.0,7.5,7.25,5.25,6.75,-0.11,0.08,0.95,954.67,1.2,-39.6,0.0,0.25,1.25,1.75,0.0,1.25,1.0,0.75,1.5,0.5,1.0,0.75,0.5,-0.55,-0.42,1.33,63.15,-8.0,-7.2
0.22,1.75,0.5,2.75,0.0,2.5,3.5,3.25,6.0,7.0,7.25,7.25,5.25,6.75,-0.11,0.08,0.95,901.42,0.6,-42.6,0.0,0.25,1.5,1.75,0.0,1.25,1.0,0.75,1.25,0.5,1.0,0.5,0.5,-0.11,-0.23,1.27,80.7,-8.6,-1.9
