time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,8.0,1.75,7.75,5.25,5.5,2.5,1.75,2.25,1.5,3.5,2.75,1.0,1.0,-0.42,0.52,1.7,744.61,13.2,29.9,1.5,1.0,3.0,2.0,3.0,3.5,2.75,5.5,5.0,7.0,7.5,5.5,6.25,0.08,0.14,0.95,830.91,-1.3,-36.4
0.04,7.0,1.5,6.5,4.0,4.75,3.0,1.25,2.25,1.25,2.25,2.75,1.0,0.5,-0.3,0.39,1.7,624.3,12.8,31.2,1.5,1.25,3.0,2.25,3.0,3.75,2.75,6.0,5.25,6.75,7.5,5.5,6.5,0.08,0.14,0.95,882.82,-1.2,-35.2
0.06,6.0,1.5,5.0,3.75,4.5,3.0,1.75,2.0,1.25,1.5,2.5,0.75,0.5,-0.23,0.45,1.64,514.85,12.2,32.2,1.5,1.25,3.0,2.25,3.0,4.0,2.75,6.0,5.25,7.25,7.5,5.5,6.5,0.08,0.14,0.95,909.44,-0.9,-35.2
0.08,3.75,1.25,4.25,2.5,4.5,3.0,2.25,1.75,1.0,2.0,2.5,0.5,0.5,-0.3,0.39,1.7,412.77,9.5,25.5,1.5,1.25,3.0,2.25,3.0,4.75,3.0,6.0,5.25,7.25,7.5,5.25,6.5,0.08,0.14,0.95,919.49,-0.6,-33.9
0.1,2.25,1.5,3.0,2.5,4.5,3.0,2.0,2.0,1.25,1.25,1.5,1.0,0.5,-0.3,-0.23,1.08,338.27,7.1,23.4,1.5,1.25,3.0,2.5,3.0,3.75,3.0,6.0,5.25,7.25,7.5,5.5,6.5,0.08,0.14,0.95,908.13,-1.2,-34.9
0.12,1.75,1.5,1.75,2.5,4.5,2.75,2.25,1.75,1.25,1.0,2.5,1.5,0.75,-0.55,-0.92,0.52,286.94,5.8,13.8,1.5,1.25,3.0,2.75,3.0,4.0,3.0,6.0,5.25,7.0,7.5,5.25,6.25,0.08,0.14,0.95,886.37,-1.3,-33.3
0.14,1.75,1.5,2.5,2.75,4.5,2.5,2.25,1.75,1.0,1.0,2.25,0.75,0.5,-0.8,-1.11,1.02,262.43,7.3,22.1,1.5,1.25,2.75,2.75,3.0,4.0,3.0,6.0,5.5,6.75,7.5,4.75,6.0,0.08,0.14,0.95,859.94,-1.2,-32.5
0.16,1.75,1.5,2.75,2.0,4.75,1.5,2.25,2.25,0.5,0.75,2.5,0.75,0.25,-0.55,-0.73,0.52,249.47,8.3,22.7,1.5,1.25,3.0,2.75,3.0,4.0,3.0,6.0,5.5,6.75,7.5,4.5,6.0,0.08,0.14,0.95,827.79,-1.3,-31.7
0.18,0.5,0.0,1.75,1.25,0.5,1.25,1.75,1.75,0.5,0.5,1.25,0.0,0.0,-0.48,-0.67,0.45,191.15,8.6,10.8,1.5,1.25,3.0,2.25,3.5,4.25,3.0,6.25,5.5,7.0,7.25,4.5,6.0,0.08,0.14,0.95,809.5,-0.8,-31.4
0.2,0.5,0.0,1.75,1.0,0.5,0.5,1.75,1.5,0.5,1.0,1.25,0.0,0.0,-0.48,-0.61,0.64,133.72,10.2,4.4,1.5,1.5,3.0,3.0,4.25,4.5,3.0,6.5,5.5,6.75,7.25,4.5,5.5,0.08,0.14,0.95,798.78,-1.1,-27.0
0.22,1.5,1.5,2.75,2.5,4.5,2.0,2.25,1.75,0.75,1.25,2.0,0.75,0.5,-0.36,-0.55,0.83,157.56,7.5,21.7,1.5,1.25,3.0,2.75,4.5,4.75,3.25,6.75,5.75,6.75,7.5,4.25,5.25,0.08,0.14,0.95,799.66,-0.9,-26.8
0.24,1.75,1.5,2.75,2.25,4.5,2.0,2.25,1.75,0.75,0.5,2.25,0.75,0.5,-0.36,-0.36,0.95,199.83,8.4,24.2,1.75,1.25,3.0,3.25,5.25,5.0,3.25,6.75,6.0,6.75,7.25,4.25,4.75,0.08,0.14,0.95,813.28,-1.2,-23.1
0.26,1.5,1.5,2.5,1.75,4.5,2.0,2.25,1.75,0.75,1.0,2.0,0.75,0.75,-0.36,-0.23,1.08,245.25,6.8,19.6,1.5,1.25,3.0,3.0,5.5,5.0,3.25,6.75,6.25,6.25,7.0,3.5,4.75,0.08,0.14,0.95,817.54,-1.0,-21.8
0.28,1.25,1.5,2.5,2.0,4.5,1.75,2.25,1.75,0.75,1.25,1.75,0.75,0.5,-0.36,-0.05,1.2,273.65,6.9,20.5,1.5,1.5,3.0,3.0,5.75,5.0,3.25,6.75,6.5,6.0,6.75,3.25,4.25,0.08,0.14,0.95,817.91,-1.2,-19.3
0.3,0.5,0.0,2.75,1.0,4.5,0.5,2.25,1.75,0.5,0.5,2.0,0.0,0.0,-0.36,0.08,1.33,264.51,8.8,21.0,1.75,1.5,3.0,3.5,5.75,5.5,3.5,7.0,6.75,5.5,6.75,3.0,3.75,0.08,0.14,0.95,820.12,-1.6,-16.0
0.32,0.5,0.0,0.5,1.0,1.25,0.5,1.75,1.0,0.5,0.5,0.75,0.0,0.0,-0.36,0.2,1.52,209.08,7.3,13.8,2.75,1.5,4.0,3.75,6.0,5.5,3.75,7.25,6.5,5.25,6.5,2.25,3.0,0.08,0.14,0.95,832.84,-3.0,-8.9
