time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,2.0,1.0,2.75,3.5,5.25,3.75,3.0,4.25,3.5,3.5,3.75,3.5,3.75,-0.11,-0.05,0.95,557.7,3.0,-11.4,0.75,0.25,0.25,0.0,1.5,1.25,0.0,0.75,1.0,0.5,1.0,0.0,0.75,-0.17,1.14,0.52,56.82,0.4,-2.4
0.04,2.0,1.0,2.75,3.25,5.0,4.0,3.0,4.25,3.5,4.25,3.75,4.0,4.0,-0.11,-0.05,0.95,587.63,2.4,-14.8,2.25,1.5,0.25,2.0,1.5,1.5,0.0,0.75,1.5,2.5,1.0,0.75,0.75,-0.05,0.77,0.77,114.94,-4.4,7.4
0.06,2.0,1.0,2.75,3.5,5.25,3.75,4.25,4.25,4.25,4.5,4.5,5.75,5.25,-0.11,-0.05,0.95,640.26,2.9,-21.1,2.25,1.25,1.5,1.75,1.75,2.0,0.5,1.5,1.5,1.75,2.5,0.75,2.0,0.14,0.33,0.83,184.69,-5.1,-1.2
0.08,2.5,0.25,2.5,0.0,5.0,3.5,4.5,4.5,4.75,4.5,5.5,6.75,6.0,-0.11,-0.05,0.95,677.55,2.1,-33.5,2.25,1.25,1.5,0.25,1.75,1.25,0.5,1.25,1.0,3.0,2.5,0.75,2.25,0.08,0.14,0.77,238.42,-3.7,-12.1
0.1,2.25,0.75,2.75,1.75,5.25,4.25,4.75,4.5,5.0,5.0,5.75,7.0,6.25,-0.11,-0.05,0.95,733.74,2.3,-29.0,2.0,1.0,1.5,2.0,1.75,1.25,0.75,1.25,1.25,2.5,2.5,0.5,2.0,0.02,0.02,0.7,263.73,-5.4,-4.4
0.12,2.5,0.75,2.75,1.75,5.0,4.5,4.75,5.5,5.0,5.25,6.25,7.5,7.0,-0.11,-0.11,0.95,794.32,1.8,-31.2,2.25,1.0,1.5,0.5,1.75,2.0,0.5,0.0,1.5,0.25,2.5,0.75,2.5,0.14,-0.11,0.77,269.28,-7.3,-0.7
0.14,2.5,0.75,2.75,2.75,5.25,4.5,4.75,5.5,5.25,5.75,6.25,7.75,7.25,-0.11,-0.11,0.95,861.71,1.9,-30.3,2.25,1.0,1.5,0.0,1.75,1.25,0.25,0.0,1.5,1.5,2.5,0.0,2.5,0.14,-0.17,0.7,259.91,-6.3,-5.1
0.16,2.75,1.0,2.75,3.5,5.25,4.5,5.0,5.5,5.5,6.75,6.75,8.0,8.0,-0.11,-0.11,0.95,935.62,2.0,-30.5,0.75,0.25,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.5,1.0,0.25,0.75,0.14,-0.11,0.52,204.51,-4.5,-12.0
0.18,2.75,1.0,2.75,3.5,5.25,4.5,5.0,5.5,5.5,6.75,6.75,8.25,8.0,-0.11,-0.11,0.95,992.59,2.0,-30.8,0.5,0.25,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.25,1.0,0.25,0.75,0.14,-0.11,0.64,157.03,-4.2,-13.7
0.2,2.5,1.0,2.75,3.5,5.25,4.5,5.25,5.5,5.5,6.5,6.75,8.25,8.0,-0.11,-0.11,0.95,1025.7,2.1,-31.0,2.5,1.25,1.5,2.0,1.75,1.0,0.75,0.0,1.5,2.5,2.5,1.25,1.75,0.45,-1.11,0.58,181.38,-8.3,-2.0
