time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,3.0,1.75,3.0,4.75,7.75,9.75,0.75,10.5,4.5,6.5,3.25,2.25,4.25,-0.11,0.14,0.95,959.71,-2.1,-4.8,2.0,1.0,0.75,1.5,1.75,4.0,0.0,5.25,3.25,8.0,6.0,7.0,8.25,-0.23,0.27,1.27,501.46,2.5,-49.3
0.04,4.25,1.0,4.25,5.75,8.0,9.75,2.5,9.75,4.5,6.5,3.5,2.25,4.0,-0.11,0.14,0.95,997.2,0.1,-0.7,2.0,1.0,0.5,1.75,3.25,4.5,0.0,5.75,4.25,8.25,6.75,7.0,8.5,0.14,0.14,0.95,701.3,2.6,-45.7
0.06,6.0,0.25,4.75,5.5,9.25,9.75,2.75,9.5,4.5,5.5,3.0,2.25,3.0,-0.11,0.14,0.95,1031.7,1.5,5.6,2.0,1.5,0.0,1.5,3.0,4.75,0.25,6.0,4.75,8.75,7.75,7.25,8.75,0.08,0.2,0.95,870.47,2.8,-47.2
0.08,6.25,1.75,4.75,6.5,9.25,9.75,3.25,9.0,4.25,5.0,3.0,2.25,2.0,-0.11,0.14,0.95,1074.56,2.7,11.9,2.0,1.5,0.0,1.25,3.5,5.0,0.0,6.25,4.75,8.75,7.5,7.25,8.75,0.08,0.14,0.95,973.74,3.1,-46.3
0.1,7.75,1.75,5.5,7.5,9.25,9.75,3.25,8.0,3.0,5.0,2.0,2.0,2.25,-0.11,0.14,0.95,1107.69,3.9,18.0,2.0,1.75,0.25,0.0,3.25,4.75,0.0,6.25,4.75,8.5,7.0,7.25,8.5,0.08,0.14,0.95,1012.51,3.3,-47.8
0.12,8.75,2.25,5.75,10.5,12.0,9.75,2.75,7.5,2.0,5.0,2.0,1.75,2.5,-0.11,0.14,1.02,1188.67,4.6,24.2,2.0,1.5,0.5,1.75,3.0,4.75,0.25,6.25,4.75,8.5,6.75,7.0,8.5,0.14,0.14,0.95,1028.04,2.5,-44.4
0.14,9.0,0.0,5.75,10.5,11.5,9.75,1.25,6.25,1.5,4.75,2.0,0.75,2.25,-0.17,0.2,1.2,1200.57,4.6,26.1,1.75,1.75,1.0,1.75,3.5,4.5,0.25,6.25,4.5,8.25,6.75,6.75,8.25,0.08,0.14,0.95,1023.39,2.2,-42.0
0.16,10.5,0.0,4.25,10.5,12.0,9.25,0.0,5.75,1.25,4.5,2.25,0.75,2.25,-0.17,0.2,1.33,1194.32,4.6,27.7,1.75,1.5,0.25,2.0,3.0,4.5,0.0,6.0,4.25,8.0,6.75,6.5,8.25,0.08,0.14,0.95,993.11,2.8,-44.4
0.18,11.5,1.25,3.0,7.25,12.0,8.25,0.0,4.75,1.25,4.25,2.0,0.5,2.5,-0.17,0.27,1.45,1124.5,4.6,29.8,1.75,1.75,1.5,1.75,3.75,5.0,0.25,6.0,4.75,8.0,6.75,6.25,8.25,0.08,0.14,0.89,971.05,1.9,-39.1
0.2,11.5,5.5,3.5,5.75,10.5,7.5,0.0,4.5,1.25,0.75,0.5,0.5,2.0,-0.36,0.45,1.58,1038.92,7.2,45.2,2.0,1.5,1.0,1.75,3.75,5.0,0.5,6.0,4.75,7.75,6.75,6.25,8.0,0.08,0.14,0.89,925.76,2.0,-39.5
