time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,1.75,1.75,2.0,2.75,3.5,4.5,3.0,4.0,4.0,2.75,4.0,3.5,3.75,-0.11,-0.05,0.95,477.99,2.5,-14.5,1.25,0.25,0.5,0.75,0.0,0.0,2.25,0.25,0.25,0.0,0.0,0.0,1.25,2.08,-0.36,1.08,4.88,-16.7,15.3
0.04,1.75,1.75,1.75,3.0,5.0,5.0,3.0,4.5,4.5,4.25,4.5,4.5,4.0,-0.11,-0.05,0.95,616.43,1.3,-17.1,0.75,0.0,0.0,0.75,0.0,0.0,1.25,0.25,0.5,0.0,0.25,0.0,1.25,0.95,-0.17,0.64,0.0,-10.1,-13.3
0.06,1.75,2.0,1.5,3.25,5.25,5.0,3.75,5.0,5.0,4.75,5.0,5.0,4.5,-0.11,-0.05,0.95,727.67,1.3,-19.3,0.25,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.25,0.0,0.25,0.0,1.5,0.58,-0.42,0.77,0.0,-4.8,-42.4
0.08,2.0,2.0,1.75,3.75,5.25,5.0,4.0,5.5,5.25,5.0,5.0,5.75,5.25,-0.11,-0.05,0.95,831.43,1.5,-20.6,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.5,0.0,1.5,0.2,-0.55,0.89,0.0,-0.8,-55.5
0.1,2.0,2.0,1.75,3.75,5.25,5.75,4.25,6.0,5.75,5.75,5.75,5.75,5.5,-0.11,-0.05,1.02,912.32,1.0,-21.9,0.0,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.25,0.0,0.5,0.0,1.25,-0.11,-0.42,0.89,0.0,-4.6,-50.6
0.12,2.0,2.0,2.25,4.25,5.25,6.0,4.5,6.25,5.75,5.75,6.0,5.75,6.0,-0.11,-0.05,1.02,981.76,1.3,-21.3,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.25,0.0,0.5,0.0,1.5,-0.17,-0.36,0.95,0.0,-4.8,-41.3
0.14,2.0,2.0,2.5,4.0,5.25,6.25,4.75,6.25,6.0,5.75,5.75,6.0,6.25,-0.11,-0.05,0.95,1025.75,1.3,-21.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.5,0.0,1.5,-0.11,-0.23,1.02,0.0,-2.7,-46.3
0.16,2.25,2.0,2.75,4.5,5.25,6.5,4.75,6.25,6.0,6.0,5.75,5.75,5.75,-0.11,-0.05,0.95,1049.91,1.7,-19.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.5,0.0,1.5,0.02,-0.11,1.2,0.0,-2.7,-46.3
0.18,2.25,2.0,3.75,4.5,5.25,6.5,4.75,6.25,6.0,5.5,5.75,5.5,5.5,-0.11,-0.05,0.95,1062.81,2.4,-16.4,0.0,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.25,0.0,0.5,0.0,1.5,0.08,0.08,1.39,2.29,-3.1,-55.5
0.2,2.5,2.0,3.25,4.5,5.25,6.5,4.75,6.5,5.75,5.25,5.75,5.0,5.25,-0.11,-0.05,0.95,1044.18,2.2,-15.2,0.0,0.75,0.0,0.0,0.0,0.0,1.25,0.0,0.5,0.0,0.5,0.0,1.5,0.08,0.33,1.39,23.95,-4.9,-33.9
