time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,2.0,0.5,3.5,1.0,0.0,0.25,2.0,2.0,1.0,0.0,1.0,2.0,2.0,-0.23,-0.05,0.95,170.99,14.2,-5.2,1.75,0.5,0.0,2.75,1.25,1.0,0.5,0.5,0.5,2.0,0.5,0.75,0.0,0.14,-0.98,0.77,21.88,-6.1,15.6
0.04,2.0,0.5,3.75,2.75,0.5,1.75,2.0,1.0,2.0,2.0,2.75,3.0,3.75,-0.11,-0.05,0.95,245.61,8.9,-17.5,1.0,0.5,0.0,1.0,1.5,1.25,0.5,0.25,0.5,2.0,0.0,0.5,0.5,-0.36,-0.98,1.08,52.01,0.0,5.5
0.06,2.0,0.5,3.5,3.0,0.75,1.75,2.75,3.0,2.5,4.0,3.0,5.0,5.25,-0.17,-0.05,0.95,340.01,5.1,-30.7,2.0,1.5,0.25,1.75,4.75,1.25,0.75,2.0,0.5,2.0,1.5,0.5,1.0,-0.36,-0.67,1.08,133.72,-1.9,13.8
0.08,2.0,1.25,2.75,3.25,0.75,2.5,3.25,3.0,3.25,3.75,2.5,5.75,5.25,-0.11,-0.05,0.95,445.52,4.6,-28.6,2.0,1.5,0.25,2.25,2.25,1.0,1.0,1.75,0.5,2.0,1.5,0.0,0.75,-0.11,-0.42,1.02,178.84,-4.2,14.5
0.1,1.25,0.25,4.75,1.0,0.75,1.75,4.0,3.0,3.0,3.5,4.5,5.75,5.75,-0.11,-0.05,0.95,529.37,5.8,-38.8,0.5,0.25,0.0,0.5,1.25,0.75,0.5,0.25,0.25,0.5,0.25,0.0,0.5,0.02,-0.23,1.2,171.54,-0.3,14.4
0.12,0.75,0.25,2.25,1.5,0.0,1.75,3.5,3.0,3.5,4.25,3.5,6.0,6.0,-0.11,-0.05,0.95,569.07,2.6,-50.3,0.5,0.25,0.0,0.0,1.25,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.02,-0.05,1.45,132.73,-5.0,40.3
0.14,1.0,0.25,2.25,1.75,0.0,1.75,2.75,3.0,4.0,4.25,4.5,6.75,6.25,-0.11,-0.11,0.95,594.6,2.9,-51.5,0.5,0.25,0.0,0.0,1.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.2,1.64,90.01,-2.6,45.5
0.16,2.0,0.25,2.5,1.5,0.0,1.75,2.75,3.25,4.25,5.0,5.25,7.0,7.0,-0.11,-0.11,0.95,626.33,3.3,-50.2,0.5,0.25,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.75,-0.05,0.45,1.77,54.75,-7.4,-10.1
0.18,2.0,1.25,2.25,3.25,0.0,1.75,2.75,4.25,4.75,6.25,5.5,7.5,7.0,-0.11,-0.11,0.95,690.74,3.1,-44.4,0.5,0.5,0.0,0.5,1.25,0.75,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.14,0.83,1.95,46.15,-4.1,44.8
0.2,2.0,1.75,2.5,3.25,3.0,2.25,3.5,4.75,4.75,5.0,6.25,8.25,8.25,-0.11,-0.11,0.95,781.65,2.9,-37.2,0.5,1.0,0.0,0.75,1.25,1.0,0.25,0.0,0.25,0.25,0.0,0.0,0.5,0.2,1.58,1.83,56.99,-2.1,38.0
0.22,2.0,0.25,2.25,1.5,0.5,1.75,2.75,4.75,4.75,5.0,5.75,7.5,7.25,-0.11,-0.11,0.95,797.37,2.4,-50.3,1.0,0.25,0.0,0.75,1.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,-0.17,2.02,1.52,56.35,-12.4,50.0
0.24,2.0,1.25,2.25,3.25,0.5,4.0,3.0,5.25,5.25,6.25,6.25,8.0,8.0,-0.11,-0.11,0.95,838.55,1.6,-42.2,0.5,0.0,0.0,0.75,1.25,0.75,0.25,0.0,0.25,0.25,0.0,0.0,0.5,-0.36,3.27,0.7,52.71,-1.0,24.4
0.26,2.0,1.75,3.75,3.25,1.75,4.0,4.0,5.25,5.25,6.25,6.25,7.75,8.0,-0.11,-0.11,0.95,865.07,2.8,-34.8,1.0,0.25,0.0,0.75,1.25,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.25,-1.61,4.7,-0.73,51.06,-8.8,36.8
0.28,2.0,1.5,4.0,3.25,0.75,4.0,4.0,5.25,5.5,6.25,6.25,7.5,7.75,-0.11,-0.11,0.95,886.32,3.1,-36.2,0.25,0.25,0.0,0.75,1.25,1.25,0.5,0.0,1.0,2.0,0.25,1.25,0.5,-2.98,-0.36,3.7,73.91,1.2,-19.9
0.3,2.0,1.75,4.25,3.25,1.25,4.0,4.0,5.25,5.5,6.25,6.25,7.5,7.75,-0.11,-0.11,0.95,899.69,3.2,-34.2,1.25,1.5,0.0,1.0,4.25,1.0,0.5,0.0,1.0,3.5,2.0,1.25,2.0,-0.36,-0.61,1.77,144.58,-0.4,-9.2
0.32,2.0,1.75,4.25,3.25,0.75,4.0,4.25,5.25,5.5,6.25,6.25,7.5,7.75,-0.11,-0.11,0.95,910.92,3.4,-35.0,1.25,1.5,0.0,1.0,4.5,1.25,0.5,0.0,1.0,4.25,2.0,2.25,3.25,0.14,-0.23,0.83,228.0,0.7,-20.0
0.34,2.25,1.75,4.5,3.25,0.75,4.0,4.25,5.25,5.75,6.25,6.25,7.5,7.25,-0.11,-0.11,0.95,907.52,3.8,-33.3,1.5,1.5,0.25,1.0,4.5,2.25,0.5,0.0,1.25,5.5,3.0,4.0,5.25,-0.61,0.08,1.08,318.95,1.3,-32.0
0.36,2.75,1.5,4.5,3.25,1.75,4.0,5.0,5.25,5.75,6.0,6.25,7.25,7.25,-0.11,-0.11,0.95,901.16,4.2,-30.3,0.75,0.0,0.0,0.75,1.25,0.0,0.5,0.0,1.25,6.5,2.75,5.25,5.5,1.27,0.27,1.33,371.85,1.9,-71.0
0.38,2.75,1.75,4.75,3.25,0.75,4.25,5.0,5.5,6.0,6.0,6.25,7.0,7.0,-0.11,-0.11,0.95,890.42,4.4,-30.1,0.5,0.0,0.0,0.75,1.25,2.75,0.0,0.0,0.0,7.0,4.5,5.75,7.25,0.02,0.14,1.2,432.69,4.9,-68.6
0.4,2.75,1.75,4.75,3.25,3.75,4.25,5.5,5.75,6.25,5.5,6.25,6.75,7.0,-0.11,-0.11,0.95,899.83,4.1,-24.5,0.75,0.5,0.25,0.0,2.25,3.5,0.25,0.0,1.75,7.75,5.5,6.0,7.0,0.02,0.08,1.02,495.23,3.6,-59.4
0.42,3.75,1.75,4.75,3.25,4.25,5.25,5.5,5.75,6.5,5.0,6.25,6.5,6.25,-0.11,-0.11,0.95,919.64,4.5,-19.2,1.0,1.75,0.5,1.0,1.25,4.25,0.75,3.25,2.5,8.5,5.75,6.5,6.25,0.08,0.08,0.95,589.91,2.8,-49.4
0.44,3.75,1.75,4.75,3.25,5.25,5.75,6.5,5.75,6.75,5.0,6.25,5.75,6.0,-0.05,-0.11,0.95,955.03,4.4,-15.8,2.0,1.75,2.75,3.25,5.25,4.75,1.75,4.75,2.75,8.5,7.25,6.5,8.0,0.14,0.02,0.95,752.5,0.0,-31.2
0.46,4.75,1.75,5.0,5.0,5.25,6.0,7.25,6.25,6.75,5.0,5.5,5.0,5.25,-0.11,-0.11,0.95,1005.07,5.4,-8.7,3.5,2.25,2.75,3.25,4.75,5.5,1.5,4.5,3.0,8.75,7.0,7.25,8.25,0.14,0.02,0.95,913.33,-0.6,-28.6
0.48,5.5,1.75,6.0,5.5,6.75,7.0,7.75,6.25,6.5,4.75,5.5,3.5,3.75,-0.11,-0.11,1.02,1052.16,6.1,1.1,2.0,1.5,0.5,3.25,5.0,5.0,1.5,5.0,2.75,8.75,6.75,7.25,8.75,0.14,0.02,0.95,1012.6,2.0,-37.7
0.5,6.25,2.0,6.5,7.0,6.25,7.5,8.5,6.25,6.25,4.25,4.75,3.25,3.75,-0.11,-0.11,1.02,1110.58,7.1,6.1,2.0,1.5,0.75,3.0,5.25,5.25,1.5,4.75,2.75,8.75,7.25,7.5,8.75,0.08,0.02,0.95,1052.83,1.8,-37.5
0.52,7.5,3.5,7.75,8.75,9.0,8.0,9.0,5.75,5.75,2.5,3.5,2.0,3.75,-0.05,-0.11,1.08,1206.04,8.4,20.0,2.0,1.5,0.5,3.25,4.75,5.25,1.5,5.25,2.75,8.75,7.25,7.25,8.5,0.14,0.02,0.95,1046.31,2.0,-37.8
