time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.75,0.0,0.0,0.0,3.0,0.25,0.0,0.75,1.0,2.75,1.5,2.0,3.25,-1.42,0.27,0.7,170.4,-3.0,-45.1,2.0,0.25,1.75,1.0,2.25,1.75,0.75,1.25,0.75,0.5,0.75,0.25,0.5,0.64,-1.17,1.58,117.8,-7.6,24.3
0.04,0.75,0.0,0.0,0.75,2.5,1.25,0.0,0.75,1.0,5.0,0.75,4.75,4.25,1.02,1.77,1.77,233.87,-3.9,-53.7,1.5,0.0,1.75,0.75,1.5,0.75,0.75,1.0,0.75,0.5,0.75,0.25,1.0,0.45,-0.67,0.83,72.86,-9.2,10.7
0.06,0.0,0.0,0.25,1.0,1.75,2.5,0.25,5.5,3.5,7.0,5.25,7.0,6.5,0.14,0.64,1.33,358.99,-4.0,-61.4,1.25,0.25,1.5,0.5,1.25,0.75,0.75,1.25,0.75,0.5,0.75,0.25,0.75,0.2,-0.36,0.39,29.08,-8.0,9.1
0.08,1.0,0.0,0.25,2.25,0.0,2.75,1.25,6.5,4.5,7.5,7.0,7.5,7.25,-0.11,0.08,1.08,539.24,-1.9,-59.5,1.5,0.25,1.75,0.75,1.5,1.25,0.75,1.5,0.75,0.5,0.75,0.25,0.0,0.14,-0.17,0.39,23.86,-8.8,22.6
0.1,1.0,0.0,1.0,2.25,3.5,3.25,0.75,6.5,4.75,7.75,7.0,7.25,7.25,-0.11,0.14,0.95,732.51,-1.8,-48.2,1.25,0.25,1.75,0.5,0.5,0.75,0.5,1.5,0.75,0.5,0.25,0.25,0.0,0.02,-0.11,0.58,24.34,-10.8,20.1
0.12,1.0,0.25,1.0,2.25,3.0,3.5,0.75,7.25,5.0,8.0,6.5,7.25,7.5,-0.11,0.08,0.95,870.41,-2.2,-48.3,1.25,0.25,1.75,1.25,1.25,0.75,0.75,1.25,0.75,0.5,0.75,0.25,0.5,0.08,-0.05,0.7,57.09,-9.9,16.6
0.14,0.75,0.25,1.0,2.25,3.5,3.5,1.0,7.25,5.0,8.5,7.0,7.25,7.75,-0.11,0.08,0.95,967.07,-2.4,-48.4,1.75,0.25,1.5,0.5,1.25,0.5,0.75,1.5,0.75,0.5,0.75,0.25,0.25,0.14,0.02,0.83,83.36,-10.4,17.4
0.16,1.0,0.0,0.5,2.25,3.5,3.5,1.0,7.5,5.0,8.5,7.0,7.25,7.75,-0.11,0.08,0.95,1007.73,-2.7,-49.5,1.75,0.25,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.25,0.75,0.14,0.08,0.95,103.39,-10.3,6.8
0.18,1.0,0.0,1.0,2.25,3.75,3.5,1.0,7.75,5.25,8.5,7.0,7.25,7.75,-0.11,0.08,0.95,1033.74,-2.4,-47.8,1.5,0.25,1.0,0.5,0.5,0.75,0.75,1.0,0.75,0.5,0.75,0.25,0.75,0.14,0.2,1.14,113.86,-8.8,5.4
0.2,1.0,0.25,1.0,2.25,4.25,4.5,1.0,7.75,5.25,8.5,7.0,7.0,7.25,-0.11,0.08,0.95,1041.23,-2.6,-43.9,1.25,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.25,1.0,0.2,0.33,1.33,114.23,-8.5,-1.3
0.22,1.0,0.25,1.0,2.25,4.5,3.5,1.0,7.75,5.25,8.0,6.75,6.75,7.25,-0.11,0.08,0.95,1021.68,-2.2,-44.1,1.75,0.25,1.25,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.25,0.75,0.33,0.52,1.52,116.12,-11.9,10.0
0.24,1.0,0.0,1.0,2.25,4.75,3.75,1.0,7.75,5.25,7.5,6.5,5.75,6.75,-0.11,0.08,0.95,965.56,-2.4,-41.6,1.25,0.25,1.0,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.25,0.75,0.39,0.7,1.95,115.18,-9.7,3.3
0.26,1.25,0.25,1.0,2.25,5.75,4.5,1.0,7.75,5.5,7.25,6.25,4.75,6.25,-0.11,0.08,0.95,907.43,-2.5,-35.0,1.25,0.25,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.25,0.5,0.25,0.5,0.33,1.39,2.52,110.64,-9.0,8.6
0.28,1.25,0.5,1.5,2.5,5.75,5.0,1.5,7.75,5.75,7.0,6.0,4.75,5.5,-0.11,0.08,0.95,850.39,-1.8,-30.7,0.75,0.25,0.75,1.0,0.5,1.0,0.5,0.5,0.75,0.5,0.75,0.25,0.25,0.27,2.64,2.77,109.18,-7.8,10.0
0.3,1.75,0.25,1.5,2.5,5.75,5.5,1.5,7.75,5.75,6.25,5.75,3.25,5.25,-0.11,0.08,0.95,788.5,-1.8,-26.2,1.0,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.14,3.89,2.14,105.45,-8.5,-0.6
0.32,1.75,0.75,1.5,2.5,6.0,5.75,1.5,8.0,5.75,5.5,5.25,3.0,4.25,-0.11,0.08,0.95,751.42,-1.6,-21.0,1.25,0.25,0.75,0.5,0.5,1.0,0.5,0.75,0.75,0.5,0.75,0.25,0.5,-0.05,5.08,1.02,107.81,-7.3,6.6
0.34,1.75,1.25,1.75,3.0,6.25,6.25,1.5,8.0,5.75,5.0,4.5,1.75,3.5,-0.11,0.08,0.95,722.85,-1.3,-12.6,1.25,0.0,1.0,0.5,0.5,0.75,0.5,1.0,0.75,0.5,0.75,0.25,1.0,-1.48,6.08,-2.17,113.96,-6.9,-3.6
