time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,2.0,0.75,1.75,2.75,4.75,4.25,2.0,7.5,6.75,5.5,5.75,3.0,4.75,-0.11,0.08,0.95,763.45,0.0,-24.6,1.75,1.0,0.75,1.5,4.25,4.0,0.0,4.5,4.25,8.0,7.25,6.75,7.75,0.02,0.39,1.14,698.01,1.9,-43.9
0.04,2.5,1.0,2.25,3.0,4.75,4.5,2.0,7.25,6.75,4.25,5.5,3.0,3.5,-0.11,0.08,0.95,735.33,1.6,-17.4,0.75,1.0,1.25,1.5,3.75,3.75,0.5,5.5,4.0,7.75,7.75,7.25,7.75,0.02,0.14,0.95,831.54,1.9,-47.2
0.06,4.0,1.5,3.25,5.0,4.75,5.5,2.75,7.25,7.0,4.0,4.75,2.0,2.75,-0.11,0.08,0.95,749.54,3.7,-3.6,1.5,1.25,1.0,1.25,4.25,3.75,0.5,5.5,4.0,7.75,7.5,7.25,8.0,0.08,0.14,0.95,910.68,1.8,-44.7
0.08,5.75,1.5,3.75,5.0,6.75,6.0,3.0,6.75,6.75,3.5,3.75,1.5,2.25,-0.11,0.08,0.95,783.28,4.8,7.1,1.5,1.25,1.25,1.25,4.25,4.0,0.5,5.5,4.25,7.75,7.75,6.75,7.75,0.08,0.14,0.95,950.09,1.6,-43.1
0.1,6.75,1.75,4.0,6.5,7.0,6.75,3.5,6.75,6.25,2.75,3.5,1.5,2.25,-0.11,0.08,0.95,845.76,5.8,13.0,1.75,1.25,1.25,1.25,4.25,4.5,0.5,5.5,4.75,7.75,7.5,6.75,7.75,0.08,0.08,0.89,963.8,1.6,-41.6
0.12,7.75,1.75,5.0,7.5,8.75,6.75,3.5,6.25,5.5,2.75,2.5,1.5,2.25,-0.11,0.08,0.95,925.77,6.7,19.7,2.0,1.25,1.25,1.5,3.75,5.0,0.5,6.0,4.75,7.75,7.5,6.5,7.75,0.08,0.14,0.95,969.59,1.7,-40.6
0.14,9.5,1.75,6.25,8.5,9.5,7.25,3.5,5.75,4.5,2.25,2.5,1.5,2.0,-0.11,0.14,0.95,1014.02,8.2,26.3,1.5,1.25,1.25,1.25,4.75,5.5,0.75,6.25,5.25,7.75,7.75,6.0,7.75,0.08,0.14,0.95,974.76,2.2,-39.0
0.16,11.0,2.25,7.25,10.5,11.5,7.75,3.5,5.0,3.75,2.0,2.5,1.25,2.0,-0.11,0.14,1.08,1131.13,9.2,32.9,1.75,1.0,1.25,1.5,4.75,5.5,1.0,6.25,5.25,7.25,7.25,5.5,6.75,0.08,0.08,0.95,944.53,1.8,-35.9
0.18,12.5,1.75,8.5,12.5,13.0,7.5,2.75,4.75,3.0,1.75,2.25,1.25,2.0,-0.11,0.14,1.2,1262.82,10.2,37.1,2.0,1.25,1.25,1.5,4.75,5.75,1.0,6.25,5.5,6.75,6.5,4.25,5.75,0.08,0.14,0.95,885.63,1.7,-30.2
0.2,14.0,3.25,9.5,13.0,14.0,6.0,0.75,4.25,2.0,2.0,2.25,1.25,2.0,-0.11,0.2,1.33,1367.09,11.4,41.5,2.0,1.5,1.75,2.75,5.0,6.0,1.25,6.25,5.5,6.25,5.75,3.75,5.0,0.08,0.14,0.95,826.02,0.7,-22.6
0.22,16.0,3.5,10.5,12.0,13.0,5.75,0.25,3.75,2.0,1.5,2.25,1.25,2.0,-0.3,0.33,1.45,1428.21,12.9,44.3,2.0,1.5,2.75,4.0,5.25,6.5,1.5,6.25,5.5,5.5,4.75,3.0,4.0,0.08,0.14,0.95,778.37,-0.4,-13.1
