time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,7.0,0.25,3.5,4.5,4.75,4.5,2.0,7.5,7.25,3.5,4.25,2.25,1.75,-0.11,0.08,0.95,802.92,6.0,0.7,0.75,0.0,0.0,1.25,3.0,4.75,0.75,6.75,5.0,8.25,7.25,8.25,8.0,0.02,0.27,1.02,727.4,3.7,-54.3
0.04,7.75,0.25,4.5,5.25,5.0,4.5,2.75,6.75,7.0,3.25,3.75,2.25,1.5,-0.11,0.08,0.95,809.32,7.7,6.7,1.25,0.25,2.25,2.0,3.25,4.5,1.0,7.0,5.0,8.0,7.75,8.0,8.25,0.02,0.2,0.95,911.74,1.2,-46.0
0.06,8.5,0.5,5.0,5.75,6.75,5.0,3.25,6.0,6.25,3.25,3.0,1.75,1.5,-0.11,0.08,0.95,830.73,8.1,14.7,1.25,0.25,2.0,1.25,3.5,4.25,0.75,7.25,4.75,8.0,6.75,7.75,8.0,0.08,0.2,0.95,1021.1,2.0,-46.8
0.08,9.0,0.5,5.5,6.75,7.0,5.25,3.25,5.25,5.5,3.0,1.5,1.5,1.5,-0.11,0.14,0.95,851.02,8.9,21.8,1.25,0.0,2.0,1.25,3.0,4.25,1.0,7.0,4.25,8.0,6.5,7.25,8.0,0.08,0.14,0.89,1053.47,2.2,-47.8
0.1,9.0,1.0,6.5,7.75,7.25,5.5,3.25,4.75,4.75,3.25,1.5,1.5,1.5,-0.11,0.14,0.95,887.83,9.5,25.0,1.25,0.25,2.0,1.25,3.25,4.25,1.0,7.5,4.25,8.0,6.0,6.5,8.0,0.08,0.14,0.95,1033.39,2.5,-45.4
0.12,9.0,0.5,7.75,7.25,8.75,4.5,3.5,3.25,3.75,3.0,0.75,1.25,0.75,-0.11,0.14,0.95,893.58,11.4,33.0,0.75,0.0,3.5,2.25,4.75,5.25,1.75,7.5,4.25,7.75,6.0,6.75,7.75,0.08,0.14,0.89,1026.32,1.4,-37.6
0.14,11.5,1.75,8.5,8.25,8.75,5.5,3.25,3.25,3.0,3.25,2.0,1.0,1.5,-0.11,0.14,1.02,950.91,11.8,34.8,1.75,1.0,2.75,1.25,4.5,5.25,1.5,7.5,4.75,7.75,5.5,6.5,7.75,0.08,0.14,0.95,1009.07,1.5,-36.0
0.16,12.0,1.75,9.0,9.0,9.25,5.5,3.0,2.0,2.75,2.0,1.25,0.75,0.5,-0.11,0.2,1.08,982.33,13.8,44.8,1.25,0.5,2.5,1.25,4.5,5.0,1.5,7.75,4.75,7.75,5.75,6.25,7.0,0.08,0.14,0.95,974.99,2.0,-37.9
0.18,13.0,1.75,9.25,0.0,10.5,5.5,2.5,3.0,2.0,2.75,1.75,0.75,1.5,-0.11,0.2,1.02,975.41,11.6,37.7,0.75,0.0,1.75,1.75,4.25,5.25,1.0,8.0,4.75,7.75,5.75,6.25,6.75,0.08,0.14,0.95,923.47,3.1,-41.0
0.2,15.0,1.75,11.0,11.0,10.5,4.75,2.75,3.0,2.0,2.75,1.75,0.75,1.5,-0.11,0.2,1.02,1065.72,14.3,43.4,0.75,0.5,2.0,1.25,4.5,4.75,1.0,8.0,5.0,7.75,5.75,6.25,6.25,0.08,0.14,0.95,875.66,2.6,-39.7
