time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.75,0.0,0.25,0.0,0.0,0.25,1.25,1.0,1.0,1.5,1.25,2.0,0.75,0.02,0.45,0.08,169.92,4.3,-51.4,2.0,0.75,1.75,2.75,5.0,4.5,1.5,4.25,2.5,6.75,5.5,5.25,6.0,0.08,0.08,0.95,755.6,0.5,-29.2
0.04,0.75,0.75,0.5,0.25,0.5,1.0,0.75,1.0,1.0,1.5,1.25,1.75,0.5,-0.11,0.33,0.14,181.67,3.5,-23.8,2.0,0.75,1.75,3.25,5.0,4.5,1.5,4.25,2.5,6.75,5.75,5.25,5.75,0.08,0.08,0.95,726.74,0.2,-28.1
0.06,0.75,0.5,0.25,0.0,2.25,1.25,1.0,1.0,1.0,1.75,1.25,1.75,1.0,-0.23,0.2,0.33,190.46,0.2,-20.5,2.25,0.75,2.0,3.75,5.25,5.75,1.75,4.25,2.5,7.0,6.75,5.25,6.25,0.08,0.08,0.95,729.09,0.1,-26.2
0.08,0.75,0.25,0.5,0.5,2.25,1.0,1.0,0.75,1.0,1.5,1.25,2.0,0.5,-0.3,0.02,0.52,198.09,3.1,-15.9,3.5,1.75,3.25,4.0,7.0,6.0,2.25,4.25,3.0,7.5,6.75,5.5,6.25,0.08,0.08,0.95,794.09,-1.5,-17.2
0.1,0.0,0.0,0.75,0.0,0.5,0.0,0.75,1.0,0.25,0.5,0.5,0.5,0.25,-0.36,-0.05,0.64,168.02,5.0,-25.0,3.75,1.75,4.5,4.5,6.75,6.0,2.75,5.25,3.0,7.75,6.5,5.25,6.0,0.08,0.08,0.95,883.17,-2.3,-14.3
0.12,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.5,0.25,-0.17,0.02,1.89,122.27,-6.2,-55.2,3.75,2.0,3.75,4.5,6.75,6.0,2.25,5.25,3.0,7.5,6.5,5.25,6.0,0.08,0.08,0.95,951.79,-1.8,-14.7
0.14,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.75,0.25,1.5,0.0,2.0,0.25,0.02,0.27,0.2,93.97,2.0,-56.2,3.75,1.75,3.25,4.5,6.75,6.0,2.25,5.25,3.0,7.75,6.5,5.5,6.0,0.08,0.08,0.95,987.75,-1.4,-16.4
0.16,0.75,0.0,0.25,1.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.5,0.25,-1.61,0.89,1.58,66.1,11.7,3.7,3.75,1.75,2.75,4.5,6.75,6.0,2.25,5.25,3.0,7.75,6.75,5.5,6.25,0.08,0.08,0.95,996.39,-1.1,-17.7
0.18,1.5,0.0,1.75,0.5,0.0,0.0,0.0,0.75,0.25,0.25,0.0,0.5,0.25,-0.48,0.7,2.58,64.41,19.9,23.9,3.5,1.75,3.25,4.25,6.5,6.0,2.25,5.25,3.0,7.75,7.0,5.75,6.5,0.08,0.08,0.95,994.61,-1.2,-19.1
0.2,2.25,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.25,0.5,1.5,0.5,0.25,-0.23,0.2,1.33,101.28,22.3,32.1,3.5,1.75,2.5,4.5,6.5,6.0,2.25,5.25,3.0,8.0,7.25,5.75,7.0,0.08,0.08,0.95,992.4,-0.7,-20.9
0.22,0.0,0.25,5.75,5.0,0.0,1.25,1.25,0.75,0.25,0.0,0.0,0.5,0.25,-0.05,0.2,1.27,153.45,20.3,41.8,3.0,1.5,2.25,4.0,6.5,6.0,2.0,5.25,2.75,8.25,7.5,5.75,7.0,0.14,0.08,0.95,985.81,0.0,-23.8
0.24,3.25,0.5,6.5,6.0,1.25,1.75,2.5,0.75,0.75,0.0,0.25,0.25,0.0,0.14,-0.11,1.39,231.77,20.8,51.9,2.0,1.75,3.0,3.25,6.75,6.0,1.5,5.25,2.5,8.25,7.5,5.75,7.0,0.08,0.08,0.95,967.5,0.4,-24.9
0.26,3.25,1.0,0.0,6.0,2.5,2.75,5.25,1.25,2.25,0.0,0.5,1.0,0.25,0.02,-0.05,1.27,288.91,10.8,32.5,2.75,2.0,2.0,3.75,5.5,6.25,2.25,5.25,1.75,7.75,7.25,5.25,7.0,0.08,0.08,0.95,926.32,0.4,-23.5
0.28,2.75,1.0,5.25,6.0,4.25,3.0,5.5,2.75,3.25,1.5,2.0,2.0,0.5,-0.05,-0.05,1.08,398.26,11.2,19.0,2.0,1.0,2.0,1.25,5.5,5.5,1.5,4.25,1.75,7.75,6.5,5.75,6.75,0.08,0.08,0.95,845.27,1.6,-32.4
0.3,3.25,1.0,5.0,6.0,1.75,5.0,4.75,2.75,4.25,3.5,1.75,3.5,0.75,-0.05,0.02,1.02,515.19,9.0,6.8,1.0,1.0,1.75,0.75,5.75,4.5,1.0,4.0,1.0,6.75,6.5,4.5,6.5,0.08,0.08,0.95,735.34,2.6,-34.1
0.32,3.25,1.25,5.5,5.0,4.25,4.5,5.5,4.75,4.75,4.25,5.0,5.0,2.5,-0.11,-0.05,0.95,693.98,7.0,-6.1,1.25,0.25,1.75,0.75,2.75,2.25,0.5,4.25,1.0,6.75,4.75,4.25,5.75,0.08,0.08,0.95,601.04,2.3,-44.9
0.34,2.5,1.0,5.0,5.5,2.5,4.75,5.0,5.0,5.25,5.5,6.25,5.25,5.0,-0.05,-0.05,1.02,841.23,5.1,-18.7,0.25,0.0,0.0,0.0,0.5,0.0,0.0,2.75,0.5,5.0,2.5,2.5,4.0,0.08,0.08,0.95,412.73,6.6,-75.1
0.36,2.5,1.0,5.0,4.75,2.5,4.25,4.75,5.25,5.0,5.75,6.75,6.0,5.5,-0.05,-0.05,0.95,949.14,4.8,-23.1,0.0,0.0,0.0,0.5,1.0,0.0,0.0,2.0,0.25,3.5,1.5,1.25,2.25,0.02,0.08,1.02,271.25,6.8,-61.0
0.38,2.25,1.0,4.75,4.5,3.5,4.0,4.5,5.25,5.0,5.75,7.0,6.5,6.0,-0.05,-0.05,0.95,999.04,4.3,-24.8,0.0,0.0,0.0,0.5,0.25,0.0,0.0,1.5,0.25,2.25,0.25,0.75,1.5,-0.05,0.33,1.33,143.48,8.3,-62.8
0.4,1.5,1.0,3.0,4.25,0.0,4.0,4.5,5.0,5.0,5.75,6.75,6.75,6.0,-0.05,-0.05,0.95,978.06,3.3,-36.3,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.25,0.25,1.5,0.25,0.5,1.5,0.02,1.77,0.7,41.33,7.2,-46.1
0.42,1.75,1.0,2.0,4.25,3.5,4.0,4.25,5.0,4.75,5.75,6.75,6.75,6.25,-0.05,-0.05,0.95,948.65,2.1,-31.3,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.25,0.25,1.75,0.25,0.5,0.75,-0.55,2.14,0.7,0.0,6.8,-39.6
0.44,1.5,1.0,0.75,4.25,2.25,4.0,4.5,5.0,4.75,6.0,7.0,6.75,6.5,-0.05,-0.05,0.95,899.42,1.2,-37.2,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.25,0.25,1.75,0.25,0.5,0.75,-1.23,2.27,1.02,0.0,7.1,-48.9
0.46,1.75,1.0,1.75,4.25,3.0,4.0,3.75,5.0,4.5,6.5,7.0,6.75,6.5,-0.05,-0.05,0.95,878.88,1.5,-34.1,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.25,0.5,1.5,0.25,0.25,0.5,-0.86,2.27,0.83,0.0,5.9,-32.1
0.48,1.5,1.0,2.5,4.25,2.5,4.0,3.75,5.5,4.5,7.0,7.0,7.0,6.75,-0.05,-0.05,0.95,863.55,1.6,-35.3,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.25,0.25,2.25,0.25,1.0,1.5,-0.05,2.14,0.77,0.0,7.3,-60.7
0.5,1.5,1.0,0.5,4.0,4.25,4.0,3.5,5.25,4.5,7.25,7.0,7.25,7.0,-0.05,-0.05,0.95,862.16,0.0,-37.1,1.25,0.0,0.25,0.75,3.75,0.0,0.5,1.25,0.75,3.25,1.5,1.0,1.5,0.14,1.58,0.89,32.86,0.1,-18.5
0.52,1.5,1.0,0.0,4.0,3.75,4.0,2.5,5.75,4.25,7.25,7.25,7.5,7.25,-0.05,-0.05,0.95,847.1,-0.8,-40.4,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.25,0.25,0.25,0.5,0.14,1.02,1.27,44.27,3.9,-39.9
0.54,1.5,1.0,0.0,4.0,3.5,4.75,2.5,5.5,4.25,7.75,7.75,7.5,7.75,-0.05,-0.05,0.95,852.11,-1.1,-41.2,0.0,0.25,0.25,0.5,2.25,0.0,0.0,0.25,0.25,1.25,0.25,0.25,0.5,0.14,0.58,1.33,65.14,1.4,-0.7
0.56,1.5,1.0,0.0,4.25,3.0,5.0,2.75,5.5,4.25,8.25,7.5,7.5,7.75,-0.05,-0.05,0.95,855.29,-1.2,-41.4,0.25,0.0,0.0,0.5,1.5,0.75,0.0,0.0,0.5,1.5,0.25,0.0,0.25,0.08,0.45,1.08,66.5,4.0,-1.5
