time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,5.0,0.0,8.0,2.75,3.5,0.0,1.5,0.5,0.5,0.0,0.0,0.25,0.0,-0.92,0.7,1.2,415.02,24.6,59.5,1.75,0.75,1.75,3.25,6.0,6.0,1.25,3.0,2.5,5.25,5.5,5.25,4.75,0.08,0.08,0.95,602.0,0.0,-21.2
0.04,2.75,0.0,6.25,2.0,1.75,0.0,0.75,0.25,0.25,0.0,0.0,0.25,0.25,-1.3,0.58,1.45,273.48,25.8,55.8,2.0,0.75,1.75,3.25,6.75,6.5,1.25,4.25,2.5,5.75,5.5,4.0,4.75,0.14,0.08,0.95,691.9,1.0,-17.5
0.06,1.0,0.0,3.25,1.25,3.5,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,-0.73,0.52,1.58,170.22,15.0,48.1,2.0,1.25,1.75,3.25,6.75,6.0,1.5,3.5,3.0,6.0,4.75,5.25,4.5,0.2,0.08,0.95,753.97,0.1,-17.8
0.08,0.75,0.0,1.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,-1.55,0.95,0.58,58.74,23.1,48.8,2.25,1.0,1.75,3.25,6.75,5.75,2.0,3.5,3.0,6.0,5.5,5.25,4.75,0.14,0.08,0.95,797.26,-0.2,-19.2
0.1,0.5,0.0,1.75,1.25,1.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,-1.36,0.64,0.45,0.0,16.8,42.1,2.5,0.75,1.75,3.25,6.25,4.75,2.25,3.0,3.25,5.75,5.5,5.25,4.75,0.08,0.08,0.95,814.74,-1.2,-20.7
0.12,0.25,0.0,1.25,1.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.75,-0.86,0.58,0.64,0.0,12.4,15.5,2.0,0.75,1.75,3.25,5.5,4.5,2.25,3.0,3.0,5.75,5.5,5.25,4.5,0.08,0.08,0.95,790.16,-1.1,-23.0
0.14,0.25,0.0,1.0,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,-0.86,0.45,0.52,0.0,13.9,39.4,3.75,2.0,2.5,3.25,5.0,3.75,2.5,2.5,3.25,6.0,5.5,5.25,4.5,0.08,0.08,0.95,777.9,-3.8,-16.2
0.16,0.0,0.0,0.25,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,-0.61,0.39,0.58,0.0,5.1,33.6,1.75,0.75,2.0,2.75,4.75,2.75,2.25,2.0,3.25,5.75,5.75,5.25,4.5,0.08,0.08,0.95,722.48,-2.5,-27.9
0.18,0.0,0.0,0.25,1.0,1.25,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,-0.36,0.33,0.83,0.0,10.9,40.5,1.0,0.75,2.75,2.25,4.5,2.5,2.25,2.0,3.25,6.0,6.25,5.25,4.75,0.08,0.08,0.95,669.41,-2.5,-31.6
0.2,0.0,0.0,0.75,0.75,1.75,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.25,-0.17,0.2,0.89,0.0,9.8,35.1,2.0,0.75,2.75,2.0,4.5,2.25,2.25,2.0,3.25,6.0,6.5,5.75,5.25,0.08,0.08,0.95,615.56,-3.2,-31.7
