time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,2.5,1.25,0.0,5.25,8.25,4.25,0.0,2.75,0.5,2.25,0.75,1.25,1.5,-0.67,1.14,2.7,642.44,-0.2,21.0,0.75,0.25,0.0,1.0,0.5,1.25,0.0,2.5,1.25,5.75,4.5,5.0,5.5,-0.23,0.14,0.89,351.96,3.0,-65.5
0.04,1.5,0.25,0.0,4.25,6.5,3.0,0.0,3.0,0.5,2.0,0.5,1.25,1.5,-0.05,-0.55,2.58,429.51,-1.6,11.5,0.25,0.0,0.0,0.5,1.0,0.0,0.5,3.0,1.25,5.25,4.25,5.5,5.75,0.02,0.14,0.95,403.36,3.1,-73.7
0.06,1.0,0.0,0.0,2.25,5.75,2.5,0.0,3.0,0.5,1.75,0.0,1.25,1.5,0.33,-1.17,1.39,286.98,-4.1,4.4,1.0,0.75,0.0,2.0,1.75,2.75,0.5,4.0,1.5,7.25,4.75,6.0,7.0,0.08,0.08,0.89,495.52,3.5,-52.6
0.08,0.75,0.75,0.0,1.25,4.25,1.0,0.0,3.0,0.75,2.25,0.0,1.0,1.25,-0.23,-1.92,2.2,193.99,-3.9,-2.8,0.75,0.0,1.25,3.0,2.75,2.75,0.75,4.5,2.0,7.5,7.25,6.0,7.5,0.08,0.08,0.95,604.41,1.6,-49.0
0.1,1.0,1.0,0.0,1.5,3.5,1.0,0.0,3.0,0.75,2.5,0.0,1.5,0.5,-0.55,-1.3,1.83,129.11,-2.1,-1.2,2.25,0.75,1.25,3.5,3.75,3.0,1.25,5.25,2.5,7.5,7.5,6.25,7.5,0.08,0.08,0.95,731.78,0.2,-38.9
0.12,1.0,1.25,0.0,1.5,3.75,1.75,0.0,2.75,0.5,2.0,0.5,1.25,1.5,-0.48,-0.98,1.08,102.89,-2.8,-1.1,2.25,1.25,2.25,2.75,4.25,2.75,1.5,5.25,2.5,6.5,7.5,5.25,6.5,0.08,0.08,0.95,812.26,-0.9,-32.5
0.14,0.75,1.25,0.0,1.5,3.5,1.75,0.0,3.0,0.5,0.5,0.5,0.5,1.25,-0.48,-0.8,0.89,91.35,-2.8,9.9,2.25,1.25,1.25,4.0,3.0,5.0,1.5,6.0,2.75,7.0,7.0,5.75,7.25,0.14,0.08,0.95,877.34,0.7,-33.7
0.16,1.0,0.0,0.0,1.0,3.75,1.75,0.0,3.0,0.25,2.5,1.0,1.25,1.5,-0.42,-0.61,1.14,105.52,-5.0,-14.4,2.0,1.75,2.75,4.5,5.25,5.5,2.75,6.0,3.25,6.5,7.25,5.25,6.25,0.14,0.08,0.95,924.91,-0.8,-22.5
0.18,0.75,1.0,0.0,1.5,3.5,1.75,0.0,3.0,0.25,2.0,1.0,1.0,1.0,-0.48,-0.42,1.14,126.46,-3.4,-2.1,2.25,1.75,2.75,5.0,6.0,5.5,2.5,5.75,2.75,6.0,6.25,4.75,5.75,0.14,0.08,0.95,947.71,-1.0,-17.0
0.2,0.75,1.25,0.0,1.5,3.5,1.75,0.0,3.0,0.25,2.0,0.5,1.0,1.5,-0.67,-0.11,0.95,155.2,-3.9,-1.8,2.5,1.75,2.75,5.25,6.25,5.75,2.75,5.25,2.75,5.25,5.75,4.0,5.5,0.14,0.08,0.95,944.59,-1.5,-12.3
