time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,2.0,1.75,4.25,6.75,7.25,6.25,6.5,6.75,6.5,5.25,7.0,5.25,5.5,-0.05,-0.05,0.95,1054.52,3.4,-12.2,0.0,0.0,1.75,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.39,0.02,1.14,96.99,-25.2,29.3
0.04,1.75,1.75,4.75,8.25,7.25,6.25,6.75,6.5,6.5,5.25,6.5,3.75,5.25,-0.05,-0.05,0.95,1091.33,3.9,-7.3,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.39,-0.42,1.14,51.05,-2.8,-18.6
0.06,1.75,1.75,5.75,8.5,7.25,6.5,7.5,6.25,6.0,4.5,6.25,3.75,4.25,-0.05,-0.05,0.95,1112.08,5.1,-2.7,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,-0.92,0.95,22.87,-9.0,48.1
0.08,2.0,2.0,6.0,10.5,8.5,6.75,7.75,6.25,5.75,4.25,5.75,2.25,4.25,-0.05,-0.05,0.95,1141.69,5.4,4.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,-0.98,1.02,2.49,1.3,43.5
0.1,2.0,2.75,7.5,12.0,9.0,7.0,8.25,6.0,5.25,3.5,5.0,2.25,3.25,-0.05,-0.05,0.95,1183.24,6.8,12.3,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,-0.92,0.95,0.0,-9.0,48.1
0.12,3.0,2.25,8.0,13.0,9.0,7.25,8.5,5.25,4.75,3.0,4.75,2.0,2.25,-0.05,-0.05,0.95,1219.37,8.2,18.0,0.0,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.52,-0.73,0.89,0.0,-0.9,28.2
0.14,3.25,2.75,8.5,14.5,11.0,7.25,8.75,5.25,4.25,3.0,4.0,1.25,2.25,-0.05,0.02,0.95,1275.75,8.3,23.7,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,-0.61,0.95,5.02,-6.8,33.2
0.16,3.25,3.0,9.5,15.0,11.0,7.25,9.0,5.0,3.5,2.5,3.5,0.75,2.25,-0.05,0.02,0.95,1310.35,9.0,27.9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.33,-0.42,1.14,1.6,6.5,-39.7
0.18,3.5,3.25,10.0,15.5,11.5,7.25,9.0,4.0,3.25,2.25,3.25,0.75,2.25,-0.05,0.02,1.02,1333.49,9.7,30.8,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.27,-0.23,1.2,4.38,3.6,-18.8
0.2,4.25,3.25,10.5,16.5,12.5,7.25,9.0,3.75,2.5,2.0,3.0,0.75,2.25,-0.05,0.08,1.02,1356.95,10.2,34.0,0.0,0.5,1.25,2.25,0.0,1.75,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.2,-0.05,1.27,37.34,-8.1,41.8
0.22,4.75,3.25,11.0,17.0,13.5,7.0,8.75,3.75,2.5,1.75,3.0,0.75,1.75,-0.05,0.08,1.02,1384.88,10.7,36.3,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.14,1.2,35.49,-19.0,52.5
0.24,5.5,3.5,11.0,17.5,13.5,6.75,8.75,3.75,2.25,1.5,2.75,0.75,1.5,-0.05,0.08,1.02,1408.21,11.2,38.7,0.0,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.14,0.39,1.2,45.27,7.7,2.9
0.26,5.75,3.0,12.0,18.5,13.5,6.25,8.0,3.75,2.25,2.0,2.75,0.75,1.75,-0.05,0.08,1.02,1434.42,11.6,37.9,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.77,1.2,34.52,-19.0,52.5
0.28,6.0,2.25,12.0,19.0,13.5,5.75,7.75,3.75,2.0,0.75,2.5,0.75,1.5,-0.05,0.14,1.02,1437.4,12.4,40.6,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,1.2,1.08,26.54,-19.0,52.5
0.3,7.0,3.0,12.5,19.5,14.5,5.0,7.0,3.75,1.75,1.5,1.75,0.75,1.5,-0.05,0.14,1.02,1449.64,12.6,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,1.77,0.7,9.03,0.0,0.0
0.32,7.75,3.5,13.0,19.5,14.5,3.75,6.5,3.5,1.75,1.25,2.5,0.75,1.5,-0.11,0.2,1.08,1456.05,13.6,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,2.08,0.64,3.44,0.0,0.0
0.34,8.25,3.5,13.0,17.5,14.5,2.5,5.5,3.0,1.75,1.25,2.5,0.75,1.0,-0.11,0.27,1.08,1439.77,14.5,45.1,0.0,0.75,0.5,2.25,0.0,1.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.61,2.08,0.7,30.88,-6.3,52.5
0.36,8.75,3.5,13.0,19.0,13.5,2.0,5.0,2.5,1.75,0.75,2.75,0.5,1.25,-0.11,0.33,1.14,1416.74,15.4,46.7,0.0,0.0,0.75,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.42,2.83,-0.05,43.51,-7.6,50.0
0.38,8.75,3.75,13.0,17.5,13.5,1.0,5.0,2.0,1.75,0.75,2.25,0.5,1.25,-0.17,0.39,1.33,1371.36,16.2,48.2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.75,0.0,2.25,0.5,-0.11,-0.98,0.27,69.76,5.9,-78.7
0.4,8.0,3.5,12.0,16.0,11.5,1.0,5.5,1.75,1.5,0.5,1.75,0.5,1.25,-0.23,0.52,1.64,1290.92,16.7,48.8,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.75,0.25,4.25,2.5,5.5,5.75,-0.05,0.14,2.08,166.55,5.6,-85.2
0.42,7.25,3.0,9.5,13.0,9.5,0.75,5.5,1.75,1.5,0.75,1.75,0.5,1.5,-0.3,1.08,1.95,1117.94,16.1,45.2,0.0,0.0,0.0,0.0,0.0,1.75,0.0,2.25,1.0,5.0,5.0,5.75,6.5,-0.17,0.14,1.2,269.69,4.8,-80.1
0.44,6.0,1.75,7.5,8.5,8.25,0.75,4.25,1.75,1.5,0.5,1.75,0.5,1.25,-0.55,1.77,2.64,888.82,15.4,41.7,0.0,0.0,0.0,0.0,0.0,1.75,0.0,3.0,1.25,6.0,5.25,6.5,7.0,0.08,0.08,0.95,377.23,5.0,-79.8
0.46,3.75,1.75,5.5,6.0,7.25,0.5,1.75,1.75,1.5,0.0,1.75,0.5,1.0,-0.48,1.2,3.27,646.19,13.6,38.8,0.0,0.0,1.75,0.5,0.0,1.75,0.75,3.75,1.75,6.5,6.75,7.0,7.5,0.08,0.08,0.95,513.81,1.7,-69.3
0.48,1.75,0.0,4.25,2.5,5.0,0.0,0.5,1.75,1.5,0.0,2.0,0.5,0.25,-0.48,-0.86,2.58,399.77,13.0,26.2,0.0,0.0,1.0,1.0,0.0,1.75,0.5,3.75,2.25,7.0,7.5,7.0,8.0,0.08,0.08,0.95,624.65,2.3,-70.8
0.5,0.75,0.25,1.75,3.5,0.75,0.0,0.75,0.0,1.25,0.0,2.0,0.5,0.75,-0.42,-1.3,2.2,234.1,16.4,11.5,0.0,0.0,1.75,1.0,0.0,1.75,0.75,4.0,2.25,7.0,7.5,7.0,8.0,0.08,0.08,0.95,699.55,1.5,-67.8
0.52,0.0,0.0,2.75,0.75,5.0,0.0,0.5,1.75,0.75,0.0,1.75,0.0,1.0,-1.11,-1.48,1.83,122.64,6.3,13.2,0.0,0.0,1.0,1.25,0.0,1.75,1.0,4.25,2.75,6.5,7.5,6.75,7.75,0.08,0.08,0.95,734.82,1.8,-68.0
0.54,0.0,0.0,1.25,2.25,0.5,1.25,0.5,1.75,1.25,0.0,2.0,0.0,1.0,-0.8,-1.23,0.89,33.0,5.2,-7.0,0.0,0.25,0.75,2.5,0.0,2.5,1.0,4.25,3.0,7.25,7.5,7.0,7.75,0.08,0.08,0.95,767.14,1.8,-62.5
0.56,0.0,0.0,0.75,0.0,4.75,0.0,0.75,1.75,0.75,0.0,0.5,0.0,0.0,-0.55,-0.86,0.83,0.0,0.8,22.7,0.0,0.25,2.25,3.25,0.0,3.75,1.5,5.0,3.0,6.0,7.75,6.25,6.5,0.08,0.08,0.95,775.11,0.1,-50.2
0.58,0.5,0.0,0.75,0.25,0.0,0.0,0.5,1.5,1.25,0.5,0.5,0.5,0.25,-0.42,-0.67,0.89,0.0,7.4,-23.8,0.5,0.75,2.5,2.75,0.25,4.0,2.0,5.0,3.25,6.5,7.5,6.25,7.0,0.08,0.08,0.95,786.57,-0.1,-47.0
0.6,0.5,0.0,2.0,1.5,4.75,0.0,1.25,1.75,1.0,0.25,2.0,0.5,1.25,-0.36,-0.48,0.89,0.0,6.5,6.2,1.0,0.75,2.25,2.75,0.0,4.0,2.0,5.0,3.0,5.25,7.0,5.75,6.25,0.08,0.08,0.95,763.94,-0.7,-43.8
0.62,0.0,0.0,1.75,0.25,0.5,0.75,0.5,0.0,0.75,0.0,1.25,0.0,1.0,-0.36,-0.23,0.83,0.0,10.8,-7.0,1.0,0.75,2.75,3.5,0.0,4.0,2.25,4.75,3.0,4.5,6.0,4.25,5.5,0.08,0.08,0.95,703.38,-1.7,-35.4
0.64,0.0,0.0,1.0,0.0,4.5,0.0,0.5,0.0,0.75,0.0,0.5,0.0,0.25,-0.3,-0.05,0.89,21.15,5.1,32.0,1.25,0.75,1.75,4.5,1.25,4.0,2.25,3.5,2.75,3.5,5.0,4.25,4.25,0.08,0.08,0.95,609.81,-2.4,-26.5
